date,Transaction,single_value,value
1979-11-23 00:00:00,added Sam Pellom to ATL,-5146.0,-5146
1979-11-23 00:00:00,lost Terry Furlow to UTA,1546.2,-3599
1979-11-23 00:00:00,added Eddie Johnson to ATL,0.0,-3599
1979-11-23 00:00:00,added Ricky Frazier to ATL,0.0,-3599
1980-01-24 00:00:00,lost Ron Lee to DET,1606.7999999999995,-1993
1980-01-24 00:00:00,lost Brad Branson to DET,-0.0,-1993
1980-01-24 00:00:00,lost Jonathan Moore to DET,-0.0,-1993
1980-01-24 00:00:00,added Jim McElroy to ATL,-6542.0,-8535
1980-01-28 00:00:00,added John Brown to ATL,-2129.9,-10664
1980-05-15 00:00:00,added Glenn Hagan to ATL,0.0,-10664
1980-06-10 00:00:00,added Don Collins to ATL,-710.4,-11375
1980-06-10 00:00:00,added Craig Shelton to ATL,-3901.4,-15276
1980-06-10 00:00:00,added Mike Doyle to ATL,0.0,-15276
1980-06-10 00:00:00,added Mike Zagardo to ATL,0.0,-15276
1980-06-10 00:00:00,added Charles Hightower to ATL,0.0,-15276
1980-06-10 00:00:00,added Stanley Lamb to ATL,0.0,-15276
1980-07-08 00:00:00,added Tom Burleson to ATL,-1778.7,-17055
1980-07-11 00:00:00,added Art Collins to ATL,0.0,-17055
1980-12-02 00:00:00,lost Armond Hill to SEA,3959.6,-13095
1980-12-02 00:00:00,added Jim Thomas to ATL,0.0,-13095
1980-12-02 00:00:00,added Ben Coleman to ATL,0.0,-13095
1981-01-17 00:00:00,lost Don Collins to WSB,-4858.2,-17953
1981-01-17 00:00:00,added Wes Matthews to ATL,-3937.9,-21891
1981-02-03 00:00:00,added Art Collins to ATL,-2291.0,-24182
1981-06-04 00:00:00,added Steve Hawes to ATL,-1241.4,-25424
1981-06-08 00:00:00,lost Orlando Woolridge to CHI,-7130.4,-32554
1981-06-08 00:00:00,lost Ricky Frazier to CHI,-0.0,-32554
1981-06-08 00:00:00,added Al Wood to ATL,0.0,-32554
1981-06-08 00:00:00,added Clyde Bradshaw to ATL,0.0,-32554
1981-06-09 00:00:00,added Al Wood to ATL,-1142.4,-33697
1981-06-09 00:00:00,added Clyde Bradshaw to ATL,0.0,-33697
1981-06-09 00:00:00,added Rudy Macklin to ATL,-9377.3,-43074
1981-06-09 00:00:00,added Kevin Figaro to ATL,0.0,-43074
1981-06-09 00:00:00,added Steve Krafcisin to ATL,0.0,-43074
1981-06-09 00:00:00,added Darryl Warwick to ATL,0.0,-43074
1981-06-09 00:00:00,added Kevin Vesey to ATL,0.0,-43074
1981-06-09 00:00:00,added Gilbert Salinas to ATL,0.0,-43074
1981-06-09 00:00:00,added Howard Thompkins to ATL,0.0,-43074
1981-06-09 00:00:00,added Mike Frazier to ATL,0.0,-43074
1981-08-12 00:00:00,lost James Griffin to NJN,-0.0,-43074
1981-08-12 00:00:00,added Rory Sparrow to ATL,-977.4,-44051
1981-08-12 00:00:00,added John Battle to ATL,0.0,-44051
1981-10-12 00:00:00,added Mike Glenn to ATL,2572.4000000000005,-41479
1982-01-01 00:00:00,added Jim Zoet to ATL,0.0,-41479
1982-01-20 00:00:00,lost Charlie Criss to SDC,1512.0,-39967
1982-01-20 00:00:00,lost Al Wood to SDC,4135.4,-35831
1982-01-20 00:00:00,added Freeman Williams to ATL,-850.5,-36682
1982-06-29 00:00:00,added Keith Edmonson to ATL,-1823.1,-38505
1982-06-29 00:00:00,added Joe Kopicki to ATL,0.0,-38505
1982-06-29 00:00:00,added Mark Hall to ATL,0.0,-38505
1982-06-29 00:00:00,added Jay Bruchak to ATL,0.0,-38505
1982-06-29 00:00:00,added Horace Wyatt to ATL,0.0,-38505
1982-06-29 00:00:00,added James Ratiff to ATL,0.0,-38505
1982-06-29 00:00:00,added Pierre Bland to ATL,0.0,-38505
1982-06-29 00:00:00,added Ronnie McAdoo to ATL,0.0,-38505
1982-06-30 00:00:00,lost Ben Coleman to KCK,-0.0,-38505
1982-06-30 00:00:00,added Jim Johnstone to ATL,0.0,-38505
1982-09-02 00:00:00,lost John Drew to UTA,2336.2,-36169
1982-09-02 00:00:00,lost Freeman Williams to UTA,1533.0,-34636
1982-09-02 00:00:00,added Dominique Wilkins to ATL,121789.0,87152
1982-09-27 00:00:00,lost Jim Johnstone to SAS,291.6,87444
1982-09-27 00:00:00,lost Darrell Lockhart to SAS,68.60000000000001,87512
