date,Transaction,single_value,value
2019-06-20,added Ja Morant to MEM,0.0,0
2019-07-01,added Ja Morant to MEM,26541.7,26541
2019-07-06,lost Mike Conley to UTA,-14384.100000000002,12157
2019-07-06,added Grayson Allen to MEM,-1185.2,10972
2019-07-06,added Darius Bazley to MEM,0.0,10972
2019-07-06,added Jae Crowder to MEM,-1586.4,9385
2019-07-06,added Kyle Korver to MEM,0.0,9385
2019-07-06,added Walker Kessler to MEM,0.0,9385
2019-07-06,lost C.J. Miles to WAS,273.7,9659
2019-07-06,added Dwight Howard to MEM,0.0,9659
2019-07-06,lost Darius Bazley to OKC,13367.8,23027
2019-07-06,lost Bobi Klintman to OKC,-0.0,23027
2019-07-06,added Brandon Clarke to MEM,0.0,23027
2019-07-07,added Brandon Clarke to MEM,15210.3,38237
2019-07-07,lost Julian Washburn to GSW,-0.0,38237
2019-07-07,added Andre Iguodala to MEM,0.0,38237
2019-07-07,added Bub Carrington to MEM,0.0,38237
2019-07-07,lost Jevon Carter to PHO,-925.5,37312
2019-07-07,lost Kyle Korver to PHO,-0.0,37312
2019-07-07,added Josh Jackson to MEM,38.1,37350
2019-07-07,added De'Anthony Melton to MEM,-233.39999999999964,37117
2019-07-07,added Robert Woodard to MEM,0.0,37117
2019-07-07,lost Chandler Parsons to ATL,324.0,37441
2019-07-07,added Solomon Hill to MEM,-1261.4,36179
2019-07-07,added Miles Plumlee to MEM,0.0,36179
2019-07-07,added Tyus Jones to MEM,4350.099999999999,40529
2019-07-08,added Delon Wright to MEM,0.0,40529
2019-07-08,lost Delon Wright to DAL,-2983.0,37546
2019-07-08,added Satnam Singh to MEM,0.0,37546
2019-07-08,added Brandon Boston Jr. to MEM,0.0,37546
2019-07-08,added Keyonte Johnson to MEM,0.0,37546
2019-07-08,added John Konchar to MEM,814.5,38361
2019-07-11,added Jonas Valančiūnas to MEM,9693.0,48054
2019-07-31,added Marko Guduric to MEM,-1645.6,46408
2020-02-05,added Dillon Brooks to MEM,-26275.7,20132
2020-02-06,lost Jae Crowder to MIA,-1382.5,18750
2020-02-06,lost Solomon Hill to MIA,523.6,19274
2020-02-06,lost Andre Iguodala to MIA,744.6,20018
2020-02-06,added Dion Waiters to MEM,0.0,20018
2020-02-06,added Justise Winslow to MEM,-3042.0,16976
2020-02-06,added Gorgui Dieng to MEM,1542.3,18518
2020-02-06,lost Bruno Caboclo to HOU,353.2,18872
2020-02-06,added Jordan Bell to MEM,-33.6,18838
2020-02-21,added Dusty Hannahs to MEM,40.3,18878
2020-02-27,added Jarrod Uthoff to MEM,-194.6,18684
2020-03-02,added Anthony Tolliver to MEM,-283.2,18401
2020-03-08,added Jontay Porter to MEM,0.0,18401
2020-06-23,added Anthony Tolliver to MEM,0.0,18401
2020-11-18,added Robert Woodard to MEM,0.0,18401
2020-11-19,added Sean McDermott to MEM,-679.4,17721
2020-11-19,added Killian Tillie to MEM,-673.3999999999999,17048
2020-11-19,lost Robert Woodard to SAC,675.3,17723
2020-11-19,lost Isaiah Mobley to SAC,-0.0,17723
2020-11-19,added Xavier Tillman Sr. to MEM,0.0,17723
2020-11-20,lost Keyonte Johnson to BOS,-0.0,17723
2020-11-20,added Desmond Bane to MEM,0.0,17723
2020-11-20,added Mario Hezonja to MEM,0.0,17723
2020-11-22,added Jontay Porter to MEM,-351.0,17372
2020-11-22,added De'Anthony Melton to MEM,5551.799999999999,22924
2020-11-22,added John Konchar to MEM,3213.0,26137
2020-11-25,added Desmond Bane to MEM,21279.7,47417
2020-11-28,added Xavier Tillman Sr. to MEM,1325.6999999999998,48742
2021-01-04,added Tim Frazier to MEM,0.0,48742
2021-04-14,added Tim Frazier to MEM,0.0,48742
2021-04-24,added Tim Frazier to MEM,-737.8000000000001,48004
2021-07-29,added Trey Murphy III to MEM,0.0,48004
2021-07-29,added Brandon Boston Jr. to MEM,0.0,48004
2021-08-07,lost Jared Butler to UTA,576.0,48580
2021-08-07,lost Jabari Walker to UTA,-0.0,48580
2021-08-07,added Santi Aldama to MEM,0.0,48580
2021-08-07,lost Grayson Allen to MIL,-919.2,47661
2021-08-07,added Sam Merrill to MEM,-324.79999999999995,47336
2021-08-07,lost Brandon Boston Jr. to NOP,2581.8,49918
2021-08-07,lost Trey Murphy III to NOP,-9077.8,40840
2021-08-07,lost Jonas Valančiūnas to NOP,-5778.8,35062
2021-08-07,lost Tyler Harvey to CHO,-0.0,35062
2021-08-07,added Steven Adams to MEM,4677.8,39739
2021-08-07,added Eric Bledsoe to MEM,0.0,39739
2021-08-07,added Jared Butler to MEM,0.0,39739
2021-08-07,added Ziaire Williams to MEM,0.0,39739
2021-08-07,added Vince Williams Jr. to MEM,0.0,39739
2021-08-07,added Cam Christie to MEM,0.0,39739
2021-08-08,added Ziaire Williams to MEM,-11850.6,27889
2021-08-08,added Santi Aldama to MEM,3497.9,31387
2021-08-09,added Yves Pons to MEM,0.0,31387
2021-08-11,added Killian Tillie to MEM,-1244.7,30142
2021-08-16,lost Eric Bledsoe to LAC,1088.8,31231
2021-08-16,added Patrick Beverley to MEM,0.0,31231
2021-08-16,added Daniel Oturu to MEM,0.0,31231
2021-08-16,added Rajon Rondo to MEM,0.0,31231
2021-08-25,lost Patrick Beverley to MIN,-3985.2,27246
2021-08-25,added Jarrett Culver to MEM,-1825.2,25420
2021-08-25,added Juan Hernangomez to MEM,0.0,25420
2021-09-10,lost Wang Zhelin to LAL,-0.0,25420
2021-09-10,added Marc Gasol to MEM,0.0,25420
2021-09-15,lost Juan Hernangomez to BOS,796.8000000000001,26217
2021-09-15,added Kris Dunn to MEM,0.0,26217
2021-09-15,added Carsen Edwards to MEM,0.0,26217
2021-09-23,added Shaq Buchanan to MEM,0.0,26217
2021-09-23,added Sean McDermott to MEM,0.0,26217
2021-09-23,added Yves Pons to MEM,-468.6,25749
2021-10-08,added Romeo Weems to MEM,0.0,25749
2021-10-14,added Ahmad Caver to MEM,0.0,25749
2021-10-14,added Matthew Hurt to MEM,0.0,25749
2021-10-15,added David Stockton to MEM,0.0,25749
2021-12-25,added Shaq Buchanan to MEM,-107.0,25642
2021-12-25,added Tyrell Terry to MEM,0.0,25642
2021-12-27,added Xavier Sneed to MEM,-159.2,25482
2021-12-30,added Dakota Mathias to MEM,4.8,25487
2022-01-01,added DaQuan Jeffries to MEM,-44.1,25443
2022-01-01,added Tyrell Terry to MEM,-3.0,25440
2022-01-03,added Jon Teske to MEM,-38.4,25402
2022-01-19,added Shaquille Harrison to MEM,0.0,25402
2022-06-23,added Walker Kessler to MEM,0.0,25402
2022-06-23,added TyTy Washington Jr. to MEM,0.0,25402
2022-06-23,added Vince Williams Jr. to MEM,0.0,25402
2022-06-23,lost Harrison Ingram to SAS,95.2,25497
2022-06-23,added Kennedy Chandler to MEM,0.0,25497
2022-06-24,lost Walker Kessler to MIN,-0.0,25497
2022-06-24,lost TyTy Washington Jr. to MIN,-0.0,25497
2022-06-24,added Jake LaRavia to MEM,0.0,25497
2022-06-24,added Gregory Jackson to MEM,0.0,25497
2022-06-24,lost De'Anthony Melton to PHI,-2446.5,23050
2022-06-24,added Danny Green to MEM,-378.4,22672
2022-06-24,added David Roddy to MEM,0.0,22672
2022-07-01,added Jake LaRavia to MEM,-2187.4,20485
2022-07-01,added David Roddy to MEM,-10476.2,10008
2022-07-01,added Kenny Lofton Jr. to MEM,-515.9,9492
2022-07-02,added Vince Williams Jr. to MEM,-3381.7,6111
2022-07-06,added Tyus Jones to MEM,3104.0,9215
2022-07-06,added Kennedy Chandler to MEM,-758.7,8456
2022-09-23,added Jacob Gilyard to MEM,0.0,8456
2022-09-23,added Justin Bean to MEM,0.0,8456
2022-10-10,added Matthew Hurt to MEM,0.0,8456
2022-10-10,added Sean McDermott to MEM,0.0,8456
2022-10-13,added E.J. Onu to MEM,0.0,8456
2022-10-13,added Romeo Weems to MEM,0.0,8456
2022-10-14,added Dakota Mathias to MEM,0.0,8456
2023-02-09,lost Cam Christie to LAC,111.8,8568
2023-02-09,lost Juan Nunez to LAC,-0.0,8568
2023-02-09,lost Danny Green to HOU,-0.0,8568
2023-02-09,added Luke Kennard to MEM,1411.2999999999995,9979
2023-04-08,added Jacob Gilyard to MEM,-1100.3,8879
2023-06-22,added Marcus Sasser to MEM,0.0,8879
2023-06-22,added Gregory Jackson II to MEM,0.0,8879
2023-06-22,added Tarik Biberovic to MEM,0.0,8879
2023-06-23,lost Tyus Jones to WAS,-1353.1,7526
2023-06-23,lost Marcus Sasser to BOS,-0.0,7526
2023-06-23,lost Bub Carrington to BOS,-0.0,7526
2023-06-23,added Marcus Smart to MEM,-1932.0,5594
2023-07-03,added Derrick Rose to MEM,-1117.1999999999998,4477
2023-07-08,added Dillon Brooks to MEM,0.0,4477
2023-07-08,lost Dillon Brooks to HOU,11522.7,15999
2023-07-08,added Josh Christopher to MEM,0.0,15999
2023-07-08,added Vanja Marinkovic to MEM,0.0,15999
2023-07-11,added Isaiah Todd to MEM,0.0,15999
2023-08-31,added Gregory Jackson to MEM,-4252.4,11747
2023-11-01,added Bismack Biyombo to MEM,-2297.6,9449
2023-11-24,added Jaylen Nowell to MEM,-1154.4,8295
2023-11-24,added Shaquille Harrison to MEM,27.6,8322
2024-01-16,added Scotty Pippen Jr. to MEM,3819.1,12142
2024-01-29,added Matthew Hurt to MEM,-418.1,11723
2024-01-30,added Trey Jemison to MEM,0.0,11723
2024-01-30,added Tosan Evbuomwan to MEM,-473.6,11250
2024-02-01,lost Steven Adams to HOU,-221.1,11029
2024-02-01,added Victor Oladipo to MEM,0.0,11029
2024-02-01,added Ulrich Chomche to MEM,0.0,11029
2024-02-01,added Jaylen Wells to MEM,0.0,11029
2024-02-07,lost Xavier Tillman Sr. to BOS,1757.6999999999998,12786
2024-02-07,added Lamar Stevens to MEM,-1005.1,11781
2024-02-08,lost David Roddy to PHO,365.4,12147
2024-02-08,lost Vanja Marinkovic to BRK,-0.0,12147
2024-02-08,added Chimezie Metu to MEM,0.0,12147
2024-02-08,added Yuta Watanabe to MEM,-705.1999999999999,11442
2024-02-09,added Trey Jemison to MEM,-2917.2,8524
2024-02-13,added Jordan Goodwin to MEM,0.0,8524
2024-02-24,added Jordan Goodwin to MEM,-596.4,7928
2024-03-08,added Wenyen Gabriel to MEM,-1012.5,6915
2024-03-10,added DeJon Jarreau to MEM,-600.0,6315
2024-03-20,added Maozinha Pereira to MEM,-61.0,6254
2024-03-30,added Zavier Simpson to MEM,-949.9,5305
2024-04-06,added Timmy Allen to MEM,-1387.5,3917
2024-04-09,added Jack White to MEM,-659.2,3258
2024-06-26,added Zach Edey to MEM,0.0,3258
2024-06-26,added Jaylen Wells to MEM,0.0,3258
2024-06-26,added Zach Edey to MEM,0.0,3258
2024-06-26,added Jaylen Wells to MEM,0.0,3258
2024-06-27,added Ulrich Chomche to MEM,0.0,3258
2024-07-06,lost Ulrich Chomche to TOR,236.8,3495
2024-07-06,lost future 2nd round pick to MIN,-0.0,3495
2024-07-06,added Cam Spencer to MEM,0.0,3495
2024-07-06,added Jaylen Wells to MEM,-4386.8,-891
2024-07-06,added Zach Edey to MEM,-253.0,-1144
2024-07-08,added Cam Spencer to MEM,0.0,-1144
2024-07-19,lost Ziaire Williams to BRK,3564.0,2419
2024-07-19,added Nemanja Dangubic to MEM,0.0,2419
2024-07-19,added Mamadi Diakite to MEM,0.0,2419
2024-07-19,lost future 2nd round pick to BRK,-0.0,2419
2024-07-24,added Jay Huff to MEM,2400.4,4819
2024-07-31,added Luke Kennard to MEM,1549.9,6369
2024-10-19,added Yuki Kawamura to MEM,-296.1,6073
2024-10-30,added Colin Castleton to MEM,-331.2,5742
2025-01-10,added Zyon Pullin to MEM,-68.1,5674
2025-02-06,lost Marcus Smart to WAS,532.0,6206
2025-02-06,lost Jake LaRavia to SAC,1064.3,7270
2025-02-06,added Marvin Bagley to MEM,-169.0,7101
2025-02-06,added Johnny Davis to MEM,0.0,7101
2025-02-21,added Lamar Stevens to MEM,0.0,7101
2025-03-13,added Lamar Stevens to MEM,-477.3,6624
