date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2000-06-28 00:00:00,added Stromile Swift to MEM,-8010.6,-8010,1.8000000000000005,1.8000000000000005,draft,Stromile Swift
2000-08-03 00:00:00,added Tony Massenburg to MEM,-5736.2,-13746,-0.8,1.0000000000000004,signing,Tony Massenburg
2000-08-08 00:00:00,added Damon Jones to MEM,0.0,-13746,0.0,1.0000000000000004,signing,Damon Jones
2000-08-19 00:00:00,added Mahmoud Abdul-Rauf to MEM,0.0,-13746,0.0,1.0000000000000004,signing,Mahmoud Abdul-Rauf
2000-08-22 00:00:00,lost Obinna Ekezie to WAS,955.5,-12791,0.1,1.1000000000000003,trade,Obinna Ekezie
2000-08-22 00:00:00,lost Felipe López to WAS,1662.0,-11129,-0.1,1.0000000000000004,trade,Felipe López
2000-08-22 00:00:00,lost Cherokee Parks to WAS,71.2,-11058,-0.1,0.9000000000000005,trade,Cherokee Parks
2000-08-22 00:00:00,lost Dennis Scott to WAS,-0.0,-11058,-0.0,0.9000000000000005,trade,Dennis Scott
2000-08-22 00:00:00,added Isaac Austin to MEM,-1657.8000000000002,-12715,-0.3,0.6000000000000005,trade,Isaac Austin
2000-09-29 00:00:00,added Paul Grant to MEM,0.0,-12715,0.0,0.6000000000000005,signing,Paul Grant
2000-10-01 00:00:00,added Kevin Edwards to MEM,0.0,-12715,0.0,0.6000000000000005,signing,Kevin Edwards
2000-10-02 00:00:00,added Jeff Nordgaard to MEM,0.0,-12715,0.0,0.6000000000000005,signing,Jeff Nordgaard
2000-10-02 00:00:00,added William Cunningham to MEM,0.0,-12715,0.0,0.6000000000000005,signing,William Cunningham
2001-01-30 00:00:00,lost Othella Harrington to NYK,14600.7,1884,1.3,1.9000000000000008,trade,Othella Harrington
2001-01-30 00:00:00,added Erick Strickland to MEM,0.0,1884,0.0,1.9000000000000008,trade,Erick Strickland
2001-01-30 00:00:00,added Jamaal Tinsley to MEM,0.0,1884,0.0,1.9000000000000008,trade,Jamaal Tinsley
2001-01-30 00:00:00,added Antonis Fotsis to MEM,0.0,1884,0.0,1.9000000000000008,trade,Antonis Fotsis
2001-06-27 00:00:00,added Shane Battier to MEM,25455.7,27340,13.1,15.0,draft,Shane Battier
2001-06-27 00:00:00,added Jamaal Tinsley to MEM,-2532.7,24807,-0.3,14.7,draft,Jamaal Tinsley
2001-06-27 00:00:00,added Will Solomon to MEM,-3836.8,20971,-0.5,14.2,draft,Will Solomon
2001-06-27 00:00:00,added Antonis Fotsis to MEM,-1088.0,19883,-0.1,14.1,draft,Antonis Fotsis
2001-06-27 00:00:00,lost Shareef Abdur-Rahim to ATL,-14504.0,5379,-7.699999999999999,6.4,trade,Shareef Abdur-Rahim
2001-06-27 00:00:00,lost Jamaal Tinsley to ATL,-0.0,5379,-0.0,6.4,trade,Jamaal Tinsley
2001-06-27 00:00:00,added Pau Gasol to MEM,52637.100000000006,58016,21.8,28.200000000000003,trade,Pau Gasol
