date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1976-06-08 00:00:00,added Scott May to CHI,-6990.200000000001,-6990,1.6,1.6
1976-06-08 00:00:00,added Willie Smith to CHI,-53.900000000000006,-7044,0.0,1.6
1976-06-08 00:00:00,added Dallas Smith to CHI,0.0,-7044,0.0,1.6
1976-06-08 00:00:00,added Lars Hansen to CHI,0.0,-7044,0.0,1.6
1976-06-08 00:00:00,added Keith Starr to CHI,-396.5,-7440,-0.1,1.5
1976-06-08 00:00:00,added Nate Williams to CHI,0.0,-7440,0.0,1.5
1976-06-08 00:00:00,added Tom Paulin to CHI,0.0,-7440,0.0,1.5
1976-06-08 00:00:00,added Barry McLeod to CHI,0.0,-7440,0.0,1.5
1976-06-08 00:00:00,added John Thomas to CHI,0.0,-7440,0.0,1.5
1976-06-08 00:00:00,added John Hudson to CHI,0.0,-7440,0.0,1.5
1976-08-11 00:00:00,added Allen Murphy to CHI,0.0,-7440,0.0,1.5
1985-06-18 00:00:00,lost Steve Johnson to SAS,731.2,-6709,-0.7,0.8
1985-06-18 00:00:00,lost Mike Brittain to SAS,1902.2,-4807,0.3,1.1
1985-06-18 00:00:00,added Gene Banks to CHI,1711.2,-3096,1.5,2.6
1985-06-18 00:00:00,added Keith Lee to CHI,0.0,-3096,0.0,2.6
1985-06-18 00:00:00,added Ken Johnson to CHI,0.0,-3096,0.0,2.6
1985-06-18 00:00:00,added Aubrey Sherrod to CHI,0.0,-3096,0.0,2.6
1985-06-18 00:00:00,added Adrian Branch to CHI,0.0,-3096,0.0,2.6
1985-06-18 00:00:00,added Mike Brown to CHI,-7422.299999999999,-10518,-1.1,1.5
1985-06-18 00:00:00,added Craig Beard to CHI,0.0,-10518,0.0,1.5
1985-06-18 00:00:00,added Reid Gettys to CHI,0.0,-10518,0.0,1.5
1985-06-18 00:00:00,added Dan Meagher to CHI,0.0,-10518,0.0,1.5
1985-06-18 00:00:00,added Jeff Adkins to CHI,0.0,-10518,0.0,1.5
1985-06-18 00:00:00,lost Keith Lee to CLE,5113.2,-5405,0.3,1.8
1985-06-18 00:00:00,lost Ennis Whatley to CLE,-26.4,-5431,-0.0,1.8
1985-06-18 00:00:00,added Calvin Duncan to CHI,0.0,-5431,0.0,1.8
1985-06-18 00:00:00,added Charles Oakley to CHI,-15411.7,-20843,0.5999999999999999,2.4
1985-06-18 00:00:00,lost Ben Coleman to POR,-0.0,-20843,-0.0,2.4
1985-06-18 00:00:00,lost Ken Johnson to POR,3993.500000000001,-16849,0.6,3.0
1985-06-18 00:00:00,added Mike Smrek to CHI,-3060.0,-19909,-0.6,2.4
1985-09-25 00:00:00,added Billy McKinney to CHI,-174.3,-20084,0.0,2.4
1985-10-04 00:00:00,added Kyle Macy to CHI,-1213.0,-21297,0.9,3.3
