date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1989-06-27 00:00:00,added Blue Edwards to UTA,-9461.9,-9461,0.8000000000000002,0.8000000000000002
1989-06-27 00:00:00,added Junie Lewis to UTA,0.0,-9461,0.0,0.8000000000000002
1989-09-28 00:00:00,added Eric Johnson to UTA,-1876.8,-11338,-0.3,0.5000000000000002
1989-09-29 00:00:00,added Raymond Brown to UTA,0.0,-11338,0.0,0.5000000000000002
1989-11-06 00:00:00,added Delaney Rudd to UTA,-3910.0,-15248,-0.6,-0.0999999999999997
1989-11-10 00:00:00,added Nate Johnston to UTA,2.6,-15246,0.0,-0.0999999999999997
1990-02-16 00:00:00,added Raymond Brown to UTA,-952.0,-16198,-0.2,-0.2999999999999997
1990-06-25 00:00:00,lost Bob Hansen to SAC,3009.4,-13188,0.3,2.220446049250313e-16
1990-06-25 00:00:00,lost Eric Leckner to SAC,2721.6,-10467,0.5,0.5000000000000002
1990-06-25 00:00:00,lost Anthony Bonner to SAC,13813.1,3345,1.0,1.5000000000000002
1990-06-25 00:00:00,lost Phil Henderson to SAC,-0.0,3345,-0.0,1.5000000000000002
1990-06-25 00:00:00,lost Walter Palmer to SAC,-0.0,3345,-0.0,1.5000000000000002
1990-06-25 00:00:00,added Jeff Malone to UTA,-21971.7,-18625,-0.6,0.9000000000000002
1990-06-27 00:00:00,added Walter Palmer to UTA,-663.0,-19288,-0.1,0.8000000000000003
1990-07-27 00:00:00,added Delaney Rudd to UTA,-4303.4,-23592,-0.4,0.4000000000000002
1990-10-01 00:00:00,added Andy Toolson to UTA,-1316.0,-24908,-0.1,0.3000000000000002
1990-10-04 00:00:00,added Chris Munk to UTA,-84.1,-24992,0.0,0.3000000000000002
1990-12-15 00:00:00,added Pat Cummings to UTA,-83.2,-25075,0.0,0.3000000000000002
1990-12-28 00:00:00,added Dan O'Sullivan to UTA,0.0,-25075,0.0,0.3000000000000002
1991-01-16 00:00:00,added Dan O'Sullivan to UTA,-552.5,-25627,-0.1,0.2000000000000002
1991-03-01 00:00:00,added Tony Brown to UTA,0.0,-25627,0.0,0.2000000000000002
1991-04-01 00:00:00,added Tony Brown to UTA,-1628.6999999999998,-27256,-0.3,-0.0999999999999997
1991-06-26 00:00:00,added Eric Murdock to UTA,-334.6,-27591,0.2,0.1000000000000002
1991-06-26 00:00:00,added Isaac Austin to UTA,-2328.8,-29920,-0.4,-0.2999999999999997
1991-07-18 00:00:00,added Scott Meents to UTA,0.0,-29920,0.0,-0.2999999999999997
1991-07-27 00:00:00,added Andy Toolson to UTA,0.0,-29920,0.0,-0.2999999999999997
1991-08-07 00:00:00,added David Benoit to UTA,-15674.1,-45594,0.2000000000000002,-0.0999999999999994
1991-10-03 00:00:00,added Corey Crowder to UTA,-1213.6,-46807,-0.1,-0.1999999999999994
1991-10-03 00:00:00,added Mike Smrek to UTA,0.0,-46807,0.0,-0.1999999999999994
1991-11-25 00:00:00,lost Thurl Bailey to MIN,8021.6,-38786,-0.2999999999999999,-0.4999999999999994
1991-11-25 00:00:00,lost Tim Burroughs to MIN,-0.0,-38786,-0.0,-0.4999999999999994
1991-11-25 00:00:00,added Tyrone Corbin to UTA,1203.6999999999998,-37582,3.7,3.2000000000000006
1992-04-15 00:00:00,added Bob Thornton to UTA,-214.8,-37797,-0.1,3.1000000000000005
1992-06-24 00:00:00,lost Blue Edwards to MIL,3743.900000000001,-34053,-1.6,1.5000000000000009
1992-06-24 00:00:00,lost Eric Murdock to MIL,-19895.9,-53949,-8.7,-7.199999999999998
1992-06-24 00:00:00,lost Lee Mayberry to MIL,15732.3,-38216,0.7,-6.499999999999998
1992-06-24 00:00:00,added Jay Humphries to UTA,-9015.2,-47232,-0.3,-6.799999999999998
1992-06-24 00:00:00,added Larry Krystkowiak to UTA,-3405.0,-50637,-0.2,-6.999999999999998
1992-09-04 00:00:00,added John Crotty to UTA,-1495.7,-52132,1.1,-5.899999999999999
1992-09-28 00:00:00,added Tim Legler to UTA,-63.5,-52196,0.0,-5.899999999999999
1992-10-05 00:00:00,added Stephen Howard to UTA,-1533.9999999999998,-53730,-0.3,-6.199999999999998
1993-04-04 00:00:00,added Henry James to UTA,-65.7,-53796,0.0,-6.199999999999998
1993-04-15 00:00:00,added James Donaldson to UTA,-1135.7,-54931,0.1,-6.099999999999999
1993-06-30 00:00:00,added Luther Wright to UTA,-1131.6,-56063,-0.2,-6.299999999999999
1993-06-30 00:00:00,added Bryon Russell to UTA,9125.999999999998,-46937,10.7,4.4
1993-06-30 00:00:00,lost Mike Brown to MIN,8682.699999999999,-38254,1.1,5.5
1993-06-30 00:00:00,added Felton Spencer to UTA,-15448.5,-53703,-1.7,3.8
1993-08-12 00:00:00,added Tom Chambers to UTA,-7079.4,-60782,-0.2,3.6
1993-10-07 00:00:00,added Walter Bond to UTA,-1285.6999999999998,-62068,0.0,3.6
1993-11-13 00:00:00,added Dave Jamerson to UTA,-64.8,-62133,0.0,3.6
1993-11-29 00:00:00,added Aaron Williams to UTA,-286.79999999999995,-62419,-0.1,3.5
1994-02-01 00:00:00,added Chad Gallagher to UTA,90.3,-62329,0.0,3.5
1994-02-21 00:00:00,added Darren Morningstar to UTA,3.6,-62325,0.0,3.5
1994-02-24 00:00:00,lost Jeff Malone to PHI,6048.1,-56277,0.6000000000000001,4.1
1994-02-24 00:00:00,lost B.J. Tyler to PHI,4045.0,-52232,0.6,4.699999999999999
1994-02-24 00:00:00,added Sean Green to UTA,-54.0,-52286,0.0,4.699999999999999
1994-02-24 00:00:00,added Jeff Hornacek to UTA,52676.9,390,20.7,25.4
1994-02-24 00:00:00,added Junior Burrough to UTA,0.0,390,0.0,25.4
1994-03-08 00:00:00,added Stephen Howard to UTA,0.0,390,0.0,25.4
