date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2012-09-24 00:00:00,added Brian Butch to UTA,0.0,0,0.0,0.0
2012-09-27 00:00:00,added Chris Quinn to UTA,0.0,0,0.0,0.0
2012-09-27 00:00:00,added Trey Gilder to UTA,0.0,0,0.0,0.0
2012-09-27 00:00:00,added Darnell Jackson to UTA,0.0,0,0.0,0.0
2013-03-10 00:00:00,added Travis Leslie to UTA,0.0,0,0.0,0.0
2013-03-27 00:00:00,added Jerel McNeal to UTA,0.0,0,0.0,0.0
2013-06-27 00:00:00,added Shabazz Muhammad to UTA,0.0,0,0.0,0.0
2013-06-27 00:00:00,added Gorgui Dieng to UTA,0.0,0,0.0,0.0
2013-06-27 00:00:00,added Erick Green to UTA,-21.0,-21,0.0,0.0
2013-06-27 00:00:00,lost Gorgui Dieng to MIN,-1735.5,-1756,-5.9,-5.9
2013-06-27 00:00:00,lost Shabazz Muhammad to MIN,10318.1,8561,0.2,-5.7
2013-06-27 00:00:00,added Trey Burke to UTA,0.0,8561,0.0,-5.7
2013-06-27 00:00:00,lost Erick Green to DEN,1822.5,10384,0.2,-5.5
2013-06-27 00:00:00,added Rudy Gobert to UTA,0.0,10384,0.0,-5.5
2013-06-27 00:00:00,lost Pat Connaughton to ATL,-0.0,10384,-0.0,-5.5
2013-06-27 00:00:00,added Raul Neto to UTA,0.0,10384,0.0,-5.5
2013-07-06 00:00:00,added Trey Burke to UTA,-9767.4,616,0.3999999999999999,-5.1
2013-07-06 00:00:00,added Rudy Gobert to UTA,12142.199999999995,12758,5.299999999999997,0.1999999999999975
2013-07-10 00:00:00,lost Kevin Murphy to GSW,-0.0,12758,-0.0,0.1999999999999975
2013-07-10 00:00:00,lost Randy Foye to DEN,4020.9,16779,-1.3,-1.1000000000000023
2013-07-10 00:00:00,added Sviatoslav Mykhailiuk to UTA,-2910.6,13869,-0.4,-1.5000000000000029
2013-07-10 00:00:00,added Andris Biedriņš to UTA,-369.0,13500,-0.1,-1.6000000000000028
2013-07-10 00:00:00,added Richard Jefferson to UTA,-3098.2,10401,0.3,-1.3000000000000027
2013-07-10 00:00:00,added Brandon Rush to UTA,-2340.8,8061,-0.4,-1.7000000000000028
2013-07-10 00:00:00,added Rodney Hood to UTA,0.0,8061,0.0,-1.7000000000000028
2013-07-10 00:00:00,added Tyrone Wallace to UTA,0.0,8061,0.0,-1.7000000000000028
2013-07-10 00:00:00,added Josh Hart to UTA,0.0,8061,0.0,-1.7000000000000028
2013-07-10 00:00:00,added Alpha Kaba to UTA,0.0,8061,0.0,-1.7000000000000028
2013-07-22 00:00:00,added John Lucas III to UTA,-3486.9,4574,-0.6,-2.300000000000003
2013-07-24 00:00:00,added Ian Clark to UTA,-969.0,3605,-0.1,-2.400000000000003
2013-10-26 00:00:00,added Jamaal Tinsley to UTA,-836.0,2769,-0.2,-2.600000000000003
2014-04-05 00:00:00,added Erik Murphy to UTA,0.0,2769,0.0,-2.600000000000003
2014-06-26 00:00:00,added Dante Exum to UTA,0.0,2769,0.0,-2.600000000000003
2014-06-26 00:00:00,added Rodney Hood to UTA,0.0,2769,0.0,-2.600000000000003
