date,Transaction,single_value,value
1994-06-29 00:00:00,added Sharone Wright to PHI,-12220.4,-12220
1994-06-29 00:00:00,added B.J. Tyler to PHI,-4045.0,-16265
1994-06-29 00:00:00,added Derrick Alston to PHI,-7202.4,-23467
1994-07-25 00:00:00,lost Eric Leckner to DET,4419.4,-19048
1994-07-25 00:00:00,added Jamie Feick to PHI,0.0,-19048
1994-07-28 00:00:00,added Scott Williams to PHI,-10819.5,-29867
1994-10-05 00:00:00,added Tate George to PHI,0.0,-29867
1994-10-06 00:00:00,added Steve Bardo to PHI,0.0,-29867
1994-10-08 00:00:00,added Lloyd Daniels to PHI,-617.4000000000001,-30485
1994-11-08 00:00:00,added Willie Burton to PHI,-1720.4,-32205
1994-11-15 00:00:00,added Jaren Jackson to PHI,-848.0999999999999,-33053
1995-01-05 00:00:00,added Jeff Grayer to PHI,-4282.2,-37336
1995-02-15 00:00:00,added Kevin Pritchard to PHI,-514.8000000000001,-37850
1995-02-17 00:00:00,added Jerome Harmon to PHI,-505.6,-38356
1995-03-24 00:00:00,added Alaa Abdelnaby to PHI,-747.0,-39103
1995-03-27 00:00:00,added Alphonso Ford to PHI,-1078.0,-40181
1995-04-04 00:00:00,added Corey Gaines to PHI,-1176.0,-41357
1995-06-28 00:00:00,added Jerry Stackhouse to PHI,-9890.6,-51248
1995-09-21 00:00:00,added Richard Dumas to PHI,-2143.1,-53391
1995-09-26 00:00:00,added Vernon Maxwell to PHI,-4868.9,-58260
1995-10-05 00:00:00,added Charles Smith to PHI,0.0,-58260
1995-10-05 00:00:00,added Elmer Bennett to PHI,-745.8000000000001,-59005
1995-11-21 00:00:00,added Greg Grant to PHI,-1064.0,-60069
1995-11-30 00:00:00,lost Shawn Bradley to NJN,2931.3,-57138
1995-11-30 00:00:00,lost Greg Graham to NJN,1261.0,-55877
1995-11-30 00:00:00,lost Tim Perry to NJN,-16.7,-55894
1995-11-30 00:00:00,added Derrick Coleman to PHI,2134.2,-53760
1995-11-30 00:00:00,added Sean Higgins to PHI,-3297.6,-57057
1995-11-30 00:00:00,added Rex Walters to PHI,-2178.6,-59236
1995-12-03 00:00:00,added Trevor Ruffin to PHI,-3102.0,-62338
1995-12-07 00:00:00,added Trevor Wilson to PHI,0.0,-62338
1995-12-12 00:00:00,added Mike Brown to PHI,-988.2,-63326
1995-12-12 00:00:00,added Scott Skiles to PHI,-991.2,-64317
1996-01-10 00:00:00,added Greg Sutton to PHI,0.0,-64317
1996-01-11 00:00:00,added LaSalle Thompson to PHI,-4483.4,-68800
1996-01-30 00:00:00,added Greg Sutton to PHI,-1813.5,-70614
1996-02-22 00:00:00,lost Sharone Wright to TOR,9550.3,-61064
1996-02-22 00:00:00,added Tony Massenburg to PHI,-3457.2,-64521
1996-02-22 00:00:00,added Ed Pinckney to PHI,-611.1,-65132
1996-02-22 00:00:00,added Ryan Minor to PHI,0.0,-65132
1996-02-22 00:00:00,added James Collins to PHI,0.0,-65132
