date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1992-06-17 00:00:00,lost Charles Barkley to PHO,-64258.8,-64258,-21.4,-21.4,trade,Charles Barkley
1992-06-17 00:00:00,added Jeff Hornacek to PHI,6457.2,-57801,4.0,-17.4,trade,Jeff Hornacek
1992-06-17 00:00:00,added Andrew Lang to PHI,-5769.1,-63570,-0.6,-18.0,trade,Andrew Lang
1992-06-17 00:00:00,added Tim Perry to PHI,-12043.2,-75613,-0.6000000000000001,-18.6,trade,Tim Perry
1992-06-24 00:00:00,added Clarence Weatherspoon to PHI,-11800.4,-87414,5.199999999999999,-13.400000000000002,draft,Clarence Weatherspoon
1992-10-08 00:00:00,lost Jayson Williams to NJN,18945.1,-68469,0.4000000000000002,-13.000000000000002,trade,Jayson Williams
1992-10-08 00:00:00,added William Njoku to PHI,0.0,-68469,0.0,-13.000000000000002,trade,William Njoku
1992-10-08 00:00:00,added Kebu Stewart to PHI,-154.0,-68623,0.0,-13.000000000000002,trade,Kebu Stewart
1992-10-13 00:00:00,added Eddie Lee Wilkins to PHI,-403.2000000000001,-69026,0.0,-13.000000000000002,signing,Eddie Lee Wilkins
1993-04-20 00:00:00,added Thomas Jordan to PHI,-858.5999999999999,-69885,-0.2,-13.2,signing,Thomas Jordan
1993-06-30 00:00:00,added Shawn Bradley to PHI,-9155.6,-79040,-0.3,-13.500000000000002,draft,Shawn Bradley
1993-06-30 00:00:00,added Alphonso Ford to PHI,-1078.0,-80118,-0.2,-13.7,draft,Alphonso Ford
1993-08-12 00:00:00,added Moses Malone to PHI,-1297.8,-81416,0.0,-13.7,signing,Moses Malone
1993-08-27 00:00:00,added Eric Leckner to PHI,-5698.700000000001,-87115,-0.9,-14.6,signing,Eric Leckner
1993-09-03 00:00:00,lost Hersey Hawkins to CHH,-11382.3,-98497,-5.9,-20.5,trade,Hersey Hawkins
1993-09-03 00:00:00,added Dana Barros to PHI,18101.4,-80396,7.5,-13.0,trade,Dana Barros
1993-09-03 00:00:00,added Greg Graham to PHI,-7004.400000000001,-87400,-0.8,-13.8,trade,Greg Graham
1993-09-03 00:00:00,added Sidney Green to PHI,0.0,-87400,0.0,-13.8,trade,Sidney Green
1993-09-03 00:00:00,added Sharone Wright to PHI,-12220.4,-99620,-1.5,-15.3,trade,Sharone Wright
1993-10-07 00:00:00,added Warren Kidd to PHI,-3712.8,-103333,-0.5,-15.8,signing,Warren Kidd
1993-10-07 00:00:00,added Michael Curry to PHI,-580.5,-103914,-0.1,-15.9,signing,Michael Curry
1993-10-11 00:00:00,lost William Njoku to IND,-0.0,-103914,-0.0,-15.9,trade,William Njoku
1993-10-11 00:00:00,added Sean Green to PHI,-2423.6,-106337,-0.4,-16.3,trade,Sean Green
1993-11-15 00:00:00,added Orlando Woolridge to PHI,-6060.5,-112398,-0.5,-16.8,signing,Orlando Woolridge
1994-02-24 00:00:00,lost Sean Green to UTA,54.0,-112344,-0.0,-16.8,trade,Sean Green
1994-02-24 00:00:00,lost Jeff Hornacek to UTA,-52676.9,-165021,-20.7,-37.5,trade,Jeff Hornacek
1994-02-24 00:00:00,lost Junior Burrough to UTA,-0.0,-165021,-0.0,-37.5,trade,Junior Burrough
1994-02-24 00:00:00,added Jeff Malone to PHI,-6048.1,-171069,-0.6000000000000001,-38.1,trade,Jeff Malone
1994-02-24 00:00:00,added B.J. Tyler to PHI,-4045.0,-175114,-0.6,-38.7,trade,B.J. Tyler
1994-02-26 00:00:00,added Bill Edwards to PHI,-598.4,-175712,-0.1,-38.8,signing,Bill Edwards
1994-03-09 00:00:00,added Manute Bol to PHI,-53.900000000000006,-175766,0.0,-38.8,signing,Manute Bol
1994-03-22 00:00:00,added Isaac Austin to PHI,0.0,-175766,0.0,-38.8,signing,Isaac Austin
1994-04-11 00:00:00,added Isaac Austin to PHI,-844.2,-176610,-0.1,-38.900000000000006,signing,Isaac Austin
