date,Transaction,single_value,value
1980-01-08 00:00:00,added Jackie Robinson to DET,0.0,0
1980-01-24 00:00:00,lost Jim McElroy to ATL,6542.0,6542
1980-01-24 00:00:00,added Ron Lee to DET,-1606.7999999999995,4935
1980-01-24 00:00:00,added Brad Branson to DET,0.0,4935
1980-01-24 00:00:00,added Jonathan Moore to DET,0.0,4935
1980-02-04 00:00:00,lost Bob Lanier to MIL,-0.0,4935
1980-02-04 00:00:00,added Kent Benson to DET,2868.6,7803
1980-02-04 00:00:00,added Larry Drew to DET,0.0,7803
1980-03-05 00:00:00,added Steve Malovic to DET,-550.8,7253
1980-03-17 00:00:00,added Jackie Robinson to DET,-122.4,7130
1980-06-10 00:00:00,added Larry Drew to DET,-5849.700000000001,1280
1980-06-10 00:00:00,added Brad Branson to DET,0.0,1280
1980-06-10 00:00:00,added Jonathan Moore to DET,0.0,1280
1980-06-10 00:00:00,added Darwin Cook to DET,0.0,1280
1980-06-10 00:00:00,added Tony Fuller to DET,-992.0,288
1980-06-10 00:00:00,added Tony Turner to DET,0.0,288
1980-06-10 00:00:00,added Carl Pierce to DET,0.0,288
1980-06-10 00:00:00,added Leroy Loggins to DET,0.0,288
1980-06-10 00:00:00,added Terry DuPris to DET,0.0,288
1980-06-12 00:00:00,added Jackie Robinson to DET,0.0,288
1980-07-17 00:00:00,added Keith Herron to DET,-2951.0,-2662
1980-10-01 00:00:00,lost Harvey Knuckles to LAL,-0.0,-2662
1980-10-01 00:00:00,added Wayne Robinson to DET,-4298.400000000001,-6960
1980-10-07 00:00:00,lost Richard Anderson to HOU,-60.80000000000001,-7021
1980-10-07 00:00:00,added Paul Mokeski to DET,-6863.299999999999,-13884
1980-11-12 00:00:00,added Larry Wright to DET,-2125.5000000000005,-16010
1980-12-01 00:00:00,added Norman Black to DET,-140.0,-16150
1980-12-05 00:00:00,added Lee Johnson to DET,-50.0,-16200
1981-01-27 00:00:00,added Edmund Lawrence to DET,-70.3,-16270
1981-06-09 00:00:00,added Isiah Thomas to DET,94175.3,77904
1981-06-09 00:00:00,added Kelly Tripucka to DET,9710.600000000002,87615
1981-06-09 00:00:00,added John May to DET,0.0,87615
1981-06-09 00:00:00,added Don Koonce to DET,0.0,87615
1981-06-09 00:00:00,added George DeVone to DET,0.0,87615
1981-06-09 00:00:00,added Vince Brookins to DET,0.0,87615
1981-06-09 00:00:00,added Greg Nance to DET,0.0,87615
1981-06-09 00:00:00,added Joe Schoen to DET,0.0,87615
1981-06-09 00:00:00,added Eddie Baker to DET,0.0,87615
1981-06-09 00:00:00,added Melvin Maxwell to DET,0.0,87615
1981-06-11 00:00:00,added Edgar Jones to DET,247.20000000000005,87862
1981-08-26 00:00:00,lost Larry Drew to KCK,-6154.400000000001,81708
1981-08-26 00:00:00,added Dave Magley to DET,0.0,81708
1981-08-26 00:00:00,added Tony Costner to DET,0.0,81708
1981-09-25 00:00:00,added Brad Branson to DET,0.0,81708
1981-10-01 00:00:00,lost Jerry Eaves to UTA,7803.200000000001,89511
1981-10-01 00:00:00,added Jeff Judkins to DET,-953.8,88557
1981-11-02 00:00:00,added Glenn Hagan to DET,-67.5,88490
1981-11-23 00:00:00,added Alan Hardy to DET,-1147.0,87343
1981-11-23 00:00:00,lost Greg Kelser to SEA,3158.6000000000004,90501
1981-11-23 00:00:00,added Vinnie Johnson to DET,16488.899999999998,106990
1982-02-16 00:00:00,lost Phil Hubbard to CLE,16567.7,123558
1982-02-16 00:00:00,lost Paul Mokeski to CLE,4972.5,128530
1982-02-16 00:00:00,lost John Bagley to CLE,3026.3,131557
1982-02-16 00:00:00,lost Dave Magley to CLE,280.0,131837
1982-02-16 00:00:00,added Kenny Carr to DET,-1820.4,130016
1982-02-16 00:00:00,added Bill Laimbeer to DET,50492.4,180509
1982-02-28 00:00:00,added Steve Hayes to DET,-494.4,180014
1982-06-23 00:00:00,lost Kenny Carr to POR,10760.7,190775
1982-06-23 00:00:00,added Ricky Pierce to DET,0.0,190775
1982-06-29 00:00:00,added Cliff Levingston to DET,-1147.5,189628
1982-06-29 00:00:00,added Ricky Pierce to DET,-1563.5,188064
1982-06-29 00:00:00,added Walker Russell to DET,-5559.8,182504
1982-06-29 00:00:00,added John Ebeling to DET,0.0,182504
1982-06-29 00:00:00,added Gary Holmes to DET,0.0,182504
1982-06-29 00:00:00,added Dean Marquardt to DET,0.0,182504
1982-06-29 00:00:00,added Brian Nyenhuis to DET,0.0,182504
1982-06-29 00:00:00,added Kevin Smith to DET,0.0,182504
1982-06-29 00:00:00,added David Coulthard to DET,0.0,182504
1982-09-22 00:00:00,lost Greg Wiltjer to IND,-0.0,182504
1982-09-22 00:00:00,added Tom Owens to DET,0.0,182504
1982-10-07 00:00:00,lost Steve Hayes to CLE,4020.4,186525
1982-10-07 00:00:00,added Dennis Rodman to DET,0.0,186525
1982-10-22 00:00:00,added Jim Zoet to DET,-162.0,186363
1982-11-28 00:00:00,added Scott May to DET,-527.0,185836
1982-12-28 00:00:00,added Jim Smith to DET,-72.0,185764
1983-01-01 00:00:00,added James Wilkes to DET,-516.0,185248
1983-02-10 00:00:00,lost Edgar Jones to SAS,3680.6,188928
1983-02-10 00:00:00,added Eric Turner to DET,0.0,188928
1983-02-10 00:00:00,added Andre Goode to DET,0.0,188928
1983-02-13 00:00:00,lost Tony Costner to ATL,-0.0,188928
1983-02-13 00:00:00,lost Lorenzo Charles to ATL,436.8,189365
1983-02-13 00:00:00,added Ray Tolbert to DET,-2245.5,187120
1983-02-19 00:00:00,added Jim Johnstone to DET,-548.0,186572
1983-06-28 00:00:00,added Antoine Carr to DET,0.0,186572
1983-06-28 00:00:00,added Erich Santifer to DET,0.0,186572
1983-06-28 00:00:00,added Steve Bouchie to DET,0.0,186572
1983-06-28 00:00:00,added Ken Austin to DET,-137.20000000000002,186434
1983-06-28 00:00:00,added Derek Perry to DET,0.0,186434
1983-06-28 00:00:00,added Rob Gonzalez to DET,0.0,186434
1983-06-28 00:00:00,added George Wenzel to DET,0.0,186434
1983-06-28 00:00:00,added Marlow McLain to DET,0.0,186434
