,Transaction Date,Transaction,Score,Running Score
1,2013-06-27 00:00:00,added Alex Len to PHO,0,0
2,2013-06-27 00:00:00,added Nemanja Nedović to PHO,0,0
3,2013-06-27 00:00:00,added Alex Oriakhi to PHO,0,0
4,2013-06-27 00:00:00,lost Nemanja Nedović to GSW,1420,1420
5,2013-06-27 00:00:00,added Archie Goodwin to PHO,-7646,-6226
6,2013-06-27 00:00:00,added Malcolm Lee to PHO,0,-6226
7,2013-07-10 00:00:00,lost Lamar Patterson to MIL,0,-6226
8,2013-07-10 00:00:00,lost Jared Dudley to LAC,2593,-3632
9,2013-07-10 00:00:00,added Eric Bledsoe to PHO,4389,756
10,2013-07-10 00:00:00,added Caron Butler to PHO,0,756
11,2013-07-27 00:00:00,lost Luis Scola to IND,3995,4751
12,2013-07-27 00:00:00,added Gerald Green to PHO,2828,7580
13,2013-07-27 00:00:00,added Miles Plumlee to PHO,-3256,4323
14,2013-07-27 00:00:00,added Bogdan Bogdanović to PHO,0,4323
15,2013-08-29 00:00:00,lost Caron Butler to MIL,2380,6704
16,2013-08-29 00:00:00,added Viacheslav Kravtsov to PHO,-407,6297
17,2013-08-29 00:00:00,added Ish Smith to PHO,-1408,4888
18,2013-08-29 00:00:00,added Alex Len to PHO,-16539,-11651
19,2013-09-28 00:00:00,added James Nunnally to PHO,0,-11651
20,2013-10-25 00:00:00,lost Shannon Brown to WAS,0,-11651
21,2013-10-25 00:00:00,lost Marcin Gortat to WAS,-3867,-15518
22,2013-10-25 00:00:00,lost Malcolm Lee to WAS,0,-15518
23,2013-10-25 00:00:00,lost Kendall Marshall to WAS,0,-15518
24,2013-10-25 00:00:00,added Emeka Okafor to PHO,0,-15518
25,2013-10-25 00:00:00,added Tyler Ennis to PHO,0,-15518
26,2014-01-28 00:00:00,added Leandro Barbosa to PHO,-1030,-16548
27,2014-03-02 00:00:00,added Shavlik Randolph to PHO,-1071,-17620
28,2014-06-26 00:00:00,added T.J. Warren to PHO,0,-17620
