date,Transaction,single_value,value
1995-06-28,added Kevin Garnett to MIN,224076.4,224076
1995-06-28,added Mark Davis to MIN,-1827.2,222249
1995-06-28,added Jerome Allen to MIN,-1665.1999999999998,220583
1995-09-29,added Sam Mitchell to MIN,-23977.4,196606
1995-10-05,added Marques Bragg to MIN,-2066.4,194540
1995-10-05,added Rich King to MIN,0.0,194540
1995-10-14,added Terry Porter to MIN,4958.4,199498
1995-10-14,added Eric Riley to MIN,-1178.0,198320
1995-12-05,added Charles Smith to MIN,-620.1,197700
1996-01-12,lost Amal McCaskill to VAN,-0.0,197700
1996-01-12,added Darrick Martin to MIN,-3062.7000000000003,194637
1996-02-22,lost Christian Laettner to ATL,-13033.7,181604
1996-02-22,lost Sean Rooks to ATL,1053.5,182657
1996-02-22,added Andrew Lang to MIN,-2695.0,179962
1996-02-22,added Spud Webb to MIN,-258.0,179704
1996-06-26,added Ray Allen to MIN,0.0,179704
1996-06-26,lost Ray Allen to MIL,-50486.2,129218
1996-06-26,lost Rasho Nesterović to MIL,-0.0,129218
1996-06-26,added Stephon Marbury to MIN,1209.1,130427
1996-06-29,added Cherokee Parks to MIN,-4974.0,125453
1996-07-11,lost Andrew Lang to MIL,4910.4,130363
1996-07-11,added Rasho Nesterović to MIN,0.0,130363
1996-07-19,added Chris Carr to MIN,-4804.0,125559
1996-07-23,lost Isaiah Rider to POR,3316.0,128875
1996-07-23,added Bill Curley to MIN,-2459.6,126416
1996-07-23,added James Robinson to MIN,-1439.9,124976
1996-07-23,added Paul Grant to MIN,0.0,124976
1996-09-06,added Stojko Vranković to MIN,-2527.8,122448
1996-09-18,added Shane Heal to MIN,-1604.8,120843
1996-09-18,added Dean Garrett to MIN,1664.9999999999995,122508
1997-03-19,added Reggie Jordan to MIN,0.0,122508
1997-04-08,added Reggie Jordan to MIN,225.1000000000001,122733
1997-06-25,added Paul Grant to MIN,-237.6,122496
1997-06-25,added Gordon Malone to MIN,0.0,122496
1997-06-25,lost Stojko Vranković to LAC,3996.0,126492
1997-06-25,added Stanley Roberts to MIN,-5444.799999999999,121047
1997-09-30,added Mikki Moore to MIN,0.0,121047
1997-10-01,added Clifford Rozier to MIN,-465.0,120582
1997-10-23,added DeJuan Wheat to MIN,0.0,120582
1997-11-25,added Tom Hammonds to MIN,-9229.0,111353
1998-02-18,lost Doug West to VAN,3702.0,115055
1998-02-18,added Anthony Peeler to MIN,-3548.0,111507
1998-06-24,added Rasho Nesterović to MIN,-13090.6,98416
1998-06-24,added Andrae Patterson to MIN,-577.6,97839
1999-01-21,lost Željko Rebrača to TOR,-0.0,97839
1999-01-21,lost Micheal Williams to TOR,199.5,98038
1999-01-21,lost Morris Peterson to TOR,3058.5999999999995,101097
1999-01-21,added Dean Garrett to MIN,-4081.0,97016
1999-01-21,added Bobby Jackson to MIN,-66.20000000000005,96950
1999-01-21,added Mikki Moore to MIN,0.0,96950
1999-01-21,added DeJuan Wheat to MIN,0.0,96950
1999-01-22,added Troy Hudson to MIN,0.0,96950
1999-01-22,added Malik Sealy to MIN,-2618.2000000000003,94331
1999-01-22,added Joe Smith to MIN,-5307.2,89024
1999-01-30,added Trevor Winter to MIN,-125.0,88899
1999-03-11,lost Chris Carr to NJN,982.8,89882
1999-03-11,lost Bill Curley to NJN,-0.0,89882
1999-03-11,lost Stephon Marbury to NJN,-21488.1,68394
1999-03-11,lost Paul Grant to MIL,17.0,68411
1999-03-11,added Terrell Brandon to MIN,27812.0,96223
1999-03-11,added Brian Evans to MIN,-148.8,96074
1999-03-11,added Wally Szczerbiak to MIN,0.0,96074
1999-03-17,added Dennis Scott to MIN,0.0,96074
1999-03-17,added Bill Curley to MIN,-1525.1999999999998,94549
1999-03-26,added James Robinson to MIN,0.0,94549
1999-03-26,added Dennis Scott to MIN,-425.6,94123
1999-04-17,added James Robinson to MIN,-768.4,93355
1999-06-30,added Wally Szczerbiak to MIN,14230.8,107586
1999-06-30,added William Avery to MIN,-6804.4,100781
1999-06-30,added Louis Bullock to MIN,0.0,100781
1999-06-30,lost Louis Bullock to ORL,-0.0,100781
2000-01-03,added Todd Day to MIN,-724.5,100057
2000-06-28,added Igor Rakočević to MIN,-1195.6,98861
2000-08-08,added Chauncey Billups to MIN,4992.5,103854
2000-10-03,added Reggie Slater to MIN,-2538.2000000000003,101316
2000-10-04,added LaPhonso Ellis to MIN,-2337.6,98978
2000-10-17,added Sam Jacobson to MIN,-253.7,98724
2000-10-26,added John Coker to MIN,0.0,98724
2001-02-28,added Felipe López to MIN,-2581.2,96143
2001-06-27,added Loren Woods to MIN,-2137.2,94006
2001-07-23,added Maurice Evans to MIN,-211.5,93794
2001-07-30,added Joe Smith to MIN,-3065.2,90729
2001-10-02,added Gary Trent to MIN,-5226.2,85503
2001-10-02,added Bill Curley to MIN,0.0,85503
2002-02-21,lost Dean Garrett to GSW,437.1,85940
2002-02-21,lost Jermareo Davidson to GSW,577.2,86517
2002-02-21,added Marc Jackson to MIN,-5163.099999999999,81354
2002-03-18,added Robert Pack to MIN,-1108.8000000000002,80245
2002-06-26,added Marcus Taylor to MIN,0.0,80245
2002-08-26,added Troy Hudson to MIN,-8834.4,71411
2002-09-25,added Kendall Gill to MIN,-5790.4,65621
2002-10-01,added Randy Livingston to MIN,0.0,65621
2002-10-01,added Reggie Slater to MIN,0.0,65621
2002-10-27,added Rod Strickland to MIN,478.0,66099
2003-02-12,added Mike Wilks to MIN,-810.0,65289
2003-06-26,added Ndudi Ebi to MIN,-328.0,64961
2003-06-26,added Rick Rickert to MIN,0.0,64961
2003-06-27,lost Anthony Peeler to MIL,-0.0,64961
2003-06-27,lost Joe Smith to MIL,4714.1,69675
2003-06-27,added Sam Cassell to MIN,14313.6,83988
2003-06-27,added Ervin Johnson to MIN,-3468.5,80520
2003-07-16,added Michael Olowokandi to MIN,-12875.8,67644
