date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1989-06-15 00:00:00,added Gary Leonard to MIN,0.0,0,0.0,0.0,trade,Gary Leonard
1989-06-27 00:00:00,added Pooh Richardson to MIN,13720.0,13720,7.800000000000001,7.800000000000001,draft,Pooh Richardson
1989-06-27 00:00:00,added Gary Leonard to MIN,-1066.8,12653,-0.2,7.6,draft,Gary Leonard
1989-06-27 00:00:00,added Doug West to MIN,-46313.7,-33660,-3.8,3.8000000000000007,draft,Doug West
1989-07-23 00:00:00,added Sam Mitchell to MIN,-48147.100000000006,-81807,-2.8,1.0000000000000009,signing,Sam Mitchell
1989-08-03 00:00:00,added Sidney Lowe to MIN,-4708.8,-86516,-0.3,0.7000000000000008,signing,Sidney Lowe
1989-08-16 00:00:00,added Tod Murphy to MIN,-5712.0,-92228,0.6000000000000001,1.300000000000001,signing,Tod Murphy
1989-08-30 00:00:00,added Jim Farmer to MIN,0.0,-92228,0.0,1.300000000000001,signing,Jim Farmer
1989-09-12 00:00:00,added Donald Royal to MIN,-1268.2,-93496,0.1,1.400000000000001,signing,Donald Royal
1989-09-13 00:00:00,added Tony Campbell to MIN,-2558.6,-96055,3.6,5.000000000000001,signing,Tony Campbell
1989-10-03 00:00:00,added Jim Thomas to MIN,0.0,-96055,0.0,5.000000000000001,signing,Jim Thomas
1989-10-20 00:00:00,added Adrian Branch to MIN,-182.0,-96237,0.0,5.000000000000001,signing,Adrian Branch
1989-10-27 00:00:00,lost Rick Mahorn to PHI,6007.200000000001,-90230,-0.8,4.200000000000001,trade,Rick Mahorn
1989-10-27 00:00:00,added Gerald Glass to MIN,0.0,-90230,0.0,4.200000000000001,trade,Gerald Glass
1989-10-27 00:00:00,added Alvaro Teheran to MIN,0.0,-90230,0.0,4.200000000000001,trade,Alvaro Teheran
1989-10-27 00:00:00,added Duane Cooper to MIN,0.0,-90230,0.0,4.200000000000001,trade,Duane Cooper
1990-01-04 00:00:00,lost Brad Lohaus to MIL,472.2999999999997,-89757,-3.2,1.0000000000000009,trade,Brad Lohaus
1990-01-04 00:00:00,lost Duane Cooper to MIL,-0.0,-89757,-0.0,1.0000000000000009,trade,Duane Cooper
1990-01-04 00:00:00,added Randy Breuer to MIN,-5761.8,-95519,0.6,1.600000000000001,trade,Randy Breuer
1990-01-04 00:00:00,added Chris Smith to MIN,-9013.3,-104532,-0.3,1.300000000000001,trade,Chris Smith
1990-02-22 00:00:00,lost Steve Johnson to SEA,871.2,-103661,0.1,1.400000000000001,trade,Steve Johnson
1990-02-22 00:00:00,added Brad Sellers to MIN,-3368.6,-107030,-0.5,0.900000000000001,trade,Brad Sellers
1990-06-25 00:00:00,lost Brian Oliver to PHI,6170.5,-100859,1.0,1.900000000000001,trade,Brian Oliver
1990-06-25 00:00:00,added Scott Brooks to MIN,3454.4,-97405,1.9,3.8000000000000007,trade,Scott Brooks
1990-06-27 00:00:00,added Felton Spencer to MIN,-19472.1,-116877,-2.5,1.3000000000000007,draft,Felton Spencer
