date,Transaction,single_value,value
2007-06-14,lost Juwan Howard to MIN,0,0
2007-06-14,added Mike James to HOU,-1557,-1557
2007-06-14,added Justin Reed to HOU,0,-1557
2007-06-28,added Brad Newley to HOU,0,-1557
2007-06-28,added Aaron Brooks to HOU,-3640,-5197
2007-06-28,added Brad Newley to HOU,0,-5197
2007-06-28,lost Sasha Kaun to SEA,0,-5197
2007-06-28,added Carl Landry to HOU,4781,-415
2007-07-12,lost Vassilis Spanoulis to SAS,0,-415
2007-07-12,lost Nando De Colo to SAS,1073,658
2007-07-12,added Jackie Butler to HOU,0,658
2007-07-12,added Luis Scola to HOU,-4449,-3790
2007-07-13,added Mike Harris to HOU,0,-3790
2007-07-20,added Steve Francis to HOU,-398,-4188
2008-02-21,lost Kirk Snyder to MIN,1428,-2760
2008-02-21,lost Paulão Prestes to MIN,0,-2760
2008-02-21,added Gerald Green to HOU,163,-2597
2008-02-21,lost Mike James to NOH,1596,-1000
2008-02-21,lost Bonzi Wells to NOH,175,-825
2008-02-21,added Sergei Lishouk to HOU,0,-825
2008-02-21,added Bobby Jackson to HOU,348,-476
2008-02-21,added Maarty Leunen to HOU,0,-476
2008-02-26,added Bobby Jones to HOU,-98,-574
2008-03-07,added Justin Williams to HOU,-191,-766
2008-03-08,added Mike Harris to HOU,47,-718
2008-03-21,added Loren Woods to HOU,18,-699
2008-06-26,added Nicolas Batum to HOU,0,-699
2008-06-26,added Maarty Leunen to HOU,0,-699
2008-06-26,lost Nicolas Batum to POR,-35775,-36475
2008-06-26,added Donté Greene to HOU,0,-36475
2008-06-26,added Sam Young to HOU,0,-36475
2008-06-26,added Joey Dorsey to HOU,-2867,-39342
2008-07-10,added Brent Barry to HOU,85,-39256
2008-08-06,lost Steve Novak to LAC,1803,-37452
2008-08-14,lost Donté Greene to SAC,11882,-25570
2008-08-14,lost Bobby Jackson to SAC,2671,-22899
2008-08-14,lost Omri Casspi to SAC,5122,-17777
2008-08-14,added Metta World Peace to HOU,4658,-13118
2008-08-14,added Patrick Ewing to HOU,0,-13118
2008-08-14,added Sean Singletary to HOU,0,-13118
2008-08-25,lost Sean Singletary to PHO,463,-12654
2008-08-25,added D.J. Strawberry to HOU,0,-12654
2008-08-29,lost Patrick Ewing to NYK,0,-12654
2008-09-29,added Von Wafer to HOU,245,-12409
2008-12-23,lost Steve Francis to MEM,0,-12409
2008-12-23,lost Sam Young to MEM,5946,-6463
