date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2012-06-28 00:00:00,added Harrison Barnes to GSW,-9447.8,-9447,1.8,1.8
2012-06-28 00:00:00,added Festus Ezeli to GSW,-4792.2,-14240,0.0,1.8
2012-06-28 00:00:00,added Draymond Green to GSW,8309.700000000004,-5930,4.900000000000002,6.700000000000002
2012-06-28 00:00:00,added Ognjen Kuzmić to GSW,-919.6,-6849,-0.2,6.500000000000002
2012-07-11 00:00:00,lost Dorell Wright to PHI,-4635.8,-11485,-2.1,4.400000000000002
2012-07-11 00:00:00,added Jarrett Jack to GSW,1174.5,-10311,1.4,5.8000000000000025
2012-07-26 00:00:00,added Kent Bazemore to GSW,-3580.4,-13891,0.0,5.8000000000000025
2012-08-01 00:00:00,added Carl Landry to GSW,-375.2000000000001,-14266,0.8,6.600000000000002
2013-02-21 00:00:00,lost Charles Jenkins to PHI,600.0,-13666,0.1,6.700000000000002
2013-02-21 00:00:00,lost Jeremy Tyler to ATL,16.0,-13650,-0.0,6.700000000000002
2013-03-08 00:00:00,added Malcolm Thomas to GSW,8.4,-13642,0.0,6.700000000000002
2013-04-07 00:00:00,added Scott Machado to GSW,0.0,-13642,0.0,6.700000000000002
2013-04-17 00:00:00,added Dwayne Jones to GSW,0.0,-13642,0.0,6.700000000000002
2013-06-27 00:00:00,lost Alessandro Gentile to MIN,-0.0,-13642,-0.0,6.700000000000002
2013-06-27 00:00:00,added Malcolm Lee to GSW,0.0,-13642,0.0,6.700000000000002
2013-06-27 00:00:00,added Andre Roberson to GSW,0.0,-13642,0.0,6.700000000000002
2013-06-27 00:00:00,lost Andre Roberson to OKC,4030.8,-9611,-2.4,4.3000000000000025
2013-06-27 00:00:00,added Archie Goodwin to GSW,0.0,-9611,0.0,4.3000000000000025
2013-06-27 00:00:00,lost Archie Goodwin to PHO,7646.400000000001,-1965,0.9,5.200000000000003
2013-06-27 00:00:00,lost Malcolm Lee to PHO,-0.0,-1965,-0.0,5.200000000000003
2013-06-27 00:00:00,added Nemanja Nedović to GSW,-1420.0,-3385,-0.3,4.900000000000003
2013-07-10 00:00:00,lost Andris Biedriņš to UTA,369.0,-3016,0.1,5.000000000000003
2013-07-10 00:00:00,lost Richard Jefferson to UTA,3098.2,82,-0.3,4.700000000000003
2013-07-10 00:00:00,lost Brandon Rush to UTA,2340.8,2422,0.4,5.100000000000003
2013-07-10 00:00:00,lost Rodney Hood to UTA,-142.19999999999982,2280,-3.1,2.000000000000003
2013-07-10 00:00:00,lost Tyrone Wallace to UTA,-0.0,2280,-0.0,2.000000000000003
2013-07-10 00:00:00,lost Josh Hart to UTA,-0.0,2280,-0.0,2.000000000000003
2013-07-10 00:00:00,lost Alpha Kaba to UTA,-0.0,2280,-0.0,2.000000000000003
2013-07-10 00:00:00,lost Thomas Welsh to DEN,-43.2,2237,-0.0,2.000000000000003
2013-07-10 00:00:00,added Andre Iguodala to GSW,13454.3,15691,7.4,9.400000000000004
2013-07-10 00:00:00,added Kevin Murphy to GSW,0.0,15691,0.0,9.400000000000004
2013-07-12 00:00:00,added Marreese Speights to GSW,-9005.1,6686,-0.8,8.600000000000003
2013-07-18 00:00:00,added Toney Douglas to GSW,-768.5,5918,-0.1,8.500000000000004
2013-07-23 00:00:00,added Jermaine O'Neal to GSW,-1236.1999999999998,4681,0.1,8.600000000000003
2013-09-23 00:00:00,added Dewayne Dedmon to GSW,0.0,4681,0.0,8.600000000000003
2013-09-23 00:00:00,added Cameron Jones to GSW,0.0,4681,0.0,8.600000000000003
2013-11-18 00:00:00,added Dewayne Dedmon to GSW,-81.6,4600,0.0,8.600000000000003
2013-12-11 00:00:00,added Hilton Armstrong to GSW,0.0,4600,0.0,8.600000000000003
2014-01-15 00:00:00,lost Toney Douglas to MIA,574.0,5174,-0.1,8.500000000000004
2014-01-15 00:00:00,added MarShon Brooks to GSW,-24.0,5150,0.0,8.500000000000004
2014-01-15 00:00:00,added Jordan Crawford to GSW,-1784.7,3365,-0.1,8.400000000000004
2014-02-19 00:00:00,lost Kent Bazemore to LAL,3951.0,7316,0.4,8.800000000000004
2014-02-19 00:00:00,lost MarShon Brooks to LAL,159.6,7476,-0.1,8.700000000000005
2014-02-19 00:00:00,added Steve Blake to GSW,-607.0,6869,0.2,8.900000000000004
2014-02-22 00:00:00,added Hilton Armstrong to GSW,0.0,6869,0.0,8.900000000000004
2014-04-08 00:00:00,added Hilton Armstrong to GSW,-9.7,6859,0.0,8.900000000000004
2014-07-11 00:00:00,added Shaun Livingston to GSW,-4080.9,2778,1.1,10.000000000000004
2014-09-02 00:00:00,added James Michael McAdoo to GSW,0.0,2778,0.0,10.000000000000004
