date,Transaction,single_value,value
1977-06-07 00:00:00,lost Swen Nater to BUF,-833,-833
1977-06-07 00:00:00,lost Tate Armstrong to BUF,0,-833
1977-06-07 00:00:00,added Marques Johnson to MIL,0,-833
1977-06-10 00:00:00,added Kent Benson to MIL,2133,1300
1977-06-10 00:00:00,added Marques Johnson to MIL,77972,79272
1977-06-10 00:00:00,added Ernie Grunfeld to MIL,-2751,76521
1977-06-10 00:00:00,added Glen Williams to MIL,0,76521
1977-06-10 00:00:00,added Gary Yoder to MIL,0,76521
1977-06-10 00:00:00,added Lewis Brown to MIL,0,76521
1977-06-10 00:00:00,added Ron Norwood to MIL,0,76521
1977-06-10 00:00:00,added Chuck Goodyear to MIL,0,76521
1977-06-10 00:00:00,added Ron Bostick to MIL,0,76521
1977-06-10 00:00:00,added Larry Pikes to MIL,0,76521
1977-09-02 00:00:00,lost Roy Hamilton to BUF,0,76521
1977-09-02 00:00:00,added John Gianelli to MIL,-4276,72245
1977-12-02 00:00:00,added Rich Laurel to MIL,-290,71954
1978-01-13 00:00:00,added Jim Eakins to MIL,-325,71629
1978-06-01 00:00:00,lost Mike Mitchell to CLE,779,72408
1978-06-01 00:00:00,added Greg Kelser to MIL,0,72408
1978-06-09 00:00:00,added George Johnson to MIL,-578,71830
1978-06-09 00:00:00,added Pat Cummings to MIL,-7683,64146
1978-06-09 00:00:00,added Otis Howard to MIL,-112,64034
1978-06-09 00:00:00,added Russ Coleman to MIL,0,64034
1978-06-09 00:00:00,added Dave Kyle to MIL,0,64034
1978-06-09 00:00:00,added Kim Anderson to MIL,0,64034
1978-06-09 00:00:00,added Tom Zaliagiris to MIL,0,64034
1978-06-09 00:00:00,added Gary Rosenberger to MIL,0,64034
1978-06-09 00:00:00,added Tom Anderson to MIL,0,64034
1978-07-26 00:00:00,added C.J. Kupec to MIL,0,64034
1978-09-14 00:00:00,added Del Beshore to MIL,0,64034
1978-09-18 00:00:00,added Kevin Restani to MIL,-2876,61158
1978-10-20 00:00:00,added Del Beshore to MIL,-4,61153
1978-10-23 00:00:00,lost Otis Howard to DET,345,61499
1978-10-26 00:00:00,added Norm Van Lier to MIL,-555,60944
1979-01-25 00:00:00,added Sam Smith to MIL,0,60944
1979-02-15 00:00:00,added Sam Smith to MIL,-125,60819
1979-05-31 00:00:00,lost John Gianelli to NJN,0,60819
1979-05-31 00:00:00,lost Calvin Natt to NJN,204,61023
1979-05-31 00:00:00,added Harvey Catchings to MIL,-2940,58083
1979-06-25 00:00:00,lost Greg Kelser to DET,4283,62367
1979-06-25 00:00:00,added Sidney Moncrief to MIL,0,62367
1979-06-25 00:00:00,added Sidney Moncrief to MIL,85883,148250
1979-06-25 00:00:00,added Edgar Jones to MIL,0,148250
1979-06-25 00:00:00,added Larry Gibson to MIL,0,148250
1979-06-25 00:00:00,added Eugene Robinson to MIL,0,148250
1979-06-25 00:00:00,added Jim Tillman to MIL,0,148250
1979-06-25 00:00:00,added Derrick Mayes to MIL,0,148250
1979-06-25 00:00:00,added Stan Ray to MIL,0,148250
1979-06-25 00:00:00,added Larry Spicer to MIL,0,148250
1979-06-25 00:00:00,added Roger Lapham to MIL,0,148250
1979-06-25 00:00:00,added Chris Fahrbach to MIL,0,148250
1979-08-31 00:00:00,lost Kevin Restani to SAS,3677,151927
1979-10-09 00:00:00,lost Ernie Grunfeld to KCK,-1558,150368
1979-10-09 00:00:00,lost Dick Miller to KCK,0,150368
1979-10-09 00:00:00,added Richard Washington to MIL,-2839,147529
1979-10-19 00:00:00,lost George Johnson to DEN,969,148498
1980-02-04 00:00:00,lost Kent Benson to DET,-2868,145629
1980-02-04 00:00:00,lost Larry Drew to DET,5849,151479
1980-02-04 00:00:00,added Bob Lanier to MIL,21554,173034
1980-05-16 00:00:00,added George Johnson to MIL,0,173034
1980-06-10 00:00:00,added Al Beal to MIL,0,173034
1980-06-10 00:00:00,added Jeff Wolf to MIL,0,173034
1980-06-10 00:00:00,added Ken Jones to MIL,0,173034
1980-06-10 00:00:00,added Alex Gilbert to MIL,0,173034
1980-06-10 00:00:00,added Ron White to MIL,0,173034
1980-06-10 00:00:00,added Keith Valentine to MIL,0,173034
1980-06-10 00:00:00,added Del Yarbrough to MIL,0,173034
1980-06-10 00:00:00,added Melvin Crayton to MIL,0,173034
1980-06-19 00:00:00,added Len Elmore to MIL,-1295,171739
1980-06-23 00:00:00,added Scott Lloyd to MIL,0,171739
1980-09-11 00:00:00,lost George Johnson to IND,10233,181972
1980-09-11 00:00:00,lost Jose Slaughter to IND,2163,184135
1980-09-11 00:00:00,added Mickey Johnson to MIL,4719,188855
1980-10-07 00:00:00,added Mike Evans to MIL,-2345,186509
1981-06-09 00:00:00,added Alton Lister to MIL,-3949,182560
1981-06-09 00:00:00,added Mark Smith to MIL,0,182560
1981-06-09 00:00:00,added Kris Anderson to MIL,0,182560
1981-06-09 00:00:00,added Kelvin Troy to MIL,0,182560
1981-06-09 00:00:00,added Jo Jo Hunter to MIL,0,182560
1981-06-09 00:00:00,added Lewis Latimore to MIL,0,182560
1981-06-09 00:00:00,added Mike Brkovich to MIL,0,182560
1981-06-09 00:00:00,added Chip Rucker to MIL,0,182560
1981-06-09 00:00:00,added Artie Green to MIL,0,182560
1981-09-24 00:00:00,added Geoff Crompton to MIL,-872,181687
1981-11-02 00:00:00,added Bob Dandridge to MIL,-835,180852
1981-11-02 00:00:00,lost Len Elmore to NJN,4215,185067
1981-11-16 00:00:00,added Scott May to MIL,2017,187085
1981-11-20 00:00:00,added Kevin Stacom to MIL,-477,186608
1982-03-17 00:00:00,added Robert Smith to MIL,0,186608
1982-04-07 00:00:00,added Robert Smith to MIL,-663,185944
1982-04-15 00:00:00,added Brad Holland to MIL,-54,185890
1982-06-28 00:00:00,lost Pat Cummings to DAL,8922,194813
1982-06-28 00:00:00,added Fred Roberts to MIL,0,194813
1982-06-29 00:00:00,added Paul Pressey to MIL,53246,248060
1982-06-29 00:00:00,added Fred Roberts to MIL,-11394,236666
1982-06-29 00:00:00,added Jerry Beck to MIL,0,236666
1982-06-29 00:00:00,added Tony Carr to MIL,0,236666
1982-06-29 00:00:00,added Bobby Austin to MIL,0,236666
1982-06-29 00:00:00,added Bryan Leonard to MIL,0,236666
1982-06-29 00:00:00,added Robert Tate to MIL,0,236666
1982-06-29 00:00:00,added Bob Coenen to MIL,0,236666
1982-09-09 00:00:00,lost Quinn Buckner to BOS,7099,243765
1982-09-09 00:00:00,added Dave Cowens to MIL,-405,243359
1982-09-13 00:00:00,added Steve Mix to MIL,712,244072
1982-09-27 00:00:00,added Charlie Criss to MIL,-398,243674
1982-10-15 00:00:00,lost Robert Smith to SDC,189,243863
1982-10-18 00:00:00,added Armond Hill to MIL,-135,243728
1982-11-10 00:00:00,lost Mickey Johnson to NJN,1402,245130
1982-11-10 00:00:00,lost Fred Roberts to NJN,0,245130
1982-11-10 00:00:00,added Phil Ford to MIL,-3762,241368
1982-12-24 00:00:00,added Paul Mokeski to MIL,0,241368
1982-12-27 00:00:00,added Sam Pellom to MIL,-102,241266
1983-01-13 00:00:00,added Paul Mokeski to MIL,-18397,222869
1983-06-28 00:00:00,added Randy Breuer to MIL,-8763,214105
1983-06-28 00:00:00,added Ted Kitchel to MIL,0,214105
1983-06-28 00:00:00,added Mike Davis to MIL,0,214105
1983-06-28 00:00:00,added Billy Goodwin to MIL,0,214105
1983-06-28 00:00:00,added Mark Nickens to MIL,0,214105
1983-06-28 00:00:00,added Mark Petteway to MIL,0,214105
1983-06-28 00:00:00,added Russell Todd to MIL,0,214105
1983-06-28 00:00:00,added Charles Hurt to MIL,0,214105
1983-06-28 00:00:00,added Anthony Hicks to MIL,0,214105
1983-06-28 00:00:00,added Brett Burkholder to MIL,0,214105
1983-06-28 00:00:00,added Bill Varner to MIL,0,214105
1983-06-28 00:00:00,added Bob Kelly to MIL,0,214105
1983-08-01 00:00:00,added Tiny Archibald to MIL,-2076,212029
