date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2005-08-02 00:00:00,added Josh Powell to DAL,-1544.4,-1544,-0.2,-0.2
2005-08-05 00:00:00,added Rawle Marshall to DAL,-433.8,-1978,0.0,-0.2
2005-08-19 00:00:00,added Doug Christie to DAL,-185.0,-2163,0.0,-0.2
2005-08-19 00:00:00,added DeSagana Diop to DAL,-90.40000000000008,-2253,2.2,2.0
2005-10-03 00:00:00,added Kaniel Dickens to DAL,0.0,-2253,0.0,2.0
2005-11-28 00:00:00,added Adrian Griffin to DAL,996.0,-1257,0.9,2.9
2006-06-28 00:00:00,added Maurice Ager to DAL,-2916.7,-4174,-0.6000000000000001,2.3
2006-06-28 00:00:00,added J.R. Pinnock to DAL,0.0,-4174,0.0,2.3
2006-06-28 00:00:00,lost J.R. Pinnock to LAL,-0.0,-4174,-0.0,2.3
2006-06-28 00:00:00,added Renaldas Seibutis to DAL,0.0,-4174,0.0,2.3
2006-07-12 00:00:00,lost Marquis Daniels to IND,9100.4,4926,0.2,2.5
2006-07-12 00:00:00,added Austin Croshere to DAL,-1163.2,3762,0.1,2.6
2006-07-13 00:00:00,added Greg Buckner to DAL,-2332.4,1430,0.1,2.7
2006-07-24 00:00:00,lost Darrell Armstrong to IND,-2295.0,-864,-1.2,1.5000000000000002
2006-07-24 00:00:00,lost Rawle Marshall to IND,1371.8,507,0.2,1.7000000000000002
2006-07-24 00:00:00,lost Josh Powell to IND,921.6,1428,0.2,1.9
2006-07-24 00:00:00,added Anthony Johnson to DAL,-1405.0,23,-0.1,1.8
2006-08-01 00:00:00,added Devean George to DAL,-6205.699999999999,-6181,-0.1,1.7
2006-08-03 00:00:00,added Pops Mensah-Bonsu to DAL,-468.6,-6650,-0.1,1.6
2006-08-11 00:00:00,added J.J. Barea to DAL,-7111.5,-13761,0.899999999999999,2.499999999999999
2007-02-22 00:00:00,lost Anthony Johnson to ATL,4184.099999999999,-9577,0.0999999999999999,2.599999999999999
2007-02-22 00:00:00,added Nick Fazekas to DAL,0.0,-9577,0.0,2.599999999999999
