date,Transaction,single_value,value
2010-06-24,added Al-Farouq Aminu to LAC,-4065.6,-4065
2010-06-24,added Willie Warren to LAC,-361.8,-4427
2010-06-24,lost Fab Melo to OKC,-0.0,-4427
2010-06-24,added Eric Bledsoe to LAC,-445.9000000000003,-4873
2010-07-08,added Randy Foye to LAC,-2455.4,-7328
2010-07-08,added Ryan Gomes to LAC,-6949.5,-14278
2010-07-09,added Brian Cook to LAC,-2373.9,-16652
2010-09-27,added Jarron Collins to LAC,0.0,-16652
2010-09-27,added Jake Voskuhl to LAC,0.0,-16652
2010-12-22,added Ike Diogu to LAC,-2303.0,-18955
2011-01-05,added Jarron Collins to LAC,-1224.6,-20179
2011-02-24,lost Baron Davis to CLE,-1482.0,-21661
2011-02-24,lost Kyrie Irving to CLE,-46063.9,-67725
2011-02-24,added Jamario Moon to LAC,-528.1999999999999,-68253
2011-02-24,added Mo Williams to LAC,-1007.0,-69260
2011-06-23,added Trey Thompkins to LAC,-678.3000000000001,-69939
2011-06-23,added Travis Leslie to LAC,-13.5,-69952
2011-12-09,added Caron Butler to LAC,-6184.700000000001,-76137
2011-12-12,added Chauncey Billups to LAC,755.3000000000001,-75381
2011-12-14,lost Al-Farouq Aminu to NOH,3456.0,-71925
2011-12-14,lost Eric Gordon to NOH,1054.2,-70871
2011-12-14,lost Chris Kaman to NOH,1783.6,-69088
2011-12-14,lost Austin Rivers to NOH,8791.6,-60296
2011-12-14,added Chris Paul to LAC,117970.5,57673
2011-12-14,added Artūras Gudaitis to LAC,0.0,57673
2011-12-22,added Reggie Evans to LAC,-2852.7000000000003,54821
2012-01-03,added Solomon Jones to LAC,-441.6,54379
2012-01-16,added Courtney Fortson to LAC,-170.20000000000002,54209
2012-02-03,added Kenyon Martin to LAC,-1974.0,52235
2012-02-27,added Bobby Simmons to LAC,-1504.8,50730
2012-03-15,lost Brian Cook to WAS,573.5,51304
2012-03-15,lost Artūras Gudaitis to WAS,-0.0,51304
2012-03-15,added Nick Young to LAC,-2123.8,49180
2012-06-28,,0.0,49180
2012-06-28,added Damian Lillard to POR,86727.6,135907
2012-06-28,added Meyers Leonard to POR,-7157.7,128750
2012-06-28,added Will Barton to POR,-5605.5,123144
2012-06-28,added Tyshawn Taylor to POR,0.0,123144
2012-06-29,lost Tyshawn Taylor to NJN,3984.4,127129
2012-07-11,added Victor Claver to POR,-3836.4,123292
2012-07-13,added Joel Freeland to POR,-6070.2,117222
2012-07-16,lost Raymond Felton to NYK,2189.1,119411
2012-07-16,lost Kurt Thomas to NYK,39.2,119450
2012-07-16,added Dan Gadzuric to POR,0.0,119450
2012-07-16,added Jared Jeffries to POR,-2590.0,116860
2012-07-16,added Kostas Papanikolaou to POR,0.0,116860
2012-07-16,added Georgios Printezis to POR,0.0,116860
2012-07-16,added Chinanu Onuaku to POR,0.0,116860
2012-07-18,added Ronnie Price to POR,-2499.0,114361
2012-07-20,lost Jon Diebler to HOU,-0.0,114361
