date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1990-02-21 00:00:00,lost Derrick Chievous to CLE,1620.3000000000002,1620,0.3,0.3
1990-02-21 00:00:00,added Žan Tabak to HOU,0.0,1620,0.0,0.3
1990-02-21 00:00:00,added Curtis Blair to HOU,0.0,1620,0.0,0.3
1990-02-21 00:00:00,added Richard Petruška to HOU,0.0,1620,0.0,0.3
1990-02-21 00:00:00,added Vernon Maxwell to HOU,-3804.0,-2183,5.9,6.2
1990-02-27 00:00:00,added Lewis Lloyd to HOU,0.0,-2183,0.0,6.2
1990-03-20 00:00:00,added Lewis Lloyd to HOU,-327.7,-2511,0.0,6.2
1990-06-27 00:00:00,added Alec Kessler to HOU,0.0,-2511,0.0,6.2
1990-06-27 00:00:00,lost Alec Kessler to MIA,17189.899999999998,14678,2.8000000000000003,9.0
1990-06-27 00:00:00,added Carl Herrera to HOU,-12822.9,1855,-0.7,8.3
1990-06-27 00:00:00,added Dave Jamerson to HOU,-2012.4,-156,-0.2,8.100000000000001
1990-08-06 00:00:00,added David Wood to HOU,-2273.6,-2430,0.1,8.200000000000001
1990-08-22 00:00:00,added Matt Bullard to HOU,375.60000000000014,-2054,4.1000000000000005,12.3
1990-09-11 00:00:00,added Kennard Winchester to HOU,-2488.7,-4543,-0.3,12.0
1990-09-27 00:00:00,lost John Lucas to ATL,-0.0,-4543,-0.0,12.0
1990-09-27 00:00:00,lost Tim McCormick to ATL,2204.8,-2338,0.2,12.2
1990-09-27 00:00:00,lost Charlie Ward to ATL,-0.0,-2338,-0.0,12.2
1990-09-27 00:00:00,added Roy Marble to HOU,0.0,-2338,0.0,12.2
1990-09-27 00:00:00,added Kenny Smith to HOU,14007.399999999998,11668,10.499999999999998,22.7
1990-10-06 00:00:00,added Dave Feitl to HOU,-2604.0,9064,-0.5,22.2
1991-06-26 00:00:00,added John Turner to HOU,-2725.5,6339,-0.5,21.7
1991-06-26 00:00:00,added Keith Hughes to HOU,0.0,6339,0.0,21.7
1991-06-26 00:00:00,added Žan Tabak to HOU,-1528.8,4810,-0.3,21.399999999999995
1991-06-26 00:00:00,lost Keith Hughes to CLE,-0.0,4810,-0.0,21.399999999999995
1991-06-26 00:00:00,added Terrell Bell to HOU,0.0,4810,0.0,21.399999999999995
1991-06-28 00:00:00,added Kennard Winchester to HOU,0.0,4810,0.0,21.399999999999995
1991-10-04 00:00:00,added Gerald Henderson to HOU,0.0,4810,0.0,21.399999999999995
1991-10-09 00:00:00,added Tree Rollins to HOU,-1608.1999999999998,3202,0.0999999999999999,21.5
1991-11-01 00:00:00,added Kennard Winchester to HOU,-130.9000000000001,3071,0.0,21.5
1991-11-25 00:00:00,added Gerald Henderson to HOU,-377.4,2693,-0.1,21.399999999999995
1991-11-28 00:00:00,added Dan Godfread to HOU,-18.2,2675,0.0,21.399999999999995
1992-01-10 00:00:00,added Avery Johnson to HOU,0.0,2675,0.0,21.399999999999995
1992-01-31 00:00:00,added Avery Johnson to HOU,-1466.8,1208,0.0,21.399999999999995
1992-06-24 00:00:00,added Robert Horry to HOU,13996.6,15205,8.2,29.599999999999994
1992-06-24 00:00:00,added Popeye Jones to HOU,0.0,15205,0.0,29.599999999999994
1992-06-24 00:00:00,added Curtis Blair to HOU,0.0,15205,0.0,29.599999999999994
1992-07-19 00:00:00,added Delaney Rudd to HOU,0.0,15205,0.0,29.599999999999994
1992-09-25 00:00:00,lost Jerome Allen to MIN,1665.1999999999998,16870,0.2,29.799999999999997
1992-09-25 00:00:00,added Scott Brooks to HOU,1050.3,17920,1.7000000000000002,31.499999999999996
1992-10-05 00:00:00,lost David Wood to SAS,1674.4,19595,0.1,31.599999999999994
1992-10-05 00:00:00,added Don Reid to HOU,0.0,19595,0.0,31.599999999999994
1992-10-08 00:00:00,added Tod Murphy to HOU,0.0,19595,0.0,31.599999999999994
1992-10-08 00:00:00,added Kennard Winchester to HOU,-1190.0,18405,-0.1,31.499999999999996
1992-11-12 00:00:00,added Winston Garland to HOU,-2510.0,15895,-0.1,31.39999999999999
1992-11-13 00:00:00,added Mark Acres to HOU,-361.1,15534,-0.1,31.29999999999999
1993-04-22 00:00:00,added Terry Teagle to HOU,-307.5,15226,-0.1,31.19999999999999
1993-06-30 00:00:00,added Sam Cassell to HOU,283.8,15510,2.5,33.69999999999999
1993-06-30 00:00:00,added Richard Petruška to HOU,0.0,15510,0.0,33.69999999999999
1993-06-30 00:00:00,added Marcelo Nicola to HOU,0.0,15510,0.0,33.69999999999999
1993-06-30 00:00:00,lost Popeye Jones to DAL,17991.9,33502,1.1,34.79999999999999
1993-06-30 00:00:00,added Eric Riley to HOU,-876.0,32626,-0.1,34.69999999999999
1993-08-02 00:00:00,lost Don Reid to POR,-0.0,32626,-0.0,34.69999999999999
1993-08-02 00:00:00,added Mario Elie to HOU,6189.0,38815,6.4,41.09999999999999
1993-08-17 00:00:00,added Richard Petruška to HOU,-754.4,38061,-0.1,40.99999999999999
2006-06-28 00:00:00,,0.0,38061,0.0,40.99999999999999
2006-06-28 00:00:00,added Tyrus Thomas to POR,0.0,38061,0.0,40.99999999999999
2006-06-28 00:00:00,added Joel Freeland to POR,-6070.2,31990,-0.6,40.399999999999984
2006-06-28 00:00:00,added James White to POR,0.0,31990,0.0,40.399999999999984
2006-06-28 00:00:00,added Sergio Rodríguez to POR,-4986.8,27004,0.1,40.49999999999999
2006-06-28 00:00:00,lost Viktor Khryapa to CHI,951.3,27955,0.1,40.59999999999999
2006-06-28 00:00:00,lost Tyrus Thomas to CHI,408.0,28363,-2.5,38.09999999999999
2006-06-28 00:00:00,added LaMarcus Aldridge to POR,35374.9,63738,20.5,58.59999999999999
