date,Transaction,single_value,value
2003-06-26 00:00:00,added Kirk Hinrich to CHI,4344.4000000000015,4344
2003-06-26 00:00:00,added Mario Austin to CHI,0.0,4344
2003-06-26 00:00:00,added Matt Bonner to CHI,0.0,4344
2003-06-26 00:00:00,added Tommy Smith to CHI,0.0,4344
2003-06-26 00:00:00,lost Matt Bonner to TOR,-265.20000000000005,4079
2003-06-26 00:00:00,added Chris Duhon to CHI,0.0,4079
2003-07-20 00:00:00,added Scottie Pippen to CHI,-247.2,3832
2003-08-20 00:00:00,added Kendall Gill to CHI,-3950.8,-118
2003-09-29 00:00:00,added Josh Davis to CHI,0.0,-118
2003-09-29 00:00:00,added Linton Johnson to CHI,0.0,-118
2003-09-29 00:00:00,added Garth Joseph to CHI,0.0,-118
2003-10-25 00:00:00,added Erick Barkley to CHI,0.0,-118
2003-12-01 00:00:00,lost Lonny Baxter to TOR,1509.7,1390
2003-12-01 00:00:00,lost Donyell Marshall to TOR,-16574.5,-15183
2003-12-01 00:00:00,lost Jalen Rose to TOR,9168.2,-6015
2003-12-01 00:00:00,added Antonio Davis to CHI,-6110.2,-12125
2003-12-01 00:00:00,added Chris Jefferies to CHI,-1009.8,-13135
2003-12-01 00:00:00,added Jerome Williams to CHI,861.0,-12274
2003-12-16 00:00:00,lost Roger Mason to TOR,598.5,-11675
2003-12-16 00:00:00,added Rick Brunson to CHI,-80.4,-11756
2004-01-07 00:00:00,added Ronald Dupree to CHI,-3839.9,-15596
2004-02-28 00:00:00,added Linton Johnson to CHI,-2422.2,-18018
2004-03-04 00:00:00,added Paul Shirley to CHI,-791.1999999999999,-18809
2004-03-15 00:00:00,added Jannero Pargo to CHI,-6987.599999999999,-25797
2004-06-24 00:00:00,added Ben Gordon to CHI,14492.8,-11304
2004-06-24 00:00:00,added Jackson Vroman to CHI,0.0,-11304
2004-06-24 00:00:00,added Chris Duhon to CHI,-1379.9,-12684
2004-06-24 00:00:00,lost Jackson Vroman to PHO,119.7,-12564
2004-06-24 00:00:00,lost Nate Robinson to PHO,-0.0,-12564
2004-06-24 00:00:00,added Luol Deng to CHI,31118.1,18553
2004-08-05 00:00:00,lost Jamal Crawford to NYK,-3941.1,14612
2004-08-05 00:00:00,lost Jerome Williams to NYK,1695.4,16307
2004-08-05 00:00:00,added Othella Harrington to CHI,-4865.9,11441
2004-08-05 00:00:00,added Dikembe Mutombo to CHI,0.0,11441
