date,Transaction,single_value,value
2019-06-20,added De'Andre Hunter to LAL,0.0,0
2019-06-20,lost Paul Reed to ORL,-0.0,0
2019-06-20,added Talen Horton-Tucker to LAL,0.0,0
2019-07-01,added Zach Norvell Jr. to LAL,-64.0,-64
2019-07-06,lost Isaac Bonga to WAS,6005.6,5941
2019-07-06,lost Jemerrio Jones to WAS,-0.0,5941
2019-07-06,lost Moritz Wagner to WAS,1958.0,7899
2019-07-06,lost Kennedy Chandler to WAS,-0.0,7899
2019-07-06,lost Lonzo Ball to NOP,-4184.9,3714
2019-07-06,lost Josh Hart to NOP,1345.9,5060
2019-07-06,lost De'Andre Hunter to NOP,-0.0,5060
2019-07-06,lost Brandon Ingram to NOP,-17720.7,-12660
2019-07-06,lost Dyson Daniels to NOP,1060.8000000000002,-11599
2019-07-06,added Anthony Davis to LAL,17048.0,5448
2019-07-06,added Danny Green to LAL,843.5,6292
2019-07-06,added DeMarcus Cousins to LAL,0.0,6292
2019-07-06,added Kentavious Caldwell-Pope to LAL,-1409.6000000000004,4882
2019-07-06,added JaVale McGee to LAL,1695.0,6577
2019-07-06,added Quinn Cook to LAL,-1955.2,4622
2019-07-07,added Jared Dudley to LAL,-254.79999999999995,4367
2019-07-07,added Troy Daniels to LAL,-1003.2,3364
2019-07-07,added Alex Caruso to LAL,-235.0,3129
2019-07-08,added Rajon Rondo to LAL,-1377.6,1751
2019-07-08,added Avery Bradley to LAL,-8026.6,-6274
2019-07-13,added Talen Horton-Tucker to LAL,-1734.8999999999996,-8009
2019-08-26,added Dwight Howard to LAL,261.2,-7748
2019-12-11,added Devontae Cacok to LAL,-96.2,-7844
2020-02-23,added Markieff Morris to LAL,-278.5999999999999,-8123
2020-03-06,added Dion Waiters to LAL,-330.0,-8453
2020-11-18,added Jaden McDaniels to LAL,0.0,-8453
2020-11-18,lost Danny Green to OKC,-0.0,-8453
2020-11-18,lost Jaden McDaniels to OKC,-0.0,-8453
2020-11-18,added Dennis Schroder to LAL,-2151.6000000000004,-10604
2020-11-22,added Wesley Matthews to LAL,-1921.0,-12525
2020-11-22,added Montrezl Harrell to LAL,4740.0,-7785
2020-11-22,added Kentavious Caldwell-Pope to LAL,-951.0,-8736
2020-11-23,lost JaVale McGee to CLE,553.3000000000001,-8183
2020-11-23,added Jordan Bell to LAL,0.0,-8183
2020-11-23,added Alfonzo McKinnie to LAL,-103.2,-8286
2020-11-23,added Markieff Morris to LAL,-3120.0,-11406
2020-11-24,added Marc Gasol to LAL,2283.9,-9122
2020-11-26,added Kostas Antetokounmpo to LAL,-705.6,-9828
2020-12-01,added Jared Dudley to LAL,-283.5,-10112
2020-12-03,added Anthony Davis to LAL,45174.0,35062
2021-02-26,added Damian Jones to LAL,-22.399999999999977,35039
2021-03-28,added Andre Drummond to LAL,-884.0,34155
2021-04-06,added Ben McLemore to LAL,-1104.0,33051
2021-07-29,added Isaiah Jackson to LAL,0.0,33051
2021-08-03,added Joel Ayayi to LAL,0.0,33051
2021-08-03,added Austin Reaves to LAL,-1404.1000000000004,31647
2021-08-06,added Carmelo Anthony to LAL,-896.5,30751
2021-08-06,added Kent Bazemore to LAL,-2343.5,28407
2021-08-06,lost Kentavious Caldwell-Pope to WAS,3493.5,31901
2021-08-06,lost Montrezl Harrell to WAS,-5361.599999999999,26539
2021-08-06,lost Kyle Kuzma to WAS,11457.3,37996
2021-08-06,lost Isaiah Jackson to IND,329.7,38326
2021-08-06,added Russell Westbrook to LAL,-4433.900000000001,33892
2021-08-06,added Tristan Vukcevic to LAL,0.0,33892
2021-08-06,added Bobi Klintman to LAL,0.0,33892
2021-08-06,added Talen Horton-Tucker to LAL,-4986.3,28906
2021-08-06,added Malik Monk to LAL,-1069.5,27836
2021-08-06,added Kendrick Nunn to LAL,-2640.0,25196
2021-08-06,added Trevor Ariza to LAL,-1570.8,23625
2021-08-06,added Wayne Ellington to LAL,-1134.0,22491
