,date,Transaction,value,Running Score
1,1992-08-04,added Mario Elie to POR,2284,2284
2,1992-10-07,added Elliot Perry to POR,0,2284
3,1992-10-21,added Matt Fish to POR,0,2284
4,1992-10-23,lost Robert Pack to DEN,418,2702
5,1992-10-23,added Kevin Thompson to POR,0,2702
6,1992-12-05,added Joe Wolf to POR,-343,2359
7,1993-01-02,added Delaney Rudd to POR,-1045,1314
8,1993-06-24,lost Kevin Duckworth to WSB,14218,15532
9,1993-06-24,added Harvey Grant to POR,-5043,10489
10,1993-06-30,added James Robinson to POR,-7230,3258
11,1993-06-30,added Kevin Thompson to POR,-469,2788
12,1993-08-02,lost Mario Elie to HOU,-6189,-3400
13,1993-08-02,added Don Reid to POR,0,-3400
14,1993-08-03,added Chris Dudley to POR,-15091,-18491
15,1993-08-05,added Elliot Perry to POR,0,-18491
16,1993-12-21,added Jaren Jackson to POR,-822,-19314
17,1994-06-29,,0,-19314
18,1994-06-29,added Brian Grant to SAC,-4194,-23508
19,1994-06-29,added Michael Smith to SAC,-306,-23815
20,1994-06-29,added Lawrence Funderburke to SAC,-2302,-26118
21,1994-07-26,added Alaa Abdelnaby to SAC,-1475,-27593
22,1994-08-19,added Frank Brickowski to SAC,0,-27593
23,1994-10-06,added Jimmy Oliver to SAC,0,-27593
24,1994-10-31,added Doug Lee to SAC,345,-27248
25,1995-04-20,added Derrick Phelps to SAC,-139,-27388
26,1995-06-28,added Corliss Williamson to SAC,-26732,-54120
27,1995-06-28,added Tyus Edney to SAC,-7768,-61888
28,1995-06-28,added Dejan Bodiroga to SAC,0,-61888
29,1995-06-29,lost Spud Webb to ATL,245,-61643
30,1995-06-29,added Tyrone Corbin to SAC,-2912,-64556
31,1995-09-18,lost Frank Brickowski to SEA,3746,-60809
32,1995-09-18,added Byron Houston to SAC,-772,-61582
33,1995-09-18,added Šarūnas Marčiulionis to SAC,1350,-60231
34,1995-11-02,added Clint McDaniel to SAC,120,-60110
35,1996-02-22,lost Tyrone Corbin to MIA,601,-59509
36,1996-02-22,lost Walt Williams to MIA,-2048,-61557
37,1996-02-22,added Kevin Gamble to SAC,-1570,-63128
38,1996-02-22,added Billy Owens to SAC,-2236,-65365
39,1996-06-13,lost Šarūnas Marčiulionis to DEN,1224,-64141
40,1996-06-13,lost Jeff McInnis to DEN,-35,-64176
