date,Transaction,single_value,value
1997-01-06,added John Crotty to MIA,0,0
1997-01-08,added Willie Anderson to MIA,0,0
1997-01-12,added Mark Strickland to MIA,0,0
1997-01-25,added John Crotty to MIA,65,65
1997-01-28,added Willie Anderson to MIA,272,338
1997-02-01,added Mark Strickland to MIA,-768,-430
1997-02-14,lost Sasha Danilović to DAL,262,-167
1997-02-14,lost Martin Müürsepp to DAL,1253,1086
1997-02-14,lost Kurt Thomas to DAL,1226,2312
1997-02-14,added Jamal Mashburn to MIA,1891,4204
1997-02-24,added Matt Fish to MIA,0,4204
1997-03-15,added Bruce Bowen to MIA,0,4204
1997-03-17,added Matt Fish to MIA,-4,4199
1997-03-25,added Bruce Bowen to MIA,97,4296
1997-06-25,added Charles Smith to MIA,-518,3778
1997-06-25,added Mark Sanford to MIA,0,3778
1997-07-07,added Ruben Nembhard to MIA,0,3778
1997-08-11,added Matt Fish to MIA,0,3778
1997-08-12,lost Matt Fish to SAC,0,3778
1997-08-12,lost Gary Grant to SAC,0,3778
1997-08-12,added Duane Causwell to MIA,-5552,-1773
1997-08-20,added Terry Mills to MIA,-3168,-4942
1997-09-10,added Eric Murdock to MIA,3069,-1873
1997-09-17,added Todd Day to MIA,6,-1866
1997-09-29,added Ben Davis to MIA,0,-1866
1998-01-21,added Gerald Madkins to MIA,0,-1866
1998-01-27,added Rex Walters to MIA,75,-1791
1998-02-19,lost Isaac Austin to LAC,2327,535
1998-02-19,lost Charles Smith to LAC,2261,2797
1998-02-19,lost Brian Skinner to LAC,9526,12324
1998-02-19,added Brent Barry to MIA,129,12453
1998-02-23,added Marty Conlon to MIA,-410,12043
1998-03-13,added Antonio Lang to MIA,0,12043
1998-03-16,added Antonio Lang to MIA,-72,11970
1998-06-24,added Corey Brewer to MIA,0,11970
1999-01-21,added Mark Davis to MIA,-584,11386
1999-01-21,added Jamie Watson to MIA,-66,11319
1999-01-21,added Adrian Griffin to MIA,0,11319
1999-01-22,added Terry Porter to MIA,3958,15278
1999-01-22,added Rex Walters to MIA,-3077,12200
1999-01-24,added Clarence Weatherspoon to MIA,2666,14866
1999-01-26,added Thomas Hamilton to MIA,0,14866
1999-02-14,added Blue Edwards to MIA,339,15206
1999-06-30,added Tim James to MIA,-115,15091
1999-06-30,added Rodney Buford to MIA,-1158,13933
1999-08-04,added Otis Thorpe to MIA,-3108,10825
1999-08-06,added Mark Davis to MIA,0,10825
1999-08-06,added Anthony Carter to MIA,-14928,-4102
1999-09-01,added Harold Jamison to MIA,-614,-4717
2000-02-23,added Bruce Bowen to MIA,-4144,-8861
2000-06-27,lost Voshon Lenard to DEN,5231,-3630
2000-06-27,lost Mark Strickland to DEN,1395,-2234
2000-06-27,added Chris Gatling to MIA,-2507,-4742
2000-06-27,added Eddie House to MIA,0,-4742
2000-06-28,added Eddie House to MIA,-5162,-9904
2000-06-28,added Ernest Brown to MIA,-382,-10287
2000-08-01,lost P.J. Brown to CHH,355,-9931
2000-08-01,lost Rodney Buford to CHH,0,-9931
2000-08-01,lost Tim James to CHH,1359,-8572
2000-08-01,lost Jamal Mashburn to CHH,-8038,-16610
2000-08-01,lost Otis Thorpe to CHH,3170,-13440
2000-08-01,added Ricky Davis to MIA,-5716,-19156
2000-08-01,added Dale Ellis to MIA,0,-19156
2000-08-01,added Eddie Jones to MIA,45028,25872
2000-08-01,added Anthony Mason to MIA,6182,32054
2000-08-30,lost Chris Gatling to CLE,3173,35227
2000-08-30,lost Clarence Weatherspoon to CLE,-3883,31344
2000-08-30,lost Brendan Haywood to CLE,749,32093
2000-08-30,added Brian Grant to MIA,-8421,23672
2000-09-06,added Don MacLean to MIA,68,23741
2000-09-13,added Todd Fuller to MIA,-600,23140
2000-09-28,added Rick Brunson to MIA,0,23140
2000-09-28,added Jamal Robinson to MIA,-712,22427
2000-10-31,added A.C. Green to MIA,-3104,19323
2000-11-26,lost Tito Maddox to DET,0,19323
2000-11-26,added Cedric Ceballos to MIA,-196,19127
2000-11-26,added Rasual Butler to MIA,0,19127
2000-11-26,added Tommy Smith to MIA,0,19127
2001-06-27,added Ken Johnson to MIA,-1060,18066
2001-07-20,added Malik Allen to MIA,-13113,4952
2001-07-20,added Mike James to MIA,0,4952
2001-07-28,added LaPhonso Ellis to MIA,-6158,-1205
2001-08-05,added Kendall Gill to MIA,-5358,-6563
2001-08-22,lost Tim Hardaway to DAL,765,-5798
2001-08-22,added Matt Freije to MIA,0,-5798
2001-08-24,added Tang Hamilton to MIA,-19,-5817
2001-09-14,added Sam Mack to MIA,-985,-6803
2001-09-24,added Rodney Buford to MIA,0,-6803
2001-10-01,added Sean Lampley to MIA,-1120,-7923
2001-10-01,added Sean Marks to MIA,-2916,-10840
2001-10-01,added Geno Carlisle to MIA,0,-10840
2001-10-02,added Vladimir Stepania to MIA,-5699,-16539
2001-10-22,added Rod Strickland to MIA,1605,-14934
2001-10-26,lost Don MacLean to TOR,0,-14934
2001-10-26,lost Ricky Davis to CLE,3530,-11403
2001-10-26,added Chris Gatling to MIA,-2507,-13911
2001-12-02,added Jim Jackson to MIA,-1825,-15736
2001-12-18,added Mike James to MIA,-3064,-18801
2002-06-26,added Caron Butler to MIA,-4458,-23259
2002-06-26,added Rasual Butler to MIA,-5522,-28781
2002-09-05,added Travis Best to MIA,-4336,-33118
2003-06-26,added Dwyane Wade to MIA,0,-33118
2003-06-26,added Jerome Beasley to MIA,-26,-33144
2003-08-02,added Samaki Walker to MIA,-1463,-34607
2003-08-06,added Udonis Haslem to MIA,-43705,-78312
2003-08-08,added John Wallace to MIA,-956,-79269
2003-08-08,added Loren Woods to MIA,-1113,-80382
