date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1994-06-29 00:00:00,added Bill Curley to SAS,0.0,0,0.0,0.0,draft,Bill Curley
1994-07-19 00:00:00,lost Bill Curley to DET,3094.0,3094,0.5,0.5,trade,Bill Curley
1994-07-19 00:00:00,lost Charles O'Bannon to DET,821.4000000000001,3915,-0.0,0.5,trade,Charles O'Bannon
1994-07-19 00:00:00,added Sean Elliott to SAS,6855.0,10770,7.500000000000001,8.0,trade,Sean Elliott
1994-07-22 00:00:00,added Avery Johnson to SAS,6596.9,17367,10.2,18.2,signing,Avery Johnson
1994-07-25 00:00:00,added Chuck Person to SAS,-148.0,17219,2.8000000000000003,21.0,signing,Chuck Person
1994-08-10 00:00:00,added Moses Malone to SAS,-491.7,16727,0.0,21.0,signing,Moses Malone
1994-10-06 00:00:00,added Julius Nwosu to SAS,-789.6,15937,-0.2,20.8,signing,Julius Nwosu
1994-10-06 00:00:00,added Corey Crowder to SAS,0.0,15937,0.0,20.8,signing,Corey Crowder
1994-11-12 00:00:00,added Corey Crowder to SAS,-411.8,15526,-0.1,20.7,signing,Corey Crowder
1994-12-26 00:00:00,added Doc Rivers to SAS,847.8000000000002,16374,0.7,21.4,signing,Doc Rivers
1995-02-26 00:00:00,added Howard Eisley to SAS,0.0,16374,0.0,21.4,signing,Howard Eisley
1995-03-18 00:00:00,added Howard Eisley to SAS,-537.6,15836,-0.1,21.3,signing,Howard Eisley
1995-06-28 00:00:00,added Cory Alexander to SAS,-3881.6,11954,0.3,21.6,draft,Cory Alexander
1995-09-29 00:00:00,added Greg Anderson to SAS,-7010.5,4944,-0.7,20.9,signing,Greg Anderson
1995-09-29 00:00:00,added Carl Herrera to SAS,-14491.4,-9547,-2.3,18.6,signing,Carl Herrera
1995-09-29 00:00:00,added Brad Lohaus to SAS,-373.8,-9920,0.1,18.7,signing,Brad Lohaus
1995-09-29 00:00:00,added Doc Rivers to SAS,247.0,-9673,0.7,19.4,signing,Doc Rivers
1995-10-02 00:00:00,lost Dennis Rodman to CHI,-116.70000000000005,-9790,-3.6,15.8,trade,Dennis Rodman
1995-10-02 00:00:00,added Will Perdue to SAS,-4585.3,-14375,1.4,17.2,trade,Will Perdue
1995-10-06 00:00:00,added Dell Demps to SAS,-156.6,-14532,0.0,17.2,signing,Dell Demps
1996-02-08 00:00:00,lost Brad Lohaus to NYK,-487.5,-15020,-0.3,16.9,trade,Brad Lohaus
1996-02-08 00:00:00,lost J.R. Reid to NYK,1273.0,-13747,-0.0,16.9,trade,J.R. Reid
1996-02-08 00:00:00,lost John Wallace to NYK,3257.4999999999995,-10489,0.1,17.0,trade,John Wallace
1996-02-08 00:00:00,added Charles Smith to SAS,-2753.8,-13243,-0.1,16.9,trade,Charles Smith
1996-02-08 00:00:00,added Monty Williams to SAS,-4123.8,-17367,0.4,17.299999999999997,trade,Monty Williams
1996-08-29 00:00:00,added Vernon Maxwell to SAS,-6617.6,-23984,-0.6,16.699999999999996,signing,Vernon Maxwell
1996-10-03 00:00:00,added Dexter Boney to SAS,0.0,-23984,0.0,16.699999999999996,signing,Dexter Boney
1996-10-03 00:00:00,added Elmer Bennett to SAS,0.0,-23984,0.0,16.699999999999996,signing,Elmer Bennett
1996-10-04 00:00:00,added Dominique Wilkins to SAS,583.5,-23401,1.1,17.799999999999997,signing,Dominique Wilkins
1996-10-30 00:00:00,added Tim Kempton to SAS,-649.0,-24050,-0.1,17.699999999999996,signing,Tim Kempton
1996-12-18 00:00:00,added Stephen Howard to SAS,400.2,-23650,0.1,17.799999999999997,signing,Stephen Howard
1996-12-26 00:00:00,added Gaylon Nickerson to SAS,0.0,-23650,0.0,17.799999999999997,signing,Gaylon Nickerson
1997-01-06 00:00:00,added Jason Sasser to SAS,-502.2,-24152,-0.1,17.699999999999996,signing,Jason Sasser
1997-01-08 00:00:00,added Devin Gray to SAS,-645.5999999999999,-24797,-0.2,17.499999999999996,signing,Devin Gray
1997-01-28 00:00:00,added Darrin Hancock to SAS,-29.6,-24827,0.0,17.499999999999996,signing,Darrin Hancock
1997-01-28 00:00:00,added Jamie Feick to SAS,0.0,-24827,0.0,17.499999999999996,signing,Jamie Feick
1997-02-20 00:00:00,added Jamie Feick to SAS,-3622.6,-28450,-0.6,16.899999999999995,signing,Jamie Feick
1997-03-02 00:00:00,added Joe Courtney to SAS,-556.8,-29006,-0.1,16.799999999999994,signing,Joe Courtney
1997-06-25 00:00:00,added Tim Duncan to SAS,266555.69999999995,237548,91.2,108.0,draft,Tim Duncan
1997-09-29 00:00:00,added Reggie Geary to SAS,-1986.5,235562,-0.2,107.8,signing,Reggie Geary
1997-09-29 00:00:00,added Jaren Jackson to SAS,-3517.3,232045,1.6,109.4,signing,Jaren Jackson
1997-09-29 00:00:00,added Malik Rose to SAS,-10558.5,221486,2.1,111.5,signing,Malik Rose
1998-02-24 00:00:00,added Willie Burton to SAS,0.0,221486,0.0,111.5,signing,Willie Burton
1998-03-16 00:00:00,added Willie Burton to SAS,184.9,221671,0.1,111.59999999999998,signing,Willie Burton
1998-04-01 00:00:00,added Brad Lohaus to SAS,0.0,221671,0.0,111.59999999999998,signing,Brad Lohaus
1998-04-11 00:00:00,added Brad Lohaus to SAS,-428.4,221243,-0.1,111.5,signing,Brad Lohaus
1998-06-24 00:00:00,added Felipe López to SAS,0.0,221243,0.0,111.5,draft,Felipe López
1998-06-24 00:00:00,added Derrick Dial to SAS,-747.5,220495,-0.1,111.4,draft,Derrick Dial
1998-06-24 00:00:00,lost Carl Herrera to VAN,529.1999999999999,221024,0.1,111.5,trade,Carl Herrera
1998-06-24 00:00:00,lost Felipe López to VAN,6128.1,227152,0.5,112.0,trade,Felipe López
1998-06-24 00:00:00,added Antonio Daniels to SAS,7146.9,234299,4.8,116.79999999999998,trade,Antonio Daniels
1999-01-21 00:00:00,added Mario Elie to SAS,2304.2,236604,2.4,119.2,signing,Mario Elie
1999-01-21 00:00:00,added Andrew Gaze to SAS,-168.2,236435,0.0,119.2,signing,Andrew Gaze
1999-01-21 00:00:00,lost Chuck Person to CHI,-0.0,236435,-0.0,119.2,trade,Chuck Person
1999-01-21 00:00:00,lost Dalibor Bagarić to CHI,7708.0,244143,1.4,120.6,trade,Dalibor Bagarić
1999-01-21 00:00:00,added Steve Kerr to SAS,-459.4,243684,1.2,121.8,trade,Steve Kerr
1999-01-21 00:00:00,added Brandon Williams to SAS,29.6,243714,0.0,121.8,signing,Brandon Williams
1999-01-21 00:00:00,added Gerard King to SAS,-119.7,243594,0.0,121.8,signing,Gerard King
1999-01-22 00:00:00,added Chris Garner to SAS,0.0,243594,0.0,121.8,signing,Chris Garner
1999-01-22 00:00:00,added Jerome Kersey to SAS,-2420.1,241174,0.5,122.3,signing,Jerome Kersey
1999-06-30 00:00:00,added Leon Smith to SAS,0.0,241174,0.0,122.3,draft,Leon Smith
1999-06-30 00:00:00,added Manu Ginóbili to SAS,134238.8,375413,47.5,169.8,draft,Manu Ginóbili
1999-06-30 00:00:00,lost Leon Smith to DAL,-0.0,375413,-0.0,169.8,trade,Leon Smith
1999-06-30 00:00:00,added Gordan Giriček to SAS,0.0,375413,0.0,169.8,trade,Gordan Giriček
1999-06-30 00:00:00,added Chris Carrawell to SAS,0.0,375413,0.0,169.8,trade,Chris Carrawell
1999-08-05 00:00:00,added Terry Porter to SAS,12046.8,387459,5.4,175.20000000000002,signing,Terry Porter
1999-08-26 00:00:00,added Samaki Walker to SAS,-5149.8,382310,-0.3,174.9,signing,Samaki Walker
1999-08-31 00:00:00,added Felton Spencer to SAS,-298.0,382012,0.0,174.9,signing,Felton Spencer
1999-09-25 00:00:00,added Ira Newble to SAS,0.0,382012,0.0,174.9,signing,Ira Newble
1999-10-01 00:00:00,added Chucky Brown to SAS,-1264.2,380747,0.0,174.9,signing,Chucky Brown
2000-06-28 00:00:00,added Chris Carrawell to SAS,0.0,380747,0.0,174.9,draft,Chris Carrawell
2000-06-28 00:00:00,added Cory Hightower to SAS,0.0,380747,0.0,174.9,draft,Cory Hightower
2000-06-28 00:00:00,lost Cory Hightower to LAL,-0.0,380747,-0.0,174.9,trade,Cory Hightower
2000-06-28 00:00:00,added Robetas Javtokas to SAS,0.0,380747,0.0,174.9,trade,Robetas Javtokas
2000-06-28 00:00:00,added Randy Holcomb to SAS,0.0,380747,0.0,174.9,trade,Randy Holcomb
2000-08-02 00:00:00,added Raja Bell to SAS,0.0,380747,0.0,174.9,signing,Raja Bell
2000-08-04 00:00:00,added Derek Anderson to SAS,6861.599999999999,387609,3.2,178.1,signing,Derek Anderson
2000-08-10 00:00:00,added Danny Ferry to SAS,-1603.6,386005,1.1,179.2,signing,Danny Ferry
2000-08-11 00:00:00,added Shawnelle Scott to SAS,-734.4,385271,-0.1,179.1,signing,Shawnelle Scott
2000-08-11 00:00:00,added Ira Newble to SAS,0.0,385271,0.0,179.1,signing,Ira Newble
2000-08-12 00:00:00,added Ira Newble to SAS,-736.0,384535,-0.1,179.0,signing,Ira Newble
2001-06-27 00:00:00,added Tony Parker to SAS,44913.4,429448,30.4,209.4,draft,Tony Parker
2001-06-27 00:00:00,added Robertas Javtokas to SAS,0.0,429448,0.0,209.4,draft,Robertas Javtokas
2001-06-27 00:00:00,added Bryan Bracey to SAS,0.0,429448,0.0,209.4,draft,Bryan Bracey
2001-07-25 00:00:00,lost Derek Anderson to POR,-7910.999999999999,421537,-5.7,203.7,trade,Derek Anderson
2001-07-25 00:00:00,lost Steve Kerr to POR,1007.5,422545,-0.1,203.6,trade,Steve Kerr
2001-07-25 00:00:00,lost Andreas Glyniadakis to POR,-0.0,422545,-0.0,203.6,trade,Andreas Glyniadakis
2001-07-25 00:00:00,added Steve Smith to SAS,1577.1,424122,2.0,205.6,trade,Steve Smith
2001-07-31 00:00:00,added Bruce Bowen to SAS,-12045.1,412077,6.4,212.00000000000003,signing,Bruce Bowen
2001-08-01 00:00:00,added Mark Bryant to SAS,-576.8,411500,0.0,212.00000000000003,signing,Mark Bryant
2001-08-02 00:00:00,added Charles Smith to SAS,1026.9,412527,0.8,212.80000000000004,signing,Charles Smith
2001-08-02 00:00:00,added Stephen Jackson to SAS,-2533.0,409994,1.4,214.20000000000005,signing,Stephen Jackson
2001-08-03 00:00:00,added Amal McCaskill to SAS,-1055.7,408938,-0.2,214.00000000000009,signing,Amal McCaskill
2001-08-03 00:00:00,added Cherokee Parks to SAS,-1263.6,407675,-0.2,213.80000000000007,signing,Cherokee Parks
2001-10-01 00:00:00,added Gerald Brown to SAS,0.0,407675,0.0,213.80000000000007,signing,Gerald Brown
2001-12-19 00:00:00,added Jason Hart to SAS,132.0,407807,0.4,214.20000000000007,signing,Jason Hart
2002-06-26 00:00:00,added John Salmons to SAS,0.0,407807,0.0,214.20000000000007,draft,John Salmons
2002-06-26 00:00:00,added Luis Scola to SAS,0.0,407807,0.0,214.20000000000007,draft,Luis Scola
2002-06-26 00:00:00,added Randy Holcomb to SAS,0.0,407807,0.0,214.20000000000007,draft,Randy Holcomb
2002-06-26 00:00:00,lost Mark Bryant to PHI,723.8000000000001,408530,0.1,214.30000000000007,trade,Mark Bryant
2002-06-26 00:00:00,lost Randy Holcomb to PHI,-0.0,408530,-0.0,214.30000000000007,trade,Randy Holcomb
2002-06-26 00:00:00,lost John Salmons to PHI,8390.6,416921,-0.5,213.80000000000007,trade,John Salmons
2002-06-26 00:00:00,added Speedy Claxton to SAS,565.1999999999999,417486,0.4,214.20000000000007,trade,Speedy Claxton
2002-06-28 00:00:00,lost Gordan Giriček to MEM,5104.099999999999,422590,0.7,214.9000000000001,trade,Gordan Giriček
2002-06-28 00:00:00,added Romain Sato to SAS,0.0,422590,0.0,214.9000000000001,trade,Romain Sato
