date,Transaction,single_value,value
2007-06-28,added Greg Oden to POR,311,311
2007-06-28,added Josh McRoberts to POR,103,415
2007-06-28,added Derrick Byars to POR,0,415
2007-06-28,added Taurean Green to POR,-343,71
2007-06-28,added Demetris Nichols to POR,0,71
2007-06-28,lost Derrick Byars to PHI,0,71
2007-06-28,added Petteri Koponen to POR,0,71
2007-06-28,lost Dan Dickau to NYK,0,71
2007-06-28,lost Fred Jones to NYK,2284,2356
2007-06-28,lost Zach Randolph to NYK,1424,3780
2007-06-28,added Steve Francis to POR,0,3780
2007-06-28,added Channing Frye to POR,-5548,-1768
2007-06-28,lost Demetris Nichols to NYK,10,-1757
2007-06-28,added Ömer Aşık to POR,0,-1757
2007-07-11,added Rudy Fernández to POR,9779,8021
2007-07-11,added James Jones to POR,1658,9680
2007-07-13,added Steve Blake to POR,-402,9277
2008-02-21,lost Taurean Green to DEN,213,9490
2008-02-21,added Von Wafer to POR,-320,9170
2008-06-26,added Brandon Rush to POR,0,9170
2008-06-26,added Joey Dorsey to POR,0,9170
2008-06-26,added Ömer Aşık to POR,0,9170
2008-06-26,added Mike Taylor to POR,0,9170
2008-06-26,lost Mike Taylor to LAC,4009,13179
2008-06-26,added Dante Cunningham to POR,0,13179
2008-06-26,added Darrell Arthur to POR,0,13179
2008-06-26,lost Darrell Arthur to MEM,11753,24933
2008-06-26,lost Joey Dorsey to HOU,2867,27800
2008-06-26,added Nicolas Batum to POR,35775,63575
2008-06-28,lost Ömer Aşık to CHI,3069,66645
2008-06-28,added Jon Brockman to POR,0,66645
2008-06-28,added Jerome Jordan to POR,0,66645
2008-06-28,added Patty Mills to POR,0,66645
2008-07-09,lost Jarrett Jack to IND,3802,70448
2008-07-09,lost Josh McRoberts to IND,-2926,67521
2008-07-09,lost Brandon Rush to IND,9689,77211
2008-07-09,added Jerryd Bayless to POR,-5491,71719
2008-07-09,added Ike Diogu to POR,-532,71186
2008-09-25,added Shavlik Randolph to POR,-140,71046
2009-02-18,lost Ike Diogu to SAC,-298,70748
2009-02-18,added Michael Ruffin to POR,-105,70643
2009-06-24,lost Byron Mullens to DAL,0,70643
2009-06-24,lost Ahman Nivins to DAL,0,70643
2009-06-24,added Victor Claver to POR,0,70643
2009-06-25,added Victor Claver to POR,-3836,66806
2009-06-25,added Dante Cunningham to POR,-5150,61656
2009-06-25,added Jon Brockman to POR,0,61656
2009-06-25,added Patty Mills to POR,-1562,60093
2009-06-25,lost Jon Brockman to SAC,1962,62055
2009-06-25,lost Sergio Rodríguez to SAC,-258,61797
