,Transaction Date,Transaction,Score,Running Score
1,1990-06-25 00:00:00,lost Adonis Jordan to ORL,0,0
2,1990-06-25 00:00:00,added Reggie Theus to BRK,-3250,-3250
3,1990-06-26 00:00:00,lost Dennis Hopson to CHI,2945,-305
4,1990-06-26 00:00:00,added Tate George to BRK,0,-305
5,1990-06-26 00:00:00,added P.J. Brown to BRK,0,-305
6,1990-06-27 00:00:00,added Derrick Coleman to BRK,32859,32554
7,1990-06-27 00:00:00,added Tate George to BRK,-6921,25632
8,1990-06-27 00:00:00,added Jud Buechler to BRK,-1719,23913
9,1990-08-16 00:00:00,added Dan Godfread to BRK,0,23913
10,1990-08-23 00:00:00,added Doug Lee to BRK,-1043,22869
11,1990-10-01 00:00:00,added Kurk Lee to BRK,-1669,21199
12,1990-10-01 00:00:00,added Dan O'Sullivan to BRK,0,21199
13,1991-01-16 00:00:00,lost Lester Conner to MIL,-2468,18731
14,1991-01-16 00:00:00,added Greg Anderson to BRK,172,18903
15,1991-01-23 00:00:00,lost Greg Anderson to DEN,13384,32288
16,1991-01-23 00:00:00,lost Bryant Stith to DEN,9427,41716
17,1991-01-23 00:00:00,added Terry Mills to NJN,-4083,37633
18,1991-01-23 00:00:00,added Dražen Petrović to NJN,5646,43279
19,1991-01-23 00:00:00,added Kevin Thompson to NJN,0,43279
20,1991-06-26 00:00:00,added Kenny Anderson to BRK,20327,63606
21,1991-06-26 00:00:00,added Von McDade to BRK,0,63606
22,1991-09-30 00:00:00,added Emanual Davis to BRK,0,63606
23,1991-10-04 00:00:00,added Rafael Addison to BRK,-8759,54847
24,1991-10-07 00:00:00,added Dave Feitl to BRK,0,54847
25,1991-11-13 00:00:00,added Dave Feitl to BRK,-1225,53622
26,1992-06-24 00:00:00,added P.J. Brown to BRK,-2509,51113
27,1992-06-24 00:00:00,added Steve Rogers to BRK,0,51113
28,1992-07-30 00:00:00,added Dan O'Sullivan to BRK,-8,51105
29,1992-10-01 00:00:00,added Dwayne Schintzius to BRK,-3623,47481
30,1992-10-07 00:00:00,added Melvin Newbern to BRK,0,47481
31,1992-10-07 00:00:00,added Chucky Brown to BRK,-2490,44991
32,1992-10-08 00:00:00,lost Kebu Stewart to PHI,154,45145
33,1992-10-08 00:00:00,added Jayson Williams to BRK,-18945,26200
34,1992-11-03 00:00:00,lost Mookie Blaylock to ATL,-92041,-65840
35,1992-11-03 00:00:00,lost Roy Hinson to ATL,0,-65840
36,1992-11-03 00:00:00,added Rumeal Robinson to BRK,-3021,-68862
37,1992-11-09 00:00:00,added Rick Mahorn to BRK,-8798,-77660
38,1993-01-07 00:00:00,added Maurice Cheeks to BRK,510,-77150
39,1993-02-06 00:00:00,added Bernard King to BRK,-430,-77580
40,1993-03-03 00:00:00,added Doug Lee to BRK,-290,-77871
41,1993-04-09 00:00:00,added Dave Hoppen to BRK,-58,-77929
42,1993-06-21 00:00:00,lost Sam Bowie to LAL,3940,-73988
43,1993-06-21 00:00:00,lost Toby Bailey to LAL,0,-73988
44,1993-06-21 00:00:00,added Benoit Benjamin to BRK,-8290,-82278
45,1993-06-30 00:00:00,added Rex Walters to BRK,-4184,-86463
46,1993-06-30 00:00:00,added John Best to BRK,0,-86463
47,1993-07-08 00:00:00,added Kevin Edwards to BRK,-6570,-93033
48,1993-07-27 00:00:00,added David Wesley to BRK,-487,-93521
49,1993-08-11 00:00:00,added Armen Gilliam to BRK,5984,-87537
50,1993-11-11 00:00:00,added Ron Anderson to BRK,-334,-87871
51,1993-12-10 00:00:00,lost Rumeal Robinson to CHH,1140,-86731
52,1993-12-10 00:00:00,added Johnny Newman to BRK,-9935,-96666
53,1994-03-24 00:00:00,added Dave Jamerson to BRK,-249,-96915
54,1994-06-20 00:00:00,added Sean Higgins to BRK,-4777,-101693
55,1994-06-29 00:00:00,added Yinka Dare to BRK,-8437,-110130
56,1994-07-29 00:00:00,added Chris Childs to BRK,1603,-108526
57,1994-09-01 00:00:00,added Ryan Lorthridge to BRK,0,-108526
58,1994-10-06 00:00:00,added Sleepy Floyd to BRK,-5152,-113679
59,1995-06-28 00:00:00,added Ed O'Bannon to BRK,-5781,-119460
60,1995-10-06 00:00:00,added Robert Werdann to BRK,-458,-119919
61,1995-10-09 00:00:00,added Vern Fleming to BRK,-5066,-124985
62,1995-10-09 00:00:00,added Gerald Madkins to BRK,0,-124985
63,1995-10-13 00:00:00,added Gerald Glass to BRK,-22,-125008
64,1995-11-30 00:00:00,lost Derrick Coleman to PHI,-2134,-127142
65,1995-11-30 00:00:00,lost Sean Higgins to PHI,3297,-123844
66,1995-11-30 00:00:00,lost Rex Walters to PHI,2178,-121666
67,1995-11-30 00:00:00,added Shawn Bradley to BRK,-2931,-124597
68,1995-11-30 00:00:00,added Greg Graham to BRK,-1261,-125858
69,1995-11-30 00:00:00,added Tim Perry to BRK,16,-125841
70,1996-01-19 00:00:00,lost Kenny Anderson to CHH,-4426,-130268
71,1996-01-19 00:00:00,lost Gerald Glass to CHH,112,-130156
72,1996-01-19 00:00:00,added Kendall Gill to BRK,12327,-117828
73,1996-01-19 00:00:00,added Khalid Reeves to BRK,-3793,-121622
