date,Transaction,single_value,value
1990-02-13,lost Kenny Smith to ATL,471.8,471
1990-02-13,lost Mike Williams to ATL,303.8,775
1990-02-13,added Antoine Carr to SAC,1559.6,2335
1990-02-13,added Sedric Toney to SAC,-4092.0,-1756
1990-02-13,added Steve Hood to SAC,0.0,-1756
1990-06-25,lost Pervis Ellison to WSB,-4713.0,-6469
1990-06-25,added Bob Hansen to SAC,-3009.4,-9479
1990-06-25,added Eric Leckner to SAC,-2721.6,-12200
1990-06-25,added Anthony Bonner to SAC,0.0,-12200
1990-06-25,added Phil Henderson to SAC,0.0,-12200
1990-06-25,added Walter Palmer to SAC,0.0,-12200
1990-06-25,added Mike Iuzzolino to SAC,0.0,-12200
1990-06-26,lost Rodney McCray to DAL,-455.0,-12655
1990-06-26,lost Phil Henderson to DAL,-0.0,-12655
1990-06-26,lost Mike Iuzzolino to DAL,5830.5,-6825
1990-06-26,added Bill Wennington to SAC,-4404.599999999999,-11229
1990-06-26,added Duane Causwell to SAC,0.0,-11229
1990-06-26,added Travis Mays to SAC,0.0,-11229
1990-06-27,added Lionel Simmons to SAC,-508.0999999999997,-11738
1990-06-27,added Travis Mays to SAC,-4075.5,-15813
1990-06-27,added Duane Causwell to SAC,-15940.000000000002,-31753
1990-06-27,added Anthony Bonner to SAC,-13813.1,-45566
1990-06-27,added Bimbo Coles to SAC,0.0,-45566
1990-06-27,lost Bimbo Coles to MIA,7577.200000000001,-37989
1990-06-27,added Rory Sparrow to SAC,-3562.5,-41551
1990-08-01,lost Danny Ainge to POR,-9357.5,-50909
1990-08-01,added Byron Irvin to SAC,0.0,-50909
1990-08-01,added Pete Chilcutt to SAC,0.0,-50909
1990-08-01,added Brett Roberts to SAC,0.0,-50909
1990-10-30,lost Byron Irvin to WSB,26.19999999999999,-50883
1990-10-30,added Steve Colter to SAC,-602.4,-51485
1990-11-28,added Leon Wood to SAC,133.2,-51352
1990-12-18,added Rick Calloway to SAC,-4474.8,-55827
1990-12-31,added Jim Les to SAC,0.0,-55827
1991-01-14,added Anthony Frederick to SAC,0.0,-55827
1991-01-20,added Jim Les to SAC,1211.8000000000002,-54615
1991-01-29,lost Eric Leckner to CHH,8145.7,-46469
1991-01-29,added Alex Holcombe to SAC,0.0,-46469
1991-01-29,added Dejan Bodiroga to SAC,0.0,-46469
1991-02-11,added Mike Higgins to SAC,-488.0,-46957
1991-02-28,added Anthony Frederick to SAC,-1235.0,-48192
1991-03-07,added Tony Dawson to SAC,28.9,-48163
1991-06-26,added Billy Owens to SAC,-2236.5,-50400
1991-06-26,added Pete Chilcutt to SAC,-5652.799999999999,-56053
1991-06-26,added Randy Brown to SAC,-6109.400000000001,-62162
1991-06-26,added Steve Hood to SAC,0.0,-62162
1991-07-01,lost Travis Mays to ATL,3642.0,-58520
1991-07-01,added Spud Webb to SAC,-3267.6000000000004,-61788
1991-07-01,added Lawrence Funderburke to SAC,-2302.5000000000005,-64090
1991-09-23,lost Antoine Carr to SAS,3551.0,-60539
1991-09-23,added Dwayne Schintzius to SAC,-1720.0,-62259
1991-09-23,added Jevon Crudup to SAC,0.0,-62259
1991-10-03,added Carl Thomas to SAC,-266.6,-62526
1991-10-04,added Stephen Thompson to SAC,0.0,-62526
1991-11-01,lost Billy Owens to GSW,-1588.6,-64114
1991-11-01,added Les Jepsen to SAC,-565.5,-64680
1991-11-01,added Mitch Richmond to SAC,45922.0,-18758
1991-11-01,added Tyus Edney to SAC,-7768.200000000001,-26526
1991-11-04,lost Bob Hansen to CHI,3152.9,-23373
1991-11-04,lost Corey Williams to CHI,1379.4,-21994
1991-11-04,added Dennis Hopson to SAC,521.6,-21472
1992-02-13,added Steve Scheffler to SAC,97.5,-21375
1992-02-27,added Stephen Thompson to SAC,0.0,-21375
1992-03-17,added Stephen Thompson to SAC,-53.2,-21428
1992-06-24,added Walt Williams to SAC,823.400000000001,-20604
1992-06-24,added Brett Roberts to SAC,0.0,-20604
1992-09-03,added Stan Kimbrough to SAC,0.0,-20604
1992-10-01,added Marty Conlon to SAC,-560.4,-21165
1992-10-02,added Vincent Askew to SAC,-296.4,-21461
1992-10-14,added Carl Thomas to SAC,0.0,-21461
1992-11-13,added Stan Kimbrough to SAC,-37.5,-21499
1992-11-25,lost Vincent Askew to SEA,-2697.4,-24196
1992-11-25,added Mike Peplowski to SAC,0.0,-24196
1992-11-27,added Rod Higgins to SAC,-570.0,-24766
1992-11-28,added Kurt Rambis to SAC,-390.5,-25157
1993-02-02,added Henry James to SAC,-126.4,-25283
1993-06-30,added Bobby Hurley to SAC,-18673.800000000003,-43957
1993-06-30,added Evers Burns to SAC,-786.5,-44743
1993-06-30,added Alex Holcombe to SAC,0.0,-44743
1993-06-30,added Mike Peplowski to SAC,-2934.8,-47678
1993-10-05,added Randy Breuer to SAC,-1160.9,-48839
1993-12-08,added LaBradford Smith to SAC,-2072.5,-50912
1993-12-15,added Trevor Wilson to SAC,-3883.2,-54795
1994-02-20,lost Pete Chilcutt to DET,1798.6,-52996
1994-02-20,lost Jevon Crudup to DET,-0.0,-52996
1994-02-20,lost Cal Bowdler to DET,-0.0,-52996
1994-02-20,added Olden Polynice to SAC,-19772.9,-72769
1994-03-03,added Andre Spencer to SAC,0.0,-72769
1994-03-24,added Andre Spencer to SAC,114.4,-72655
