date,Transaction,single_value,value
2009-06-25 00:00:00,added Stephen Curry to GSW,225444.1,225444
2009-06-25 00:00:00,lost Jamal Crawford to ATL,-3607.0,221837
2009-06-25 00:00:00,added Speedy Claxton to GSW,0.0,221837
2009-06-25 00:00:00,added Acie Law to GSW,-1844.2,219992
2009-07-29 00:00:00,lost Marco Belinelli to TOR,1457.3,221450
2009-07-29 00:00:00,added Devean George to GSW,-608.8000000000001,220841
2009-09-02 00:00:00,added Mikki Moore to GSW,-771.3999999999999,220070
2009-11-16 00:00:00,lost Stephen Jackson to CHA,-494.8999999999999,219575
2009-11-16 00:00:00,lost Acie Law to CHA,280.5,219855
2009-11-16 00:00:00,added Raja Bell to GSW,200.1,220055
2009-11-16 00:00:00,added Vladimir Radmanović to GSW,-3300.5,216755
2009-11-20 00:00:00,added Chris Hunter to GSW,-3210.3,213544
2010-01-10 00:00:00,added Cartier Martin to GSW,-1462.8,212082
2010-01-17 00:00:00,added Anthony Tolliver to GSW,-2276.8,209805
2010-01-31 00:00:00,added Coby Karl to GSW,-442.8,209362
2010-03-02 00:00:00,added Reggie Williams to GSW,-794.4000000000001,208568
2010-06-21 00:00:00,lost Armon Johnson to POR,1388.1999999999998,209956
2010-06-21 00:00:00,added Jerome Jordan to GSW,0.0,209956
2010-06-22 00:00:00,lost Corey Maggette to MIL,1120.8,211077
2010-06-22 00:00:00,lost Jerome Jordan to MIL,-0.0,211077
2010-06-22 00:00:00,added Charlie Bell to GSW,-855.0,210222
2010-06-22 00:00:00,added Dan Gadzuric to GSW,-2019.6,208202
2010-06-24 00:00:00,added Ekpe Udoh to GSW,-5568.0,202634
2010-07-09 00:00:00,lost Kelenna Azubuike to NYK,-0.0,202634
2010-07-09 00:00:00,lost Anthony Randolph to NYK,825.5,203460
2010-07-09 00:00:00,lost Ronny Turiaf to NYK,-1597.4,201862
2010-07-09 00:00:00,lost Quincy Miller to NYK,-0.0,201862
2010-07-09 00:00:00,lost Romero Osby to NYK,-0.0,201862
2010-07-09 00:00:00,added David Lee to GSW,7330.700000000001,209193
2010-07-12 00:00:00,added Dorell Wright to GSW,4002.6,213195
2010-07-13 00:00:00,lost Anthony Morrow to NJN,4964.4,218160
2010-07-21 00:00:00,added Jeremy Lin to GSW,627.0,218787
2010-07-22 00:00:00,lost C.J. Watson to CHI,675.0,219462
2010-09-08 00:00:00,added Rodney Carney to GSW,-926.8,218535
2010-09-13 00:00:00,added Lou Amundson to GSW,-3109.5,215426
2010-12-09 00:00:00,added Acie Law to GSW,-2022.4,213403
2011-02-23 00:00:00,lost Dan Gadzuric to NJN,1211.8,214615
2011-02-23 00:00:00,lost Brandan Wright to NJN,257.6,214873
2011-02-23 00:00:00,added Troy Murphy to GSW,0.0,214873
2011-02-23 00:00:00,added Draymond Green to GSW,58714.00000000001,273587
2011-02-25 00:00:00,added Jeff Adrien to GSW,-1038.8,272548
2011-03-03 00:00:00,added Al Thornton to GSW,-1727.0,270821
2011-06-23 00:00:00,added Klay Thompson to GSW,14522.2,285343
2011-06-23 00:00:00,added Charles Jenkins to GSW,-5322.0,280021
2011-06-23 00:00:00,added Jeremy Tyler to GSW,-5022.599999999999,274998
2011-12-10 00:00:00,added Chris Wright to GSW,0.0,274998
2011-12-14 00:00:00,added Kwame Brown to GSW,-691.9,274306
2011-12-15 00:00:00,added Dominic McGuire to GSW,-901.6,273405
2011-12-16 00:00:00,added Ish Smith to GSW,195.3,273600
2011-12-19 00:00:00,lost Lou Amundson to IND,3012.0,276612
2011-12-19 00:00:00,lost Luka Mitrović to IND,-0.0,276612
2011-12-19 00:00:00,added Brandon Rush to GSW,71.60000000000014,276684
2012-01-04 00:00:00,added Nate Robinson to GSW,476.8,277161
2012-01-14 00:00:00,added Earl Barron to GSW,-146.70000000000002,277014
2012-03-13 00:00:00,lost Kwame Brown to MIL,-0.0,277014
2012-03-13 00:00:00,lost Monta Ellis to MIL,-411.0999999999999,276603
2012-03-13 00:00:00,lost Ekpe Udoh to MIL,6413.7,283016
2012-03-13 00:00:00,added Andrew Bogut to GSW,13300.399999999998,296317
2012-03-13 00:00:00,added Stephen Jackson to GSW,0.0,296317
2012-03-15 00:00:00,added Ognjen Kuzmić to GSW,-919.6,295397
2012-03-15 00:00:00,lost Stephen Jackson to SAS,3812.5,299210
2012-03-15 00:00:00,added T.J. Ford to GSW,0.0,299210
2012-03-15 00:00:00,added Richard Jefferson to GSW,-1898.4,297311
2012-03-15 00:00:00,added Festus Ezeli to GSW,-4792.2,292519
2012-03-22 00:00:00,added Mickell Gladness to GSW,-1008.0,291511
2012-03-24 00:00:00,added Keith Benson to GSW,-69.3,291442
2012-04-16 00:00:00,added Mikki Moore to GSW,-814.2,290628
