date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2008-10-03 00:00:00,added Shaun Livingston to MIA,-307.5,-307,-0.1,-0.1,signing,Shaun Livingston
2009-01-07 00:00:00,lost Shaun Livingston to MEM,-0.0,-307,-0.0,-0.1,trade,Shaun Livingston
2009-02-13 00:00:00,lost Marcus Banks to TOR,540.2,232,-0.0,-0.1,trade,Marcus Banks
2009-02-13 00:00:00,lost Shawn Marion to TOR,-95.4,137,-0.5,-0.6,trade,Shawn Marion
2009-02-13 00:00:00,added Jamario Moon to MIA,-137.8,0,0.3,-0.3,trade,Jamario Moon
2009-02-13 00:00:00,added Jermaine O'Neal to MIA,-1577.8000000000002,-1578,1.1,0.8,trade,Jermaine O'Neal
2009-02-13 00:00:00,added Da'Sean Butler to MIA,0.0,-1578,0.0,0.8,trade,Da'Sean Butler
2009-02-13 00:00:00,added Jonas Valančiūnas to MIA,0.0,-1578,0.0,0.8,trade,Jonas Valančiūnas
2009-03-04 00:00:00,added Luther Head to MIA,-264.0,-1842,0.0,0.8,signing,Luther Head
2009-06-25 00:00:00,added Marcus Thornton to MIA,0.0,-1842,0.0,0.8,draft,Marcus Thornton
2009-06-25 00:00:00,added Robert Dozier to MIA,0.0,-1842,0.0,0.8,draft,Robert Dozier
2009-06-25 00:00:00,lost Ater Majok to LAL,-0.0,-1842,-0.0,0.8,trade,Ater Majok
2009-06-25 00:00:00,added Patrick Beverley to MIA,0.0,-1842,0.0,0.8,trade,Patrick Beverley
2009-06-25 00:00:00,lost Marcus Thornton to NOH,-1461.3,-3303,-1.7,-0.8999999999999999,trade,Marcus Thornton
2009-06-25 00:00:00,added Jarvis Varnado to MIA,0.0,-3303,0.0,-0.8999999999999999,trade,Jarvis Varnado
2009-06-25 00:00:00,added Jae Crowder to MIA,1382.5,-1921,0.6,-0.2999999999999999,trade,Jae Crowder
2009-08-13 00:00:00,lost Mark Blount to MIN,-0.0,-1921,-0.0,-0.2999999999999999,trade,Mark Blount
2009-08-13 00:00:00,added Quentin Richardson to MIA,2706.6,785,1.7,1.4,trade,Quentin Richardson
2009-09-29 00:00:00,added Anthony Tolliver to MIA,0.0,785,0.0,1.4,signing,Anthony Tolliver
2009-10-12 00:00:00,added Carlos Arroyo to MIA,-4566.5,-3781,0.2,1.6,signing,Carlos Arroyo
