date,Transaction,single_value,value
2013-06-25,lost R.J. Hunter to BOS,567,567
2013-06-27,added Reggie Bullock to LAC,0,567
2013-07-08,added Reggie Bullock to LAC,-1619,-1051
2013-07-10,lost Eric Bledsoe to PHO,-21332,-22383
2013-07-10,lost Caron Butler to PHO,0,-22383
2013-07-10,lost Marcus Paige to MIL,0,-22383
2013-07-10,added J.J. Redick to LAC,10302,-12081
2013-07-10,added Jared Dudley to LAC,-2593,-14674
2013-07-10,added Darren Collison to LAC,3103,-11571
2013-07-10,added Chris Paul to LAC,77357,65785
2013-07-22,added Byron Mullens to LAC,-751,65034
2013-08-26,added Antawn Jamison to LAC,-1165,63868
2013-12-10,added Stephen Jackson to LAC,-706,63162
2014-02-03,added Sasha Vujačić to LAC,-124,63038
2014-02-20,lost Byron Mullens to PHI,-49,62989
2014-02-20,lost Antawn Jamison to ATL,0,62989
2014-02-20,added Cenk Akyol to LAC,0,62989
2014-02-24,added Glen Davis to LAC,-1324,61664
2014-02-28,added Danny Granger to LAC,-504,61160
2014-06-26,added C.J. Wilcox to LAC,0,61160
2014-07-10,added Spencer Hawes to LAC,-2930,58230
2014-07-11,added C.J. Wilcox to LAC,-745,57484
2014-07-18,added Glen Davis to LAC,-2802,54682
2014-08-26,lost Jared Dudley to MIL,-1030,53652
2014-08-26,lost OG Anunoby to MIL,0,53652
2014-08-26,added Carlos Delfino to LAC,0,53652
2014-08-26,added Miroslav Raduljica to LAC,0,53652
2014-08-26,added Marcus Paige to LAC,0,53652
2014-09-03,added Chris Douglas-Roberts to LAC,-700,52951
2014-09-03,added Ekpe Udoh to LAC,-153,52798
2014-09-12,added Hedo Türkoğlu to LAC,-141,52657
2014-09-29,added Joe Ingles to LAC,0,52657
2014-09-29,added Jared Cunningham to LAC,-720,51936
2015-01-07,lost Cenk Akyol to PHI,0,51936
2015-01-07,lost Jared Cunningham to PHI,0,51936
2015-01-07,added Sergei Lishouk to LAC,0,51936
2015-01-14,added Dahntay Jones to LAC,0,51936
2015-01-15,lost Reggie Bullock to PHO,765,52701
2015-01-15,lost Chris Douglas-Roberts to BOS,0,52701
2015-01-15,lost Jabari Bird to BOS,356,53057
2015-01-15,added Austin Rivers to LAC,-2135,50922
2015-02-03,added Dahntay Jones to LAC,-1020,49901
2015-02-24,added Jordan Hamilton to LAC,-292,49608
2015-03-07,added Nate Robinson to LAC,-340,49268
2015-03-29,added Lester Hudson to LAC,0,49268
2015-04-11,added Lester Hudson to LAC,229,49497
2015-06-15,lost Matt Barnes to CHO,0,49497
2015-06-15,lost Spencer Hawes to CHO,683,50181
2015-06-15,added Lance Stephenson to LAC,-1292,48889
2015-06-25,added Branden Dawson to LAC,0,48889
2015-07-09,added Wesley Johnson to LAC,-333,48556
2015-07-09,added DeAndre Jordan to LAC,19149,67705
2015-07-10,added Paul Pierce to LAC,-5364,62341
2015-07-13,added Austin Rivers to LAC,-3952,58388
2015-07-13,added Cole Aldrich to LAC,1920,60308
2015-07-15,added Branden Dawson to LAC,-165,60142
2015-07-16,added Josh Smith to LAC,-229,59913
2015-08-03,added Pablo Prigioni to LAC,-329,59584
2015-08-31,added Chuck Hayes to LAC,0,59584
2015-09-10,added Nikoloz Tskitishvili to LAC,0,59584
2015-09-25,added Luc Mbah a Moute to LAC,-3312,56271
2016-01-22,lost Sergei Lishouk to HOU,0,56271
2016-01-22,lost Josh Smith to HOU,2483,58755
2016-01-22,added Maarty Leunen to LAC,0,58755
2016-01-23,added Jeff Ayres to LAC,0,58755
2016-02-18,lost Lance Stephenson to MEM,346,59101
2016-02-18,lost Matisse Thybulle to MEM,0,59101
2016-02-18,added Jeff Green to LAC,-1772,57329
2016-02-20,added Alex Stepheson to LAC,-31,57298
2016-03-16,added Jeff Ayres to LAC,-652,56645
2016-06-23,added Brice Johnson to LAC,0,56645
2016-06-23,added Cheick Diallo to LAC,0,56645
2016-06-23,lost Cheick Diallo to NOP,2239,58885
2016-06-23,added David Michineau to LAC,0,58885
2016-06-23,added Diamond Stone to LAC,0,58885
2016-07-08,added Jamal Crawford to LAC,-4529,54355
2016-07-08,added Luc Mbah a Moute to LAC,-540,53815
2016-07-08,added Austin Rivers to LAC,-6987,46828
2016-07-08,added Wesley Johnson to LAC,-2660,44167
2016-07-12,added Brice Johnson to LAC,153,44320
2016-07-12,added Marreese Speights to LAC,771,45092
2016-07-14,added Diamond Stone to LAC,-499,44593
2016-07-15,lost C.J. Wilcox to ORL,874,45468
2016-07-15,added Devyn Marble to LAC,0,45468
2016-07-15,added Vernon Carey Jr. to LAC,0,45468
2016-07-19,added Brandon Bass to LAC,230,45698
2016-07-25,added Raymond Felton to LAC,-2210,43488
2016-08-03,added Alan Anderson to LAC,-1878,41610
2016-09-22,added Xavier Munford to LAC,0,41610
