date,Transaction,single_value,value
2020-11-17 00:00:00,lost Udoka Azubuike to UTA,705.0,705
2020-11-17 00:00:00,lost Saben Lee to UTA,-0.0,705
2020-11-17 00:00:00,added Ante Tomic to NYK,0.0,705
2020-11-17 00:00:00,added Leandro Bolmaro to NYK,0.0,705
2020-11-18 00:00:00,added Obi Toppin to NYK,0.0,705
2020-11-18 00:00:00,added Leandro Bolmaro to NYK,0.0,705
2020-11-20 00:00:00,lost Leandro Bolmaro to MIN,1397.8,2102
2020-11-20 00:00:00,added Mathias Lessort to NYK,0.0,2102
2020-11-20 00:00:00,added James Nnaji to NYK,0.0,2102
2020-11-20 00:00:00,added Immanuel Quickley to NYK,0.0,2102
2020-11-22 00:00:00,added Alec Burks to NYK,1882.5,3985
2020-11-22 00:00:00,added Ed Davis to NYK,0.0,3985
2020-11-22 00:00:00,added Mouhamed Gueye to NYK,0.0,3985
2020-11-22 00:00:00,added Ajay Mitchell to NYK,0.0,3985
2020-11-23 00:00:00,added Obi Toppin to NYK,1456.9,5442
2020-11-23 00:00:00,added Jared Harper to NYK,0.0,5442
2020-11-24 00:00:00,lost Ed Davis to MIN,657.8000000000001,6100
2020-11-24 00:00:00,added Jacob Evans to NYK,0.0,6100
2020-11-24 00:00:00,added Omari Spellman to NYK,0.0,6100
2020-11-25 00:00:00,added Nerlens Noel to NYK,2165.8,8265
2020-11-27 00:00:00,lost Issuf Sanon to HOU,-0.0,8265
2020-11-27 00:00:00,added Tadija Dragicevic to NYK,0.0,8265
2020-11-27 00:00:00,added Axel Hervelle to NYK,0.0,8265
2020-11-27 00:00:00,added Sergio Llull to NYK,0.0,8265
2020-11-27 00:00:00,added Austin Rivers to NYK,-972.4,7293
2020-11-28 00:00:00,added Immanuel Quickley to NYK,7263.9,14557
2020-11-29 00:00:00,added Elfrid Payton to NYK,-4452.0,10105
2020-11-29 00:00:00,added Theo Pinson to NYK,-533.8,9571
2021-01-06 00:00:00,added Ryan Arcidiacono to NYK,0.0,9571
2021-01-07 00:00:00,added Taj Gibson to NYK,1216.8,10788
2021-02-08 00:00:00,lost Dennis Smith to DET,-274.4,10513
2021-02-08 00:00:00,lost Isaiah Livers to DET,6500.6,17014
2021-02-08 00:00:00,added Derrick Rose to NYK,2248.7999999999997,19263
2021-03-25 00:00:00,lost Ignas Brazdeikis to PHI,171.2,19434
2021-03-25 00:00:00,lost Austin Rivers to OKC,-0.0,19434
2021-03-25 00:00:00,added Terrance Ferguson to NYK,0.0,19434
2021-03-25 00:00:00,added Vincent Poirier to NYK,0.0,19434
2021-03-25 00:00:00,added Emir Preldžić to NYK,0.0,19434
2021-03-25 00:00:00,added Jericho Sims to NYK,0.0,19434
2021-04-02 00:00:00,added Norvel Pelle to NYK,0.0,19434
2021-04-05 00:00:00,added John Henson to NYK,0.0,19434
2021-04-22 00:00:00,added Norvel Pelle to NYK,130.0,19564
2021-04-23 00:00:00,added Myles Powell to NYK,0.0,19564
2021-04-23 00:00:00,added Jared Harper to NYK,-353.6,19210
2021-05-06 00:00:00,added Luca Vildoza to NYK,0.0,19210
2021-07-29 00:00:00,added Kai Jones to NYK,0.0,19210
2021-07-29 00:00:00,added Keon Johnson to NYK,0.0,19210
2021-07-29 00:00:00,added Jeremiah Robinson-Earl to NYK,0.0,19210
2021-07-29 00:00:00,added Jericho Sims to NYK,0.0,19210
2021-07-30 00:00:00,lost Kai Jones to CHO,2615.8,21826
2021-07-30 00:00:00,lost Keon Johnson to LAC,769.5,22596
2021-07-30 00:00:00,added Quentin Grimes to NYK,0.0,22596
2021-07-30 00:00:00,added Jonathan Mogbo to NYK,0.0,22596
2021-07-30 00:00:00,lost Jeremiah Robinson-Earl to OKC,3612.4,26208
2021-07-30 00:00:00,added Rokas Jokubaitis to NYK,0.0,26208
2021-07-30 00:00:00,added Miles McBride to NYK,0.0,26208
2021-08-06 00:00:00,added Miles McBride to NYK,-3554.8,22653
2021-08-06 00:00:00,added Quentin Grimes to NYK,-1812.9,20840
2021-08-08 00:00:00,added Jericho Sims to NYK,-3879.5,16961
2021-08-09 00:00:00,added Nerlens Noel to NYK,168.6,17130
2021-08-10 00:00:00,added Kemba Walker to NYK,379.2000000000001,17509
2021-08-17 00:00:00,added Alec Burks to NYK,-571.3999999999996,16937
2021-08-17 00:00:00,added Evan Fournier to NYK,-3927.3,13010
2021-08-17 00:00:00,added Amari Bailey to NYK,0.0,13010
2021-08-17 00:00:00,added Taj Gibson to NYK,-1892.0,11118
2021-08-17 00:00:00,added Derrick Rose to NYK,212.19999999999985,11330
2021-08-18 00:00:00,added Dwayne Bacon to NYK,0.0,11330
2021-08-18 00:00:00,added Aamir Simms to NYK,0.0,11330
2021-08-20 00:00:00,added M.J. Walker to NYK,0.0,11330
2021-09-23 00:00:00,added Wayne Selden to NYK,-112.1,11218
2021-10-08 00:00:00,added Tyler Hall to NYK,0.0,11218
2021-10-12 00:00:00,added Myles Powell to NYK,0.0,11218
2021-10-14 00:00:00,added Brandon Goodwin to NYK,0.0,11218
2021-10-15 00:00:00,added Brandon Knight to NYK,0.0,11218
2021-10-16 00:00:00,added Luka Šamanić to NYK,0.0,11218
2021-12-18 00:00:00,added Tyler Hall to NYK,-17.0,11201
2021-12-21 00:00:00,added Damyean Dotson to NYK,0.0,11201
2021-12-21 00:00:00,added Matt Mooney to NYK,0.0,11201
2021-12-23 00:00:00,added Danuel House Jr. to NYK,-61.2,11140
2021-12-31 00:00:00,added Damyean Dotson to NYK,-102.9,11037
2021-12-31 00:00:00,added Matt Mooney to NYK,-44.6,10992
2022-01-03 00:00:00,lost Louis Labeyrie to LAL,-0.0,10992
2022-01-03 00:00:00,added Denzel Valentine to NYK,0.0,10992
2022-01-03 00:00:00,added Brad Newley to NYK,0.0,10992
2022-01-03 00:00:00,added Wang Zhelin to NYK,0.0,10992
2022-01-03 00:00:00,added Ryan Arcidiacono to NYK,0.0,10992
2022-01-13 00:00:00,lost Kevin Knox to ATL,765.9000000000001,11758
2022-01-13 00:00:00,added Solomon Hill to NYK,0.0,11758
2022-01-13 00:00:00,added Cam Reddish to NYK,-1179.4,10579
2022-02-13 00:00:00,added Ryan Arcidiacono to NYK,-349.5999999999999,10229
2022-03-18 00:00:00,added Feron Hunt to NYK,-90.4,10139
2022-06-23 00:00:00,added Ousmane Dieng to NYK,0.0,10139
2022-06-23 00:00:00,lost Ousmane Dieng to OKC,3548.4,13687
2022-06-23 00:00:00,added Nick Smith Jr. to NYK,0.0,13687
2022-06-23 00:00:00,lost Nick Smith Jr. to CHO,12277.9,25965
2022-06-23 00:00:00,lost Amari Bailey to CHO,539.5,26505
2022-06-23 00:00:00,lost Jaylen Clark to CHO,-0.0,26505
2022-06-23 00:00:00,lost Mouhamed Gueye to CHO,-0.0,26505
2022-06-23 00:00:00,lost Cam Spencer to CHO,-0.0,26505
2022-06-23 00:00:00,added Jalen Duren to NYK,0.0,26505
2022-07-06 00:00:00,lost Jalen Duren to DET,-4562.3,21942
2022-07-06 00:00:00,lost Kemba Walker to DET,-0.0,21942
2022-07-10 00:00:00,added Trevor Keels to NYK,0.0,21942
2022-07-11 00:00:00,lost Alec Burks to DET,-985.9999999999998,20956
2022-07-11 00:00:00,lost Nerlens Noel to DET,304.0,21260
2022-07-11 00:00:00,lost James Nnaji to DET,-0.0,21260
2022-07-11 00:00:00,added Nikola Radičević to NYK,0.0,21260
2022-07-12 00:00:00,added Mitchell Robinson to NYK,4666.5,25927
2022-07-12 00:00:00,added Jalen Brunson to NYK,32687.9,58615
2022-07-12 00:00:00,added Isaiah Hartenstein to NYK,6148.2,64763
2022-09-14 00:00:00,added DaQuan Jeffries to NYK,0.0,64763
2022-09-17 00:00:00,added Ryan Arcidiacono to NYK,-564.6,64198
2022-09-18 00:00:00,added Sviatoslav Mykhailiuk to NYK,164.0,64362
2022-09-21 00:00:00,added Quinton Rose to NYK,0.0,64362
2022-09-21 00:00:00,added M.J. Walker to NYK,0.0,64362
2022-09-23 00:00:00,added Garrison Brooks to NYK,0.0,64362
2022-09-23 00:00:00,added Nuni Omot to NYK,0.0,64362
2022-09-25 00:00:00,added Jalen Harris to NYK,0.0,64362
2022-10-14 00:00:00,added James Akinjo to NYK,0.0,64362
2022-11-29 00:00:00,added DaQuan Jeffries to NYK,0.0,64362
2023-02-09 00:00:00,lost Ryan Arcidiacono to POR,1372.4,65735
2023-02-09 00:00:00,lost Cam Reddish to POR,2373.6,68108
2023-02-09 00:00:00,lost Ante Tomic to POR,-0.0,68108
2023-02-09 00:00:00,lost Kris Murray to POR,7677.4,75786
2023-02-09 00:00:00,lost Sviatoslav Mykhailiuk to CHO,214.0,76000
2023-02-09 00:00:00,added Dani Diez to NYK,0.0,76000
2023-02-09 00:00:00,added Bojan Dubljevic to NYK,0.0,76000
2023-02-09 00:00:00,added Josh Hart to NYK,10563.6,86563
2023-02-23 00:00:00,added Trevor Keels to NYK,0.0,86563
2023-02-28 00:00:00,added Duane Washington Jr. to NYK,0.0,86563
2023-03-05 00:00:00,added DaQuan Jeffries to NYK,0.0,86563
2023-03-08 00:00:00,added Moses Brown to NYK,0.0,86563
2023-03-12 00:00:00,added Trevor Keels to NYK,-104.0,86459
2023-03-26 00:00:00,added DaQuan Jeffries to NYK,0.0,86459
2023-04-09 00:00:00,added Isaiah Roby to NYK,0.0,86459
2023-07-03 00:00:00,added Jaylen Martin to NYK,0.0,86459
2023-07-06 00:00:00,added Jacob Toppin to NYK,0.0,86459
2023-07-07 00:00:00,lost Obi Toppin to IND,-5282.4,81177
2023-07-08 00:00:00,added Donte DiVincenzo to NYK,8024.0,89201
2023-07-21 00:00:00,added Nathan Knight to NYK,0.0,89201
2023-07-27 00:00:00,added Dylan Windler to NYK,51.8,89253
2023-07-29 00:00:00,added Duane Washington Jr. to NYK,0.0,89253
2023-10-21 00:00:00,added Charlie Brown Jr. to NYK,-503.2,88750
2023-10-21 00:00:00,added Jacob Toppin to NYK,0.0,88750
2023-10-23 00:00:00,added Duane Washington Jr. to NYK,0.0,88750
2023-11-27 00:00:00,added Jaylen Martin to NYK,0.0,88750
2023-12-15 00:00:00,added Taj Gibson to NYK,0.0,88750
2023-12-22 00:00:00,added Dmytro Skapintsev to NYK,-51.8,88698
2023-12-30 00:00:00,lost R.J. Barrett to TOR,-1228.6,87469
2023-12-30 00:00:00,lost Immanuel Quickley to TOR,-2778.6000000000004,84691
2023-12-30 00:00:00,lost Jonathan Mogbo to TOR,2183.4,86874
2023-12-30 00:00:00,added Precious Achiuwa to NYK,-1661.8,85212
2023-12-30 00:00:00,added OG Anunoby to NYK,481.1999999999998,85693
2023-12-30 00:00:00,added Malachi Flynn to NYK,-156.0,85537
2024-01-03 00:00:00,added Duane Washington Jr. to NYK,0.0,85537
2024-01-30 00:00:00,added Taj Gibson to NYK,0.0,85537
2024-02-08 00:00:00,lost Ryan Arcidiacono to DET,-0.0,85537
2024-02-08 00:00:00,lost Malachi Flynn to DET,444.6,85982
2024-02-08 00:00:00,lost Evan Fournier to DET,2055.8,88038
2024-02-08 00:00:00,lost Quentin Grimes to DET,931.5,88969
2024-02-08 00:00:00,added Bojan Bogdanovic to NYK,-2729.3,86240
2024-02-08 00:00:00,added Alec Burks to NYK,-2425.8,83814
2024-02-10 00:00:00,added Taj Gibson to NYK,-1138.5,82676
2024-02-21 00:00:00,added Jacob Toppin to NYK,0.0,82676
2024-02-22 00:00:00,added DaQuan Jeffries to NYK,0.0,82676
2024-03-04 00:00:00,added Jacob Toppin to NYK,-26.600000000000023,82649
2024-03-05 00:00:00,added Shake Milton to NYK,-94.5,82555
2024-03-14 00:00:00,added Mamadi Diakite to NYK,0.0,82555
2024-03-14 00:00:00,added DaQuan Jeffries to NYK,0.0,82555
2024-03-25 00:00:00,added Mamadi Diakite to NYK,-101.6,82453
2024-03-25 00:00:00,added DaQuan Jeffries to NYK,-372.6,82080
2024-06-26 00:00:00,added Kyshawn George to NYK,0.0,82080
2024-06-26 00:00:00,added Pacôme Dadiet to NYK,0.0,82080
2024-06-26 00:00:00,lost Kyshawn George to WAS,7228.299999999999,89309
2024-06-26 00:00:00,added Dillon Jones to NYK,0.0,89309
2024-06-26 00:00:00,added Melvin Ajinça to NYK,0.0,89309
2024-06-26 00:00:00,lost Dillon Jones to OKC,2028.6,91337
2024-06-27 00:00:00,added Ajay Mitchell to NYK,0.0,91337
2024-06-27 00:00:00,added Melvin Ajinça to NYK,0.0,91337
2024-06-27 00:00:00,lost Ajay Mitchell to OKC,673.1999999999999,92010
2024-06-27 00:00:00,added Oso Ighodaro to NYK,0.0,92010
2024-06-27 00:00:00,lost Melvin Ajinca to DAL,-0.0,92010
2024-06-27 00:00:00,added Ariel Hukporti to NYK,0.0,92010
2024-06-27 00:00:00,added Petteri Koponen to NYK,0.0,92010
2024-06-27 00:00:00,lost Osasere Ighodaro to PHO,2465.0,94475
2024-06-27 00:00:00,added Kevin McCullar Jr. to NYK,0.0,94475
2024-07-03 00:00:00,added Pacome Dadiet to NYK,-610.0,93865
2024-07-04 00:00:00,added Tyler Kolek to NYK,-705.0,93160
2024-07-06 00:00:00,added Shake Milton to NYK,0.0,93160
2024-07-06 00:00:00,lost Bojan Bogdanovic to BRK,-0.0,93160
2024-07-06 00:00:00,lost Mamadi Diakite to BRK,-0.0,93160
2024-07-06 00:00:00,lost Shake Milton to BRK,442.8,93603
2024-07-06 00:00:00,added Keita Bates-Diop to NYK,0.0,93603
2024-07-06 00:00:00,added Mikal Bridges to NYK,-1780.2,91823
2024-07-06 00:00:00,added Juan Pablo Vaulet to NYK,0.0,91823
2024-07-06 00:00:00,added future 2nd round pick to NYK,0.0,91823
2024-07-06 00:00:00,lost future 1st round pick to BRK,-0.0,91823
2024-07-06 00:00:00,lost future 1st round pick to BRK,-0.0,91823
2024-07-06 00:00:00,lost future 2nd round pick to BRK,-0.0,91823
2024-07-06 00:00:00,lost future 1st round pick to BRK,-0.0,91823
2024-07-06 00:00:00,lost future 1st round pick to BRK,-0.0,91823
2024-07-06 00:00:00,lost future 1st round pick to BRK,-0.0,91823
2024-07-06 00:00:00,lost future 1st round pick to BRK,-0.0,91823
2024-07-06 00:00:00,added OG Anunoby to NYK,2136.8,93960
2024-07-08 00:00:00,added Ariel Hukporti to NYK,-1215.1999999999998,92745
2024-07-15 00:00:00,added Cameron Payne to NYK,0.0,92745
2024-07-30 00:00:00,added Precious Achiuwa to NYK,-1947.6,90797
2024-08-05 00:00:00,added Kevin McCullar Jr. to NYK,-167.2,90630
2024-08-14 00:00:00,added Jacob Toppin to NYK,-298.9,90331
2024-09-14 00:00:00,added Landry Shamet to NYK,0.0,90331
2024-09-15 00:00:00,added Marcus Morris to NYK,0.0,90331
2024-10-02 00:00:00,added Duane Washington Jr. to NYK,0.0,90331
2024-10-02 00:00:00,added Charlie Brown Jr. to NYK,0.0,90331
2024-10-02 00:00:00,added DaQuan Jeffries to NYK,0.0,90331
