date,Transaction,single_value,value
1977-06-10 00:00:00,added Essie Hollis to UTA,0.0,0
1977-06-10 00:00:00,added Tony Hanson to UTA,0.0,0
1977-06-10 00:00:00,added Dennis Boyd to UTA,0.0,0
1977-06-10 00:00:00,added Jim Grady to UTA,0.0,0
1977-06-10 00:00:00,added Wayne Golden to UTA,0.0,0
1977-06-10 00:00:00,added Lusia Harris to UTA,0.0,0
1977-06-10 00:00:00,added Dave Speicher to UTA,0.0,0
1977-07-15 00:00:00,added Glenn Hansen to UTA,0.0,0
1977-07-27 00:00:00,added Gus Bailey to UTA,0.0,0
1977-08-05 00:00:00,added Truck Robinson to UTA,0.0,0
1977-10-13 00:00:00,lost Jack Givens to ATL,2949.3,2949
1977-10-13 00:00:00,added Joe Meriweather to UTA,0.0,2949
1977-10-18 00:00:00,lost Glenn Hansen to CHI,21.6,2970
1977-10-18 00:00:00,added Jeff Covington to UTA,0.0,2970
1978-01-04 00:00:00,lost Danny Vranes to SEA,14340.0,17310
1978-01-04 00:00:00,added Slick Watts to UTA,0.0,17310
1978-01-05 00:00:00,lost Nate Williams to GSW,-0.0,17310
1978-01-05 00:00:00,added Tommie Green to UTA,0.0,17310
1978-02-01 00:00:00,lost Jeff Judkins to BOS,152.1,17463
1978-02-01 00:00:00,added Fred Saunders to UTA,0.0,17463
1978-06-09 00:00:00,added James Hardy to UTA,-3713.4,13749
1978-06-09 00:00:00,added Tommie Green to UTA,0.0,13749
1978-06-09 00:00:00,added Mel Davis to UTA,0.0,13749
1978-06-09 00:00:00,added Jeff Covington to UTA,0.0,13749
1978-06-09 00:00:00,added Duck Williams to UTA,-7176.0,6573
1978-06-09 00:00:00,added John Douglas to UTA,0.0,6573
1978-06-09 00:00:00,added Willie Howard to UTA,0.0,6573
1978-06-09 00:00:00,added Carl Kilpatrick to UTA,-27.0,6546
1978-06-09 00:00:00,added Chad Nelson to UTA,0.0,6546
1978-06-09 00:00:00,added Rickey Williams to UTA,-1557.0,4989
1978-08-01 00:00:00,added Ron Davis to UTA,0.0,4989
1978-09-21 00:00:00,lost Slick Watts to HOU,-523.0,4466
1978-09-21 00:00:00,added Danny Schayes to UTA,-8319.3,-3852
1979-09-13 00:00:00,,0.0,-3852
1979-09-13 00:00:00,added Sam Pellom to ATL,-5146.0,-8998
1979-10-10 00:00:00,lost Jawann Oldham to UTA,-0.0,-8998
1979-10-10 00:00:00,lost Eddie Johnson to UTA,-0.0,-8998
1979-10-10 00:00:00,added Ron Lee to ATL,-1892.8,-10891
1983-06-07 00:00:00,,0.0,-10891
1983-06-07 00:00:00,added Stan Albeck to BRK,0.0,-10891
1983-06-22 00:00:00,lost Len Elmore to NYK,2496.0,-8395
1983-06-22 00:00:00,added Tom Sluby to BRK,0.0,-8395
1983-06-28 00:00:00,added Horace Owens to BRK,0.0,-8395
1983-06-28 00:00:00,added Bruce Kuczenski to BRK,-123.20000000000002,-8518
1983-06-28 00:00:00,added Barney Mines to BRK,0.0,-8518
1983-06-28 00:00:00,added Tyren Naulls to BRK,0.0,-8518
1983-06-28 00:00:00,added Oscar Taylor to BRK,0.0,-8518
1983-06-28 00:00:00,added Keith Bennett to BRK,0.0,-8518
1983-06-28 00:00:00,added Joey Myers to BRK,0.0,-8518
1983-06-28 00:00:00,added Kevin Black to BRK,0.0,-8518
1983-06-28 00:00:00,added Rich Simkus to BRK,0.0,-8518
1983-06-29 00:00:00,lost Milt Wagner to DAL,-0.0,-8518
1983-06-29 00:00:00,lost Steve Alford to DAL,-594.9000000000001,-9113
1983-06-29 00:00:00,added Dirk Minniefield to BRK,0.0,-9113
