date,Transaction,single_value,value
1974-06-15 00:00:00,lost Marvin Barnes to CAR,-0.0,0
1974-06-15 00:00:00,added Bobby Jones to DEN,0.0,0
1974-06-18 00:00:00,added Bobby Jones to DEN,28401.0,28401
1974-06-20 00:00:00,added Mack Calvin to DEN,0.0,28401
1974-06-25 00:00:00,added Jan van Breda Kolff to DEN,0.0,28401
1974-08-01 00:00:00,lost Julius Keye to UTS,-0.0,28401
1974-09-04 00:00:00,lost Darrell Elston to VIR,5793.900000000001,34194
1974-09-04 00:00:00,added Fatty Taylor to DEN,0.0,34194
1974-09-10 00:00:00,lost Willie Long to NYA,-0.0,34194
1974-09-18 00:00:00,lost Al Smith to UTS,-0.0,34194
1975-06-13 00:00:00,added Marvin Webster to DEN,0.0,34194
1975-06-16 00:00:00,added Monte Towe to DEN,0.0,34194
1975-06-16 00:00:00,added Marvin Webster to DEN,0.0,34194
1975-06-17 00:00:00,added Monte Towe to DEN,-1840.5,32354
1975-06-18 00:00:00,added Marvin Webster to DEN,1148.4,33502
1975-07-08 00:00:00,added David Thompson to DEN,0.0,33502
1975-07-14 00:00:00,added David Thompson to DEN,0.0,33502
1975-07-14 00:00:00,lost Mack Calvin to VIR,-0.0,33502
1975-07-14 00:00:00,lost Mike Green to VIR,-0.0,33502
1975-07-14 00:00:00,lost Jan van Breda Kolff to VIR,-893.6,32609
1975-07-14 00:00:00,added George Irvine to DEN,0.0,32609
1975-07-14 00:00:00,added David Thompson to DEN,32397.1,65006
1975-07-30 00:00:00,added Jimmy Foster to DEN,0.0,65006
1975-08-01 00:00:00,lost Patrick McFarland to SDS,165.0,65171
1975-10-08 00:00:00,lost Dave Robisch to MMS,-0.0,65171
1975-10-08 00:00:00,added Dan Issel to DEN,0.0,65171
1975-10-21 00:00:00,lost Fatty Taylor to VIR,-0.0,65171
1975-10-21 00:00:00,added Chuck Williams to DEN,0.0,65171
1975-12-18 00:00:00,added Gus Gerard to DEN,638.4,65809
1976-08-05 00:00:00,lost Herm Harris to PHI,-0.0,65809
1976-08-05 00:00:00,added Fatty Taylor to DEN,0.0,65809
1976-09-01 00:00:00,added Rudy Hackett to DEN,0.0,65809
1976-09-15 00:00:00,lost Dave Batton to NYN,-0.0,65809
1976-09-15 00:00:00,lost Walter Jordan to NYN,-0.0,65809
1976-09-15 00:00:00,added Ted McClain to DEN,0.0,65809
1976-09-21 00:00:00,added Willie Wise to DEN,0.0,65809
1976-10-05 00:00:00,added Goo Kennedy to DEN,0.0,65809
1976-10-18 00:00:00,lost Rudy Hackett to NYN,41.6,65851
1976-10-20 00:00:00,lost Ralph Simpson to DET,-0.0,65851
1976-10-20 00:00:00,added Paul Silas to DEN,0.0,65851
1976-12-15 00:00:00,lost Gus Gerard to BUF,1726.5,67577
1976-12-15 00:00:00,lost Chuck Williams to BUF,-0.0,67577
1976-12-15 00:00:00,added Jim Price to DEN,-2000.0,65577
1977-05-24 00:00:00,lost Paul Silas to SEA,-0.0,65577
1977-05-24 00:00:00,lost Marvin Webster to SEA,-4365.0,61212
1977-05-24 00:00:00,lost Willie Wise to SEA,-0.0,61212
1977-05-24 00:00:00,added Tom Burleson to DEN,0.0,61212
