date,Transaction,single_value,value
2017-06-20 00:00:00,lost Dwight Howard to CHO,246,246
2017-06-20 00:00:00,lost Frank Jackson to CHO,0,246
2017-06-20 00:00:00,added Marco Belinelli to ATL,-242,4
2017-06-20 00:00:00,added Miles Plumlee to ATL,-3211,-3207
2017-06-20 00:00:00,added Tyler Dorsey to ATL,0,-3207
2017-06-22 00:00:00,added John Collins to ATL,0,-3207
2017-06-22 00:00:00,added Tyler Dorsey to ATL,0,-3207
2017-06-22 00:00:00,added Alpha Kaba to ATL,0,-3207
2017-06-28 00:00:00,lost Ryan Kelly to HOU,0,-3207
2017-07-01 00:00:00,added John Collins to ATL,9764,6557
2017-07-06 00:00:00,lost Cody Martin to DEN,0,6557
2017-07-06 00:00:00,added Jamal Crawford to ATL,0,6557
2017-07-06 00:00:00,added Diamond Stone to ATL,0,6557
2017-07-06 00:00:00,added Omari Spellman to ATL,0,6557
2017-07-14 00:00:00,added Tyler Dorsey to ATL,-4054,2503
2017-07-21 00:00:00,added Dewayne Dedmon to ATL,958,3461
2017-07-21 00:00:00,added Ersan İlyasova to ATL,-117,3344
2017-07-25 00:00:00,added Mike Muscala to ATL,318,3662
2017-08-09 00:00:00,added Luke Babbitt to ATL,-399,3263
2017-09-05 00:00:00,added Tyler Cavanaugh to ATL,0,3263
2017-09-05 00:00:00,added Quinn Cook to ATL,0,3263
2017-09-05 00:00:00,added Josh Magette to ATL,-561,2701
2017-09-13 00:00:00,added Jeremy Evans to ATL,0,2701
2017-09-21 00:00:00,added Jordan Mathews to ATL,0,2701
2017-09-25 00:00:00,added John Jenkins to ATL,0,2701
2017-09-25 00:00:00,added DeAndre Liggins to ATL,0,2701
2017-10-14 00:00:00,lost Dimitrios Agravanis to CLE,0,2701
2017-10-14 00:00:00,lost Sergiy Gladyr to CLE,0,2701
2017-10-14 00:00:00,added Kay Felder to ATL,0,2701
2017-10-14 00:00:00,added Richard Jefferson to ATL,0,2701
2017-10-14 00:00:00,added Eric Paschall to ATL,0,2701
2017-10-17 00:00:00,added Isaiah Taylor to ATL,-5134,-2433
2017-11-05 00:00:00,added Tyler Cavanaugh to ATL,-984,-3417
2018-01-15 00:00:00,added Andrew White to ATL,-1149,-4566
2018-02-08 00:00:00,lost Luke Babbitt to MIA,1334,-3232
2018-02-08 00:00:00,added Okaro White to ATL,0,-3232
2018-02-08 00:00:00,added Sheldon Mac to ATL,0,-3232
2018-02-22 00:00:00,added Antonius Cleveland to ATL,0,-3232
2018-02-28 00:00:00,added Jaylen Morris to ATL,0,-3232
2018-03-13 00:00:00,added Damion Lee to ATL,0,-3232
2018-03-14 00:00:00,added Antonius Cleveland to ATL,-378,-3610
2018-03-21 00:00:00,added Jaylen Morris to ATL,-529,-4140
2018-04-01 00:00:00,added Jeremy Evans to ATL,-49,-4189
2018-04-02 00:00:00,added Damion Lee to ATL,-767,-4957
2018-06-21 00:00:00,added Luka Dončić to ATL,0,-4957
2018-06-21 00:00:00,added Kevin Huerter to ATL,0,-4957
2018-06-21 00:00:00,added Omari Spellman to ATL,0,-4957
2018-06-21 00:00:00,added Devonte' Graham to ATL,0,-4957
2018-06-21 00:00:00,lost Luka Dončić to DAL,-81764,-86721
2018-06-21 00:00:00,added Trae Young to ATL,0,-86721
2018-06-21 00:00:00,added Cam Reddish to ATL,0,-86721
2018-06-21 00:00:00,lost Devonte' Graham to CHO,437,-86284
2018-06-21 00:00:00,added Bol Bol to ATL,0,-86284
2018-06-21 00:00:00,added Colby Jones to ATL,0,-86284
2018-07-01 00:00:00,added Trae Young to ATL,36804,-49480
2018-07-01 00:00:00,added Kevin Huerter to ATL,-10994,-60474
2018-07-01 00:00:00,added Omari Spellman to ATL,-966,-61440
2018-07-01 00:00:00,added Jaylen Adams to ATL,-1840,-63281
2018-07-13 00:00:00,lost Isaïa Cordinier to BRK,0,-63281
2018-07-13 00:00:00,added Jeremy Lin to ATL,-601,-63883
2018-07-25 00:00:00,lost Mike Muscala to PHI,1561,-62321
2018-07-25 00:00:00,lost Dennis Schröder to OKC,4827,-57493
2018-07-25 00:00:00,added Carmelo Anthony to ATL,0,-57493
2018-07-25 00:00:00,added Justin Anderson to ATL,-1250,-58743
2018-08-03 00:00:00,added Alex Len to ATL,-2150,-60894
2018-08-20 00:00:00,added Daniel Hamilton to ATL,-836,-61731
2018-08-20 00:00:00,added Alex Poythress to ATL,-1067,-62798
2018-08-24 00:00:00,added Vince Carter to ATL,-931,-63729
2018-08-30 00:00:00,added Thomas Robinson to ATL,0,-63729
2018-09-07 00:00:00,added R.J. Hunter to ATL,0,-63729
2018-09-18 00:00:00,added Cole Aldrich to ATL,0,-63729
2019-02-07 00:00:00,lost Tyler Dorsey to MEM,1206,-62522
2019-02-07 00:00:00,added Shelvin Mack to ATL,0,-62522
2019-02-07 00:00:00,added Jabari Bird to ATL,0,-62522
2019-02-20 00:00:00,added Jordan Sibert to ATL,64,-62458
2019-03-01 00:00:00,added B.J. Johnson to ATL,-124,-62583
2019-03-08 00:00:00,added Tyler Zeller to ATL,-112,-62695
2019-03-19 00:00:00,added Deyonta Davis to ATL,0,-62695
2019-04-01 00:00:00,added Isaac Humphries to ATL,-616,-63311
2019-04-08 00:00:00,added Deyonta Davis to ATL,-236,-63547
2019-06-19 00:00:00,lost Bol Bol to MIA,0,-63547
2019-06-20 00:00:00,lost Eric Paschall to GSW,6342,-57205
2019-06-20 00:00:00,added Jaxson Hayes to ATL,0,-57205
2019-06-20 00:00:00,added Cam Reddish to ATL,0,-57205
2019-06-20 00:00:00,added Marcos Louzada Silva to ATL,0,-57205
2019-06-24 00:00:00,lost Kent Bazemore to POR,3555,-53650
2019-06-24 00:00:00,added Evan Turner to ATL,-1380,-55030
2019-07-01 00:00:00,added Cam Reddish to ATL,-10109,-65140
2019-07-01 00:00:00,added Charlie Brown Jr. to ATL,-100,-65240
2019-07-06 00:00:00,lost Taurean Prince to BRK,5864,-59375
2019-07-06 00:00:00,lost Marcus Zegarowski to BRK,0,-59375
2019-07-06 00:00:00,added Nickeil Alexander-Walker to ATL,0,-59375
2019-07-06 00:00:00,added Allen Crabbe to ATL,-2140,-61515
2019-07-06 00:00:00,added Aleksej Pokusevski to ATL,0,-61515
2019-07-07 00:00:00,added De'Andre Hunter to ATL,0,-61515
2019-07-07 00:00:00,lost Nickeil Alexander-Walker to NOP,7978,-53536
2019-07-07 00:00:00,lost Jaxson Hayes to NOP,198,-53338
2019-07-07 00:00:00,lost Marcos Louzada Silva to NOP,625,-52713
2019-07-07 00:00:00,lost Herbert Jones to NOP,1752,-50960
2019-07-07 00:00:00,lost Vince Williams Jr. to NOP,0,-50960
2019-07-07 00:00:00,added Jordan Bone to ATL,0,-50960
2019-07-07 00:00:00,added Solomon Hill to ATL,-4338,-55299
2019-07-07 00:00:00,added De'Andre Hunter to ATL,-21837,-77136
2019-07-07 00:00:00,added Seth Lundy to ATL,0,-77136
2019-07-07 00:00:00,lost Jordan Bone to PHI,0,-77136
2019-07-07 00:00:00,lost Théo Maledon to PHI,0,-77136
2019-07-07 00:00:00,lost Colby Jones to PHI,0,-77136
2019-07-07 00:00:00,added Bruno Fernando to ATL,0,-77136
2019-07-07 00:00:00,lost Solomon Hill to MEM,1261,-75875
2019-07-07 00:00:00,lost Miles Plumlee to MEM,0,-75875
2019-07-07 00:00:00,added Chandler Parsons to ATL,-324,-76199
2019-07-07 00:00:00,added Bruno Fernando to ATL,-4597,-80796
2019-07-08 00:00:00,lost Omari Spellman to GSW,1594,-79201
2019-07-08 00:00:00,added Damian Jones to ATL,-1330,-80532
2019-07-11 00:00:00,added Jabari Parker to ATL,0,-80532
2019-08-06 00:00:00,added Brandon Goodwin to ATL,-3169,-83701
2019-09-20 00:00:00,added Vince Carter to ATL,-3766,-87467
2019-10-19 00:00:00,added Mark Ogden Jr. to ATL,0,-87467
2020-01-06 00:00:00,added Paul Watson to ATL,-222,-87690
2020-01-16 00:00:00,lost Allen Crabbe to MIN,1270,-86419
2020-01-16 00:00:00,added Treveon Graham to ATL,-1330,-87749
2020-01-16 00:00:00,added Jeff Teague to ATL,-1660,-89410
2020-02-05 00:00:00,lost Evan Turner to MIN,0,-89410
2020-02-05 00:00:00,lost Aleksej Pokusevski to MIN,0,-89410
2020-02-05 00:00:00,added Clint Capela to ATL,13014,-76396
2020-02-05 00:00:00,added Nene to ATL,0,-76396
2020-02-06 00:00:00,added Derrick Walton to ATL,0,-76396
2020-02-06 00:00:00,added Skal Labissiere to ATL,0,-76396
2020-02-06 00:00:00,lost Alex Len to SAC,2802,-73594
2020-02-06 00:00:00,lost Jabari Parker to SAC,37,-73556
2020-02-06 00:00:00,added Dewayne Dedmon to ATL,-1048,-74604
2020-02-06 00:00:00,added Skylar Mays to ATL,0,-74604
2020-02-06 00:00:00,added Sharife Cooper to ATL,0,-74604
2020-11-18 00:00:00,added Onyeka Okongwu to ATL,0,-74604
2020-11-18 00:00:00,added Skylar Mays to ATL,0,-74604
2020-11-20 00:00:00,lost Dewayne Dedmon to DET,0,-74604
2020-11-20 00:00:00,added Tony Snell to ATL,-496,-75100
2020-11-20 00:00:00,added Khyri Thomas to ATL,0,-75100
2020-11-23 00:00:00,added Rajon Rondo to ATL,-1005,-76105
2020-11-24 00:00:00,added Onyeka Okongwu to ATL,1431,-74674
2020-11-24 00:00:00,added Skylar Mays to ATL,511,-74163
2020-11-24 00:00:00,added Nathan Knight to ATL,-1032,-75195
2020-11-24 00:00:00,added Bogdan Bogdanovic to ATL,7854,-67341
2020-11-24 00:00:00,added Danilo Gallinari to ATL,1009,-66331
2020-11-25 00:00:00,added Solomon Hill to ATL,-3782,-70114
2020-11-28 00:00:00,added Kris Dunn to ATL,-616,-70730
2021-03-25 00:00:00,lost Rajon Rondo to LAC,-846,-71576
2021-03-25 00:00:00,added Lou Williams to ATL,-2171,-73748
2021-03-25 00:00:00,added Julian Phillips to ATL,0,-73748
2021-07-29 00:00:00,added Jalen Johnson to ATL,0,-73748
2021-07-29 00:00:00,added Sharife Cooper to ATL,0,-73748
2021-08-04 00:00:00,added Jalen Johnson to ATL,-275,-74023
2021-08-04 00:00:00,added Sharife Cooper to ATL,-635,-74659
2021-08-05 00:00:00,added Solomon Hill to ATL,-556,-75215
2021-08-06 00:00:00,added Lou Williams to ATL,-2716,-77932
2021-08-06 00:00:00,added John Collins to ATL,-274,-78206
2021-08-07 00:00:00,lost Kris Dunn to BOS,0,-78206
2021-08-07 00:00:00,lost Bruno Fernando to BOS,162,-78044
2021-08-07 00:00:00,lost Julian Phillips to BOS,0,-78044
2021-08-07 00:00:00,added Delon Wright to ATL,3194,-74849
2021-08-09 00:00:00,added Gorgui Dieng to ATL,779,-74070
2021-08-11 00:00:00,added Johnny Hamilton to ATL,0,-74070
2021-08-18 00:00:00,added A.J. Lawson to ATL,0,-74070
2021-08-26 00:00:00,added Skylar Mays to ATL,-440,-74510
2021-09-09 00:00:00,added Timothé Luwawu-Cabarrot to ATL,-2260,-76771
2021-09-21 00:00:00,added Jahlil Okafor to ATL,0,-76771
2021-10-07 00:00:00,added DaQuan Jeffries to ATL,0,-76771
2021-10-12 00:00:00,added Ibi Watson to ATL,0,-76771
2021-12-22 00:00:00,added Malcolm Hill to ATL,174,-76596
2021-12-22 00:00:00,added Lance Stephenson to ATL,-539,-77135
2021-12-23 00:00:00,added Wes Iwundu to ATL,-557,-77693
2021-12-25 00:00:00,added Malik Ellison to ATL,0,-77693
2021-12-25 00:00:00,added Cat Barber to ATL,-305,-77998
2021-12-27 00:00:00,added Chaundee Brown Jr. to ATL,0,-77998
2021-12-28 00:00:00,added Justin Tillman to ATL,0,-77998
2021-12-29 00:00:00,added Chris Clemons to ATL,0,-77998
2021-12-29 00:00:00,added Cameron Oliver to ATL,73,-77925
2022-01-13 00:00:00,lost Solomon Hill to NYK,0,-77925
2022-01-13 00:00:00,lost Cam Reddish to NYK,1179,-76746
2022-01-13 00:00:00,added Kevin Knox to ATL,-765,-77511
2022-04-09 00:00:00,added Chaundee Brown Jr. to ATL,-340,-77852
2022-06-23 00:00:00,added A.J. Griffin to ATL,0,-77852
2022-06-23 00:00:00,added Ryan Rollins to ATL,0,-77852
2022-06-23 00:00:00,lost Ryan Rollins to GSW,930,-76922
2022-06-23 00:00:00,added Tyrese Martin to ATL,0,-76922
2022-06-30 00:00:00,lost Danilo Gallinari to SAS,0,-76922
2022-06-30 00:00:00,added Jock Landale to ATL,0,-76922
2022-06-30 00:00:00,added Dejounte Murray to ATL,2693,-74229
2022-06-30 00:00:00,lost future 1st round pick to SAS,0,-74229
2022-06-30 00:00:00,lost future 1st round pick to SAS,0,-74229
2022-06-30 00:00:00,lost future 1st round pick to SAS,0,-74229
2022-06-30 00:00:00,lost future 1st round pick to SAS,0,-74229
2022-07-03 00:00:00,added AJ Griffin to ATL,-1120,-75350
2022-07-06 00:00:00,lost Jock Landale to PHO,1076,-74273
2022-07-06 00:00:00,lost Kevin Huerter to SAC,-2203,-76476
2022-07-06 00:00:00,added Maurice Harkless to ATL,0,-76476
2022-07-06 00:00:00,added Justin Holiday to ATL,-1520,-77996
2022-07-06 00:00:00,added future 1st round pick to ATL,0,-77996
2022-07-06 00:00:00,added Aaron Holiday to ATL,-1690,-79686
2022-07-11 00:00:00,added Frank Kaminsky to ATL,457,-79229
2022-07-15 00:00:00,added Tyrese Martin to ATL,-488,-79717
2022-07-21 00:00:00,added Sharife Cooper to ATL,0,-79717
2022-08-08 00:00:00,added Trent Forrest to ATL,-1412,-81130
2022-08-22 00:00:00,added Tyson Etienne to ATL,0,-81130
2022-08-25 00:00:00,added Chris Silva to ATL,0,-81130
2022-09-12 00:00:00,added Jarrett Culver to ATL,-575,-81705
2022-09-16 00:00:00,added Malik Ellison to ATL,0,-81705
2022-09-22 00:00:00,added Armoni Brooks to ATL,0,-81705
2022-09-27 00:00:00,lost Maurice Harkless to OKC,0,-81705
2022-09-27 00:00:00,added Vit Krejci to ATL,-594,-82299
