,Transaction Date,Transaction,Score,Running Score
1,2019-04-09 00:00:00,added Tarik Phillip to WAS,0,0
2,2019-06-20 00:00:00,added Rui Hachimura to WAS,0,0
3,2019-06-21 00:00:00,added Admiral Schofield to WAS,0,0
4,2019-06-21 00:00:00,added Jonathon Simmons to WAS,0,0
5,2019-07-01 00:00:00,added Rui Hachimura to WAS,-13404,-13404
6,2019-07-04 00:00:00,added Garrison Mathews to WAS,-249,-13654
7,2019-07-06 00:00:00,lost Dwight Howard to MEM,0,-13654
8,2019-07-06 00:00:00,added C.J. Miles to WAS,-273,-13927
9,2019-07-06 00:00:00,lost Aaron White to BRK,0,-13927
10,2019-07-06 00:00:00,added Davis Bertans to WAS,1424,-12503
11,2019-07-06 00:00:00,added Isaac Bonga to WAS,-6005,-18508
12,2019-07-06 00:00:00,added Jemerrio Jones to WAS,0,-18508
13,2019-07-06 00:00:00,added Moritz Wagner to WAS,-1958,-20466
14,2019-07-06 00:00:00,added Kennedy Chandler to WAS,0,-20466
15,2019-07-06 00:00:00,added Thomas Bryant to WAS,2328,-18138
16,2019-07-07 00:00:00,added Tomáš Satoranský to WAS,-624,-18762
17,2019-07-07 00:00:00,lost Tomáš Satoranský to CHI,2907,-15855
18,2019-07-07 00:00:00,lost Kennedy Chandler to CHI,0,-15855
19,2019-07-07 00:00:00,added Vit Krejci to WAS,0,-15855
20,2019-07-07 00:00:00,added Christian Koloko to WAS,0,-15855
21,2019-07-08 00:00:00,added Ish Smith to WAS,-3709,-19564
22,2019-07-09 00:00:00,added Isaiah Thomas to WAS,-4070,-23634
23,2019-07-14 00:00:00,added Admiral Schofield to WAS,-2024,-25658
24,2019-07-15 00:00:00,added Justin Robinson to WAS,-279,-25937
25,2019-09-18 00:00:00,added Justin Anderson to WAS,0,-25937
26,2019-10-21 00:00:00,added Chris Chiozza to WAS,-184,-26122
27,2019-12-17 00:00:00,added Anzejs Pasecniks to WAS,-2726,-28849
28,2019-12-23 00:00:00,added Gary Payton II to WAS,-691,-29540
29,2019-12-26 00:00:00,added Johnathan Williams to WAS,0,-29540
30,2020-01-12 00:00:00,added Johnathan Williams to WAS,-360,-29900
31,2020-02-06 00:00:00,lost Jordan McRae to DEN,-80,-29980
32,2020-02-06 00:00:00,added Shabazz Napier to WAS,-780,-30761
33,2020-02-06 00:00:00,lost Issuf Sanon to NYK,0,-30761
34,2020-02-06 00:00:00,lost Isaiah Thomas to LAC,0,-30761
35,2020-02-06 00:00:00,added Jerome Robinson to WAS,-3744,-34505
36,2020-11-18 00:00:00,added Deni Avdija to WAS,0,-34505
37,2020-11-18 00:00:00,added Vit Krejci to WAS,0,-34505
38,2020-11-19 00:00:00,lost Vit Krejci to OKC,3657,-30848
39,2020-11-19 00:00:00,lost Admiral Schofield to OKC,0,-30848
40,2020-11-19 00:00:00,added Cassius Winston to WAS,0,-30848
41,2020-11-21 00:00:00,added Garrison Mathews to WAS,-1868,-32717
42,2020-11-21 00:00:00,added Raul Neto to WAS,-841,-33558
43,2020-11-22 00:00:00,added Robin Lopez to WAS,-1354,-34912
44,2020-11-22 00:00:00,added Dāvis Bertāns to WAS,-3075,-37987
45,2020-11-27 00:00:00,added Cassius Winston to WAS,-313,-38301
46,2020-11-30 00:00:00,added Anthony Gill to WAS,-1163,-39464
47,2020-12-01 00:00:00,added Deni Avdija to WAS,-11915,-51380
48,2020-12-02 00:00:00,lost John Wall to HOU,901,-50478
49,2020-12-02 00:00:00,added Russell Westbrook to WAS,8765,-41713
50,2021-01-23 00:00:00,added Alex Len to WAS,180,-41532
51,2021-01-23 00:00:00,added Jordan Bell to WAS,0,-41532
52,2021-03-25 00:00:00,lost Troy Brown Jr. to CHI,2420,-39112
53,2021-03-25 00:00:00,lost Moritz Wagner to BOS,628,-38483
54,2021-03-25 00:00:00,added Daniel Gafford to WAS,5546,-32937
55,2021-03-25 00:00:00,added Chandler Hutchison to WAS,-1269,-34206
56,2021-04-14 00:00:00,added Jordan Bell to WAS,-381,-34588
57,2021-05-15 00:00:00,added Caleb Homesley to WAS,0,-34588
58,2021-07-29 00:00:00,added Corey Kispert to WAS,0,-34588
59,2021-08-04 00:00:00,added Corey Kispert to WAS,-7281,-41870
60,2021-08-06 00:00:00,lost Chandler Hutchison to SAS,0,-41870
61,2021-08-06 00:00:00,lost Christian Koloko to SAS,0,-41870
62,2021-08-06 00:00:00,lost Russell Westbrook to LAL,4433,-37436
63,2021-08-06 00:00:00,lost Tristan Vukcevic to LAL,0,-37436
64,2021-08-06 00:00:00,added Spencer Dinwiddie to WAS,-1197,-38633
65,2021-08-06 00:00:00,added Aaron Holiday to WAS,-1392,-40025
66,2021-08-06 00:00:00,added Isaiah Todd to WAS,0,-40025
67,2021-08-06 00:00:00,added Kentavious Caldwell-Pope to WAS,-3493,-43519
68,2021-08-06 00:00:00,added Montrezl Harrell to WAS,5361,-38157
69,2021-08-06 00:00:00,added Kyle Kuzma to WAS,-4247,-42404
70,2021-08-06 00:00:00,added Raul Neto to WAS,-3978,-46383
71,2021-08-09 00:00:00,added Jay Huff to WAS,0,-46383
72,2021-08-10 00:00:00,added Isaiah Todd to WAS,-1376,-47760
73,2021-08-18 00:00:00,added Jordan Goodwin to WAS,0,-47760
74,2021-08-19 00:00:00,added Cassius Winston to WAS,-362,-48122
75,2021-08-19 00:00:00,added Jaime Echenique to WAS,0,-48122
76,2021-09-18 00:00:00,added Jordan Schakel to WAS,0,-48122
77,2021-10-13 00:00:00,added Devontae Shuler to WAS,0,-48122
78,2021-12-22 00:00:00,added Jordan Schakel to WAS,0,-48122
79,2021-12-27 00:00:00,added Jordan Goodwin to WAS,-204,-48327
80,2021-12-28 00:00:00,added Alize Johnson to WAS,-289,-48617
81,2021-12-28 00:00:00,added Craig Sword to WAS,26,-48590
82,2021-12-29 00:00:00,added Brad Wanamaker to WAS,78,-48512
83,2021-12-30 00:00:00,added Jaime Echenique to WAS,-25,-48537
84,2022-01-01 00:00:00,added Tremont Waters to WAS,-43,-48581
85,2022-01-06 00:00:00,added Greg Monroe to WAS,-79,-48660
86,2022-02-10 00:00:00,lost Davis Bertans to DAL,774,-47886
87,2022-02-10 00:00:00,lost Spencer Dinwiddie to DAL,-3512,-51398
88,2022-02-10 00:00:00,added Kristaps Porzingis to WAS,11846,-39552
89,2022-02-10 00:00:00,added Yannick Nzosa to WAS,0,-39552
90,2022-02-10 00:00:00,lost Montrezl Harrell to CHO,-943,-40495
91,2022-02-10 00:00:00,added Vernon Carey Jr. to WAS,-337,-40832
92,2022-02-10 00:00:00,added Ish Smith to WAS,-922,-41754
93,2022-02-10 00:00:00,added Trayce Jackson-Davis to WAS,0,-41754
94,2022-02-10 00:00:00,lost Aaron Holiday to PHO,286,-41468
95,2022-02-28 00:00:00,added Tomas Satoransky to WAS,-624,-42092
96,2022-03-09 00:00:00,added Jordan Schakel to WAS,-288,-42380
97,2022-06-23 00:00:00,added Johnny Davis to WAS,0,-42380
