date,Transaction,single_value,value
2005-06-28 00:00:00,added Fran Vázquez to ORL,0.0,0
2005-06-28 00:00:00,added Travis Diener to ORL,307.8,307
2005-06-28 00:00:00,added Martynas Andriuškevičius to ORL,0.0,307
2005-06-28 00:00:00,lost Martynas Andriuškevičius to CLE,-46.8,261
2005-06-28 00:00:00,added Ejike Ugboaja to ORL,0.0,261
2005-06-28 00:00:00,added Marcin Gortat to ORL,961.6,1222
2005-08-03 00:00:00,added Keyon Dooling to ORL,-5735.799999999999,-4513
2005-09-29 00:00:00,added Terence Morris to ORL,-844.8000000000001,-5357
2005-09-29 00:00:00,added Bo Outlaw to ORL,-36.9,-5394
2006-02-15 00:00:00,lost Kelvin Cato to DET,255.0,-5139
2006-02-15 00:00:00,lost Rodney Stuckey to DET,11587.0,6447
2006-02-15 00:00:00,added Carlos Arroyo to ORL,-1413.1,5034
2006-02-15 00:00:00,added Darko Miličić to ORL,-580.3,4453
2006-02-22 00:00:00,lost Steve Francis to NYK,188.5000000000001,4642
2006-02-22 00:00:00,added Trevor Ariza to ORL,2118.8,6761
2006-02-22 00:00:00,added Anfernee Hardaway to ORL,0.0,6761
2006-06-28 00:00:00,added J.J. Redick to ORL,5602.5,12363
2006-06-28 00:00:00,added James Augustine to ORL,-424.2,11939
2006-06-28 00:00:00,added Lior Eliyahu to ORL,0.0,11939
2006-06-28 00:00:00,lost Lior Eliyahu to HOU,-0.0,11939
2006-07-13 00:00:00,added Keith Bogans to ORL,-638.4000000000001,11300
2006-10-02 00:00:00,added Kasib Powell to ORL,0.0,11300
2007-06-08 00:00:00,lost Stanko Barać to MIA,-0.0,11300
2007-06-08 00:00:00,lost Darnell Jackson to MIA,-0.0,11300
2007-06-28 00:00:00,lost Brad Newley to HOU,-0.0,11300
2007-06-28 00:00:00,added Reyshawn Terry to ORL,0.0,11300
2007-06-28 00:00:00,lost Reyshawn Terry to DAL,-0.0,11300
2007-06-28 00:00:00,added Milovan Raković to ORL,0.0,11300
2007-07-11 00:00:00,lost Emir Preldžić to SEA,-0.0,11300
2007-07-11 00:00:00,added Rashard Lewis to ORL,23973.1,35274
2007-08-24 00:00:00,added Adonal Foyle to ORL,-1169.6999999999998,34104
2007-11-20 00:00:00,lost Trevor Ariza to LAL,-4562.9,29541
2007-11-20 00:00:00,added Brian Cook to ORL,-2691.5,26849
2007-11-20 00:00:00,added Maurice Evans to ORL,1461.6,28311
2008-06-26 00:00:00,added Courtney Lee to ORL,-193.9,28117
2008-07-10 00:00:00,added Mickaël Piétrus to ORL,1708.0,29825
2008-07-15 00:00:00,added Anthony Johnson to ORL,-1184.8,28640
2008-07-21 00:00:00,lost Keyon Dooling to NJN,3755.8,32396
2008-09-25 00:00:00,added Dwayne Jones to ORL,0.0,32396
2008-09-25 00:00:00,added Jeremy Richardson to ORL,-957.9,31438
2008-09-25 00:00:00,added Mike Wilks to ORL,0.0,31438
2009-02-05 00:00:00,lost Keith Bogans to MIL,-0.0,31438
2009-02-05 00:00:00,added Tyronn Lue to ORL,-103.2,31335
2009-02-19 00:00:00,lost Adonal Foyle to MEM,52.8,31388
2009-02-19 00:00:00,lost Mike Wilks to MEM,-0.0,31388
2009-02-19 00:00:00,lost DeMarre Carroll to MEM,3393.6,34781
2009-02-19 00:00:00,lost Brian Cook to HOU,712.2,35494
2009-02-19 00:00:00,added Rafer Alston to ORL,1712.0,37206
2009-03-23 00:00:00,added Adonal Foyle to ORL,300.9,37506
2009-06-25 00:00:00,lost Rafer Alston to NJN,3064.0,40570
2009-06-25 00:00:00,lost Tony Battie to NJN,1072.0,41642
2009-06-25 00:00:00,lost Courtney Lee to NJN,3325.0,44967
2009-06-25 00:00:00,added Ryan Anderson to ORL,16501.699999999997,61469
2009-06-25 00:00:00,added Vince Carter to ORL,5815.2,67284
2009-07-09 00:00:00,lost Hedo Türkoğlu to TOR,-908.8,66376
2009-07-10 00:00:00,added Brandon Bass to ORL,7.199999999999989,66383
2009-07-23 00:00:00,added Matt Barnes to ORL,2726.1,69109
2009-08-09 00:00:00,added Jason Williams to ORL,1651.7,70761
2010-06-24 00:00:00,added Daniel Orton to ORL,-561.0,70200
2010-06-24 00:00:00,added Stanley Robinson to ORL,0.0,70200
2010-07-08 00:00:00,added Chris Duhon to ORL,-5148.0,65052
2010-07-13 00:00:00,added Quentin Richardson to ORL,-2818.1000000000004,62233
2010-09-15 00:00:00,added Malik Allen to ORL,-961.2,61272
2010-12-18 00:00:00,lost Rashard Lewis to WAS,2855.7,64128
2010-12-18 00:00:00,added Gilbert Arenas to ORL,-3852.0,60276
2010-12-18 00:00:00,lost Vince Carter to PHO,554.8000000000001,60831
2010-12-18 00:00:00,lost Marcin Gortat to PHO,-5348.8,55482
2010-12-18 00:00:00,lost Mickaël Piétrus to PHO,826.8,56309
2010-12-18 00:00:00,lost Nikola Mirotić to PHO,-0.0,56309
2010-12-18 00:00:00,added Earl Clark to ORL,-4267.900000000001,52041
2010-12-18 00:00:00,added Jason Richardson to ORL,4184.1,56225
2010-12-18 00:00:00,added Hedo Türkoğlu to ORL,782.5000000000002,57007
2011-06-23 00:00:00,added DeAndre Liggins to ORL,-517.5,56490
2011-06-23 00:00:00,lost Allen Crabbe to CLE,-0.0,56490
2011-06-23 00:00:00,lost Joe Harris to CLE,2849.3,59339
2011-06-23 00:00:00,added Justin Harper to ORL,-831.6,58508
2011-12-09 00:00:00,added Larry Hughes to ORL,-1356.6,57151
2011-12-09 00:00:00,added Gabe Pruitt to ORL,0.0,57151
2011-12-12 00:00:00,lost Brandon Bass to BOS,8614.7,65766
2011-12-12 00:00:00,added Glen Davis to ORL,-9431.4,56334
2011-12-12 00:00:00,added Von Wafer to ORL,-1219.4,55115
2012-02-02 00:00:00,added Ish Smith to ORL,-2136.6000000000004,52978
