date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2004-07-15 00:00:00,lost Kenyon Martin to DEN,-620.8999999999999,-620,-5.8,-5.8
2004-07-15 00:00:00,added Joey Graham to BRK,0.0,-620,0.0,-5.8
2004-07-15 00:00:00,added Renaldo Balkman to BRK,0.0,-620,0.0,-5.8
2004-07-15 00:00:00,added Marcus Williams to BRK,0.0,-620,0.0,-5.8
2004-07-29 00:00:00,added Rodney Buford to BRK,-4595.5,-5216,-0.5,-6.3
2004-07-29 00:00:00,lost Kerry Kittles to LAC,218.7,-4997,-0.1,-6.4
2004-07-29 00:00:00,added Chris Taft to BRK,0.0,-4997,0.0,-6.4
2004-07-29 00:00:00,added Jacque Vaughn to BRK,-10558.4,-15556,-1.4,-7.799999999999999
2004-08-06 00:00:00,added Eric Williams to BRK,-443.4,-15999,0.3,-7.499999999999999
2004-08-12 00:00:00,added Ron Mercer to BRK,-1560.0,-17559,-0.2,-7.699999999999999
2004-10-04 00:00:00,added Travis Best to BRK,-1899.3,-19458,0.3,-7.399999999999999
2004-10-04 00:00:00,added Jabari Smith to BRK,-2721.6,-22180,-0.4,-7.8
2004-10-04 00:00:00,added Alex Scales to BRK,0.0,-22180,0.0,-7.8
2004-10-04 00:00:00,added Awvee Storey to BRK,-192.0,-22372,0.0,-7.8
2004-10-04 00:00:00,added Andre Brown to BRK,0.0,-22372,0.0,-7.8
2004-12-08 00:00:00,added Kaniel Dickens to BRK,0.0,-22372,0.0,-7.8
2004-12-17 00:00:00,lost Alonzo Mourning to TOR,-0.0,-22372,-0.0,-7.8
2004-12-17 00:00:00,lost Aaron Williams to TOR,2211.0,-20161,0.4,-7.399999999999999
2004-12-17 00:00:00,lost Eric Williams to TOR,3813.7,-16347,0.5,-6.9
2004-12-17 00:00:00,lost Joey Graham to TOR,16058.9,-288,1.7000000000000002,-5.199999999999999
2004-12-17 00:00:00,lost Renaldo Balkman to TOR,-0.0,-288,-0.0,-5.199999999999999
2004-12-17 00:00:00,added Vince Carter to BRK,56724.0,56435,21.5,16.3
2004-12-28 00:00:00,added Jérôme Moïso to BRK,0.0,56435,0.0,16.3
2005-01-05 00:00:00,added Jérôme Moïso to BRK,19.200000000000003,56454,0.0,16.3
2005-01-10 00:00:00,added Kaniel Dickens to BRK,-213.5,56240,0.0,16.3
2005-01-20 00:00:00,added Billy Thomas to BRK,-1174.8,55066,-0.1,16.2
2005-02-01 00:00:00,added Donnell Harvey to BRK,208.0,55274,0.1,16.3
2005-02-14 00:00:00,lost Chris Taft to GSW,100.8,55374,-0.0,16.3
2005-02-14 00:00:00,lost Stéphane Lasme to GSW,-0.0,55374,-0.0,16.3
2005-02-14 00:00:00,added Clifford Robinson to BRK,-9192.3,46182,-0.5,15.8
2005-06-28 00:00:00,added Antoine Wright to BRK,-10176.1,36006,-1.3,14.5
2005-06-28 00:00:00,added Mile Ilić to BRK,-312.0,35694,-0.1,14.4
2005-08-09 00:00:00,added Marc Jackson to BRK,-1991.8,33702,-0.3,14.1
2005-08-11 00:00:00,added Jeff McInnis to BRK,-1603.8,32098,-0.2,13.9
2005-09-01 00:00:00,added Linton Johnson to BRK,-252.0,31846,0.0,13.9
2005-09-08 00:00:00,added Lamond Murray to BRK,-1728.0,30118,-0.1,13.8
2005-09-08 00:00:00,added Scott Padgett to BRK,-143.6,29975,0.3,14.1
2005-10-04 00:00:00,added Derrick Zimmerman to BRK,-332.8,29642,-0.1,14.000000000000002
2006-02-23 00:00:00,lost Marc Jackson to NOK,6109.1,35751,0.7,14.7
2006-02-23 00:00:00,lost Linton Johnson to NOK,1835.1,37586,-0.2,14.500000000000002
2006-02-23 00:00:00,added Boštjan Nachbar to BRK,-3314.1,34272,0.9,15.400000000000002
2006-02-24 00:00:00,added Billy Thomas to BRK,-160.0,34112,0.0,15.400000000000002
2006-04-18 00:00:00,added John Thomas to BRK,-507.6,33605,-0.1,15.300000000000002
2006-06-28 00:00:00,added Marcus Williams to BRK,-6915.1,26689,-0.7,14.600000000000003
2006-06-28 00:00:00,added Josh Boone to BRK,-8913.0,17776,0.0,14.600000000000003
2006-06-28 00:00:00,added Hassan Adams to BRK,-742.5,17034,0.1,14.700000000000005
2006-07-27 00:00:00,lost Derrick Brown to SEA,-0.0,17034,-0.0,14.700000000000005
2006-07-27 00:00:00,added Mikki Moore to BRK,-2498.4,14536,0.4,15.100000000000003
2006-08-17 00:00:00,added Eddie House to BRK,94.6,14630,0.5,15.600000000000003
