,date,Transaction,value,Running Score
1,2021-06-18,lost Kemba Walker to OKC,0,0
2,2021-06-18,lost Alperen Şengün to OKC,0,0
3,2021-06-18,added Moses Brown to BOS,0,0
4,2021-06-18,added Al Horford to BOS,14964,14964
5,2021-06-18,added Amari Bailey to BOS,0,14964
6,2021-07-29,added Juhann Begarin to BOS,0,14964
7,2021-07-31,lost Moses Brown to DAL,811,15775
8,2021-07-31,added Josh Richardson to BOS,326,16101
9,2021-08-07,lost Tristan Thompson to SAC,1683,17784
10,2021-08-07,added Kris Dunn to BOS,0,17784
11,2021-08-07,added Bruno Fernando to BOS,-162,17622
12,2021-08-07,added Julian Phillips to BOS,0,17622
13,2021-08-13,added Dennis Schroder to BOS,-1719,15902
14,2021-08-13,added Enes Kanter to BOS,-575,15327
15,2021-08-13,added Sam Hauser to BOS,363,15690
16,2021-08-16,added Evan Fournier to BOS,0,15690
17,2021-08-17,lost Evan Fournier to NYK,3486,19177
18,2021-08-17,lost Amari Bailey to NYK,0,19177
19,2021-09-14,added Juwan Morgan to BOS,0,19177
20,2021-09-15,lost Kris Dunn to MEM,0,19177
21,2021-09-15,lost Carsen Edwards to MEM,0,19177
22,2021-09-15,added Juan Hernangomez to BOS,-796,18380
23,2021-09-23,added Theo Pinson to BOS,0,18380
24,2021-09-27,added Garrison Mathews to BOS,0,18380
25,2021-09-27,added Ryan Arcidiacono to BOS,0,18380
26,2021-10-15,added Chris Clemons to BOS,0,18380
27,2021-10-15,added Luke Kornet to BOS,0,18380
28,2021-10-18,added Brodric Thomas to BOS,-168,18212
29,2021-10-19,added Jabari Parker to BOS,78,18291
30,2021-12-18,added Justin Jackson to BOS,-5,18286
31,2021-12-20,added C.J. Miles to BOS,-32,18253
32,2021-12-22,added Joe Johnson to BOS,30,18283
33,2021-12-25,added Al-Farouq Aminu to BOS,0,18283
34,2021-12-25,added Norvel Pelle to BOS,0,18283
35,2022-01-19,lost Juan Hernangomez to SAS,127,18411
36,2022-01-19,added Bol Bol to BOS,0,18411
37,2022-01-19,added PJ Dozier to BOS,0,18411
38,2022-02-10,lost Romeo Langford to SAS,3725,22136
39,2022-02-10,lost Josh Richardson to SAS,1199,23335
40,2022-02-10,lost Blake Wesley to SAS,6422,29758
41,2022-02-10,added Derrick White to BOS,4923,34682
42,2022-02-10,lost future 1st round pick to SAS,0,34682
43,2022-02-10,lost Bruno Fernando to HOU,477,35159
44,2022-02-10,lost Enes Freedom to HOU,0,35159
45,2022-02-10,lost Dennis Schroder to HOU,1777,36937
46,2022-02-10,added Daniel Theis to BOS,-39,36898
47,2022-02-10,lost Bol Bol to ORL,1354,38252
48,2022-02-10,lost PJ Dozier to ORL,0,38252
49,2022-02-10,added future 2nd round pick to BOS,0,38252
50,2022-02-10,lost future 2nd round pick to ORL,0,38252
51,2022-02-11,added Luke Kornet to BOS,178,38431
52,2022-02-23,added Kelan Martin to BOS,-150,38280
53,2022-02-23,added Malik Fitts to BOS,0,38280
54,2022-02-28,added Matt Ryan to BOS,-68,38212
55,2022-03-04,added Nik Stauskas to BOS,-109,38102
56,2022-03-15,added Malik Fitts to BOS,274,38376
57,2022-03-28,added Juwan Morgan to BOS,0,38376
58,2022-04-09,added Juwan Morgan to BOS,-24,38352
59,2022-06-23,added JD Davison to BOS,0,38352
60,2022-07-09,lost Malik Fitts to IND,0,38352
61,2022-07-09,lost Juwan Morgan to IND,0,38352
62,2022-07-09,lost Aaron Nesmith to IND,5448,43800
63,2022-07-09,lost Nik Stauskas to IND,0,43800
64,2022-07-09,lost Daniel Theis to IND,152,43953
65,2022-07-09,lost Julian Strawther to IND,0,43953
66,2022-07-09,added Malcolm Brogdon to BOS,4883,48836
67,2022-07-09,added JD Davison to BOS,-277,48559
68,2022-07-09,added Luke Kornet to BOS,804,49363
69,2022-07-09,added Sam Hauser to BOS,1290,50653
70,2022-07-12,added Danilo Gallinari to BOS,0,50653
71,2022-07-16,added Mfiondu Kabengele to BOS,-320,50333
72,2022-08-24,added Bruno Caboclo to BOS,0,50333
73,2022-09-07,added Noah Vonleh to BOS,-1077,49255
74,2022-09-14,added Justin Jackson to BOS,-278,48977
75,2022-09-14,added Jake Layman to BOS,0,48977
76,2022-09-14,added Denzel Valentine to BOS,0,48977
77,2022-09-21,added Luka Šamanić to BOS,0,48977
78,2022-09-23,added Brodric Thomas to BOS,0,48977
79,2022-10-03,added Blake Griffin to BOS,56,49034
80,2022-10-10,added A.J. Reeves to BOS,0,49034
81,2022-10-12,added Reginald Kissoonlal to BOS,0,49034
82,2022-10-13,added Eric Demers to BOS,0,49034
83,2022-10-15,added Marial Shayok to BOS,0,49034
84,2023-01-05,lost Noah Vonleh to SAS,0,49034
85,2023-02-09,lost Justin Jackson to OKC,0,49034
86,2023-02-09,lost Keyonte Johnson to OKC,0,49034
87,2023-02-09,added Mike Muscala to BOS,-452,48582
88,2023-02-09,lost future 2nd round pick to OKC,0,48582
89,2023-04-07,added Justin Champagnie to BOS,-356,48225
90,2023-06-22,added Julian Phillips to BOS,0,48225
91,2023-06-23,lost Danilo Gallinari to WAS,0,48225
92,2023-06-23,lost Mike Muscala to WAS,0,48225
93,2023-06-23,lost Julian Phillips to WAS,0,48225
94,2023-06-23,lost Marcus Smart to MEM,0,48225
95,2023-06-23,added Marcus Sasser to BOS,0,48225
96,2023-06-23,added future 1st round pick to BOS,0,48225
97,2023-06-23,added Kristaps Porzingis to BOS,0,48225
98,2023-06-28,lost Marcus Sasser to DET,0,48225
99,2023-06-28,added James Nnaji to BOS,0,48225
100,2023-06-28,added future 2nd round pick to BOS,0,48225
101,2023-06-28,added future 2nd round pick to BOS,0,48225
102,2023-06-28,lost James Nnaji to CHO,0,48225
103,2023-06-28,added Mouhamed Gueye to BOS,0,48225
104,2023-06-28,added Colby Jones to BOS,0,48225
105,2023-06-28,lost Colby Jones to SAC,0,48225
106,2023-06-28,added Jordan Walsh to BOS,0,48225
107,2023-06-28,added future 2nd round pick to BOS,0,48225
108,2023-06-28,lost Mouhamed Gueye to ATL,0,48225
109,2023-06-28,added future 2nd round pick to BOS,0,48225
110,2023-07-06,added Oshae Brissett to BOS,0,48225
111,2023-07-06,added Jordan Walsh to BOS,0,48225
112,2023-07-09,added JD Davison to BOS,0,48225
113,2023-07-11,added Grant Williams to BOS,0,48225
114,2023-07-12,lost Grant Williams to DAL,0,48225
115,2023-07-12,added future 2nd round pick to BOS,0,48225
116,2023-07-12,added future 2nd round pick to BOS,0,48225
117,2023-07-12,added future 2nd round pick to BOS,0,48225
118,2023-07-15,added Jay Scrubb to BOS,0,48225
119,2023-07-17,added Dalano Banton to BOS,0,48225
120,2023-08-31,added Sviatoslav Mykhailiuk to BOS,0,48225
121,2023-09-17,added Neemias Queta to BOS,0,48225
122,2023-10-01,lost Malcolm Brogdon to POR,0,48225
123,2023-10-01,lost Robert Williams to POR,0,48225
124,2023-10-01,added Jrue Holiday to BOS,0,48225
125,2023-10-01,lost future 1st round pick to POR,0,48225
126,2023-10-01,lost future 1st round pick to POR,0,48225
127,2023-10-22,added Nathan Knight to BOS,0,48225
