date,Transaction,single_value,value
1997-08-12,lost Chris Mullin to IND,-16645.4,-16645
1997-08-12,added Erick Dampier to GSW,-25511.6,-42157
1997-08-12,added Duane Ferrell to GSW,-2700.3,-44857
1997-09-22,lost Scott Burrell to CHI,-2740.0,-47597
1997-09-22,added Dickey Simpkins to GSW,-882.0,-48479
1997-09-26,added Carl Thomas to GSW,0.0,-48479
1997-10-02,added Larry Stewart to GSW,0.0,-48479
1997-10-07,added Antonio Lang to GSW,0.0,-48479
1997-10-28,lost Mark Price to ORL,572.0,-47907
1997-10-28,added Brian Shaw to GSW,-3803.6,-51710
1997-10-28,added David Vaughn to GSW,-1771.0,-53481
1997-11-07,lost B.J. Armstrong to CHH,-374.2,-53856
1997-11-07,added Muggsy Bogues to GSW,-1104.6,-54960
1997-11-07,added Tony Delk to GSW,-3439.8,-58400
1998-01-09,added Carl Thomas to GSW,-361.4,-58761
1998-02-10,added Brandon Williams to GSW,-1274.0,-60035
1998-02-17,lost Brian Shaw to PHI,1255.0,-58780
1998-02-17,lost Joe Smith to PHI,5292.0,-53488
1998-02-17,added Jim Jackson to GSW,-2138.6,-55627
1998-02-17,added Clarence Weatherspoon to GSW,103.5,-55524
1998-02-19,lost David Vaughn to CHI,-34.2,-55558
1998-02-19,lost Shammond Williams to CHI,-0.0,-55558
1998-02-19,lost A.J. Guyton to CHI,3491.2,-52067
1998-02-19,added Jason Caffey to GSW,-15122.4,-67189
1998-03-05,added Gerald Madkins to GSW,0.0,-67189
1998-03-25,added Gerald Madkins to GSW,-72.89999999999999,-67262
1998-04-09,added Jeff Grayer to GSW,-13.8,-67276
1998-06-24,added Vince Carter to GSW,0.0,-67276
1998-06-24,lost Vince Carter to TOR,-73299.29999999999,-140575
1998-06-24,added Antawn Jamison to GSW,3090.4,-137484
1999-01-21,lost Latrell Sprewell to NYK,-4615.899999999999,-142100
1999-01-21,added Terry Cummings to GSW,-1454.3,-143555
1999-01-21,added Chris Mills to GSW,-4250.400000000001,-147805
1999-01-21,added John Starks to GSW,-867.1999999999998,-148672
1999-01-21,added Tony Farmer to GSW,0.0,-148672
1999-02-04,lost Todd Fuller to UTA,2217.6,-146455
1999-02-04,added Chris Porter to GSW,0.0,-146455
1999-06-29,lost Bimbo Coles to ATL,4232.8,-142222
1999-06-29,lost Duane Ferrell to ATL,-0.0,-142222
1999-06-29,lost Jason Terry to ATL,-18073.300000000003,-160295
1999-06-29,added Mookie Blaylock to GSW,3358.3,-156937
1999-06-29,added Jeff Foster to GSW,0.0,-156937
1999-06-30,added Jeff Foster to GSW,0.0,-156937
1999-06-30,added Tim Young to GSW,-671.3000000000001,-157608
1999-06-30,lost Jeff Foster to IND,7005.1,-150603
1999-06-30,added Vonteego Cummings to GSW,-8131.1,-158734
1999-06-30,added Troy Murphy to GSW,0.0,-158734
1999-10-04,added Tim Legler to GSW,-1476.8,-160211
1999-10-04,added Bill Curley to GSW,0.0,-160211
1999-10-04,added Mark Davis to GSW,0.0,-160211
1999-10-04,added Tony Farmer to GSW,-599.5,-160810
1999-10-04,added Damon Jones to GSW,-39.2,-160850
1999-12-01,added Chris Carr to GSW,-370.0,-161220
1999-12-06,added Bill Curley to GSW,0.0,-161220
1999-12-17,added Drew Barry to GSW,-306.0,-161526
1999-12-29,added Jamel Thomas to GSW,0.0,-161526
2000-01-06,added Sam Mack to GSW,-1465.2,-162991
2000-01-09,added Jamel Thomas to GSW,-216.0,-163207
2000-01-11,added Sam Jacobson to GSW,0.0,-163207
2000-01-19,added Mark Davis to GSW,0.0,-163207
2000-01-31,added Sam Jacobson to GSW,-2585.7,-165793
2000-02-16,lost John Starks to CHI,16.400000000000002,-165776
2000-02-16,lost Chris Mihm to CHI,-0.0,-165776
2000-02-16,added Larry Hughes to GSW,-3798.1,-169574
2000-02-16,added Billy Owens to GSW,-1428.2,-171003
2000-03-21,added Bill Curley to GSW,-2315.1,-173318
2000-03-22,added Mark Davis to GSW,-2134.4,-175452
2000-06-27,lost Jason Caffey to MIL,9149.1,-166303
2000-06-27,lost Billy Owens to MIL,-0.0,-166303
2000-06-27,added Bob Sura to GSW,-3500.2,-169803
2000-06-27,added Vinny Del Negro to GSW,-2296.8,-172100
2000-06-28,added Chris Porter to GSW,-5161.5,-177261
2000-08-16,lost Donyell Marshall to UTA,-11581.2,-188843
2000-08-16,lost Bill Curley to DAL,241.50000000000003,-188601
2000-08-16,added Danny Fortson to GSW,-4804.2,-193405
2000-08-16,added Adam Keefe to GSW,-3594.8,-197000
2000-09-28,added Chris Mullin to GSW,-748.0,-197748
2000-11-15,added Randy Livingston to GSW,-109.2,-197857
2000-12-01,added Bill Curley to GSW,0.0,-197857
2000-12-20,added John Coker to GSW,-412.8,-198270
2001-01-05,added Bill Curley to GSW,-761.1,-199031
2001-01-13,added Chucky Brown to GSW,-88.8,-199120
2001-01-26,lost Vinny Del Negro to PHO,-552.0,-199672
2001-01-26,added Corie Blount to GSW,-2937.6000000000004,-202610
2001-01-26,added Rubén Garcés to GSW,-83.6,-202693
2001-01-26,added Paul McPherson to GSW,-258.3,-202952
2001-04-06,added Chris Garner to GSW,-1788.0,-204740
2001-06-27,added Jason Richardson to GSW,14821.6,-189918
2001-06-27,added Troy Murphy to GSW,-11830.499999999998,-201748
2001-06-27,added Gilbert Arenas to GSW,4880.8,-196868
2001-09-24,added Dean Oliver to GSW,-1441.5,-198309
2001-10-25,lost Corie Blount to PHI,2709.4,-195600
2001-10-25,lost Vonteego Cummings to PHI,751.5,-194848
2001-10-25,lost Chris Porter to CHH,-0.0,-194848
2001-10-25,added Cedric Henderson to GSW,119.0,-194729
2001-10-25,added Joey Graham to GSW,0.0,-194729
2002-02-21,lost Marc Jackson to MIN,5163.099999999999,-189566
2002-02-21,added Dean Garrett to GSW,-437.1,-190003
2002-02-21,added Jermareo Davidson to GSW,-577.2,-190580
2002-06-26,added Mike Dunleavy to GSW,760.5000000000002,-189820
2002-06-26,added Steve Logan to GSW,0.0,-189820
2002-06-26,lost Viktor Sanikidze to PHI,-0.0,-189820
2002-06-26,lost Joey Graham to PHI,-0.0,-189820
2002-06-26,added Jiří Welsch to GSW,-1778.4,-191598
2002-09-06,added Rafer Alston to GSW,0.0,-191598
2002-09-30,added Anthony Miller to GSW,0.0,-191598
2002-10-29,added Óscar Torres to GSW,119.9,-191478
2002-10-30,added Guy Rucker to GSW,22.4,-191456
2002-11-18,added A.J. Guyton to GSW,-147.6,-191604
2002-11-27,added Earl Boykins to GSW,792.6,-190811
2003-06-26,added Mickaël Piétrus to GSW,-8342.900000000001,-199154
2003-06-26,added Derrick Zimmerman to GSW,0.0,-199154
2003-07-23,added Speedy Claxton to GSW,2204.8,-196949
2003-08-18,lost Danny Fortson to DAL,2500.0,-194449
2003-08-18,lost Antawn Jamison to DAL,-4039.2,-198488
2003-08-18,lost Chris Mills to DAL,-0.0,-198488
2003-08-18,lost Jiří Welsch to DAL,-0.0,-198488
2003-08-18,added Evan Eschmeyer to GSW,0.0,-198488
2003-08-18,added Avery Johnson to GSW,-1783.6,-200272
2003-08-18,added Popeye Jones to GSW,-145.0,-200417
2003-08-18,added Antoine Rigaudeau to GSW,0.0,-200417
2003-08-18,added Nick Van Exel to GSW,-1757.0,-202174
2003-08-21,lost Bob Sura to DET,-1131.2,-203305
2003-08-21,added Clifford Robinson to GSW,-3566.6000000000004,-206872
2003-08-21,added Pepe Sánchez to GSW,0.0,-206872
2003-08-27,added Calbert Cheaney to GSW,-10708.499999999998,-217580
2003-10-01,added Brian Cardinal to GSW,5228.8,-212351
2003-10-01,added Zendon Hamilton to GSW,0.0,-212351
2003-10-01,added Juaquin Hawkins to GSW,0.0,-212351
2003-10-20,added Tierre Brown to GSW,0.0,-212351
2003-10-31,added Dan Langhi to GSW,0.0,-212351
2003-11-09,added Cherokee Parks to GSW,-147.2,-212499
2003-11-13,added Dan Langhi to GSW,-287.29999999999995,-212786
2003-11-14,added Sean Lampley to GSW,195.3,-212591
2004-03-01,added Rusty LaRue to GSW,-103.4,-212694
2004-03-11,added J.R. Bremer to GSW,-616.0,-213310
