date,Transaction,single_value,value
2020-11-19 00:00:00,added Mason Jones to HOU,0,0
2020-11-22 00:00:00,lost Robert Covington to POR,1268,1268
2020-11-22 00:00:00,added Trevor Ariza to HOU,0,1268
2020-11-22 00:00:00,added Isaiah Stewart to HOU,0,1268
2020-11-22 00:00:00,added Usman Garuba to HOU,0,1268
2020-11-24 00:00:00,lost Trevor Ariza to DET,0,1268
2020-11-24 00:00:00,lost Isaiah Stewart to DET,10562,11831
2020-11-24 00:00:00,added Christian Wood to HOU,5206,17038
2020-11-24 00:00:00,added Luka Garza to HOU,0,17038
2020-11-25 00:00:00,lost Luka Garza to SAC,0,17038
2020-11-25 00:00:00,added Kenyon Martin Jr. to HOU,0,17038
2020-11-25 00:00:00,added Sterling Brown to HOU,-1966,15071
2020-11-25 00:00:00,added Bruno Caboclo to HOU,-367,14704
2020-11-25 00:00:00,added Jae'Sean Tate to HOU,-6561,8143
2020-11-25 00:00:00,added Austin rivers to HOU,0,8143
2020-11-27 00:00:00,lost Tadija Dragicevic to NYK,0,8143
2020-11-27 00:00:00,lost Axel Hervelle to NYK,0,8143
2020-11-27 00:00:00,lost Sergio Llull to NYK,0,8143
2020-11-27 00:00:00,lost Austin Rivers to NYK,972,9115
2020-11-27 00:00:00,added Issuf Sanon to HOU,0,9115
2020-11-30 00:00:00,added Gerald Green to HOU,0,9115
2020-11-30 00:00:00,added Kenyon Martin Jr. to HOU,-5514,3601
2020-11-30 00:00:00,added Jerian Grant to HOU,0,3601
2020-11-30 00:00:00,added DeMarcus Cousins to HOU,-50,3551
2020-12-02 00:00:00,lost Russell Westbrook to WAS,-8765,-5214
2020-12-02 00:00:00,added John Wall to HOU,-901,-6115
2020-12-17 00:00:00,added William McDowell-White to HOU,0,-6115
2020-12-19 00:00:00,added Brodric Thomas to HOU,-156,-6271
2021-01-13 00:00:00,lost Jalen Pickett to IND,0,-6271
2021-01-13 00:00:00,lost James Harden to BRK,-16827,-23098
2021-01-13 00:00:00,added Rodions Kurucs to HOU,-645,-23743
2021-01-13 00:00:00,added Tari Eason to HOU,0,-23743
2021-01-13 00:00:00,added Dante Exum to HOU,0,-23743
2021-01-13 00:00:00,added MarJon Beauchamp to HOU,0,-23743
2021-01-13 00:00:00,added Victor Oladipo to HOU,-869,-24613
2021-01-22 00:00:00,added Kevin Porter Jr. to HOU,-4759,-29372
2021-02-12 00:00:00,added Ray Spalding to HOU,-271,-29644
2021-02-19 00:00:00,added Justin Patton to HOU,-543,-30187
2021-03-08 00:00:00,added Anthony Lamb to HOU,-2531,-32719
