date,Transaction,single_value,value
1998-02-09 00:00:00,added Steve Henson to DET,-265.5,-265
1998-06-24 00:00:00,added Bonzi Wells to DET,0.0,-265
1998-06-24 00:00:00,added Korleone Young to DET,141.0,-124
1999-01-22 00:00:00,lost Bonzi Wells to POR,-8106.0999999999985,-8230
1999-01-22 00:00:00,added Jumaine Jones to DET,0.0,-8230
1999-01-22 00:00:00,added Scoonie Penn to DET,0.0,-8230
1999-01-22 00:00:00,added Jud Buechler to DET,1094.3999999999996,-7136
1999-01-22 00:00:00,lost Scot Pollard to ATL,-0.0,-7136
1999-01-22 00:00:00,lost Jumaine Jones to ATL,-0.0,-7136
1999-01-22 00:00:00,added Christian Laettner to DET,-1954.4,-9090
1999-01-22 00:00:00,added Loy Vaught to DET,-3674.3,-12764
1999-01-26 00:00:00,added Charles O'Bannon to DET,-330.0,-13094
1999-01-29 00:00:00,added Mikki Moore to DET,109.19999999999982,-12985
1999-02-18 00:00:00,added Corey Beck to DET,-63.0,-13048
1999-03-14 00:00:00,added Khalid Reeves to DET,0.0,-13048
1999-04-03 00:00:00,added Khalid Reeves to DET,-649.6,-13698
1999-06-30 00:00:00,added Melvin Levett to DET,0.0,-13698
1999-08-02 00:00:00,added Michael Curry to DET,-25609.0,-39307
1999-09-20 00:00:00,added Terry Mills to DET,-552.6,-39859
1999-10-04 00:00:00,added Marcus Brown to DET,-418.50000000000006,-40278
1999-10-04 00:00:00,added Michael Hawkins to DET,0.0,-40278
1999-10-04 00:00:00,added Jermaine Jackson to DET,-649.7,-40928
1999-10-05 00:00:00,added Mikki Moore to DET,-2940.9,-43868
1999-11-13 00:00:00,added John Crotty to DET,-843.3000000000001,-44712
2001-06-27 00:00:00,,0.0,-44712
2001-06-27 00:00:00,added Vladimir Radmanović to OKC,0.0,-44712
2001-06-27 00:00:00,added Earl Watson to OKC,-8169.599999999999,-52881
2001-06-27 00:00:00,added Bobby Simmons to OKC,0.0,-52881
2001-06-27 00:00:00,lost Bobby Simmons to WAS,1096.2,-51785
2001-06-27 00:00:00,added Predrag Drobnjak to OKC,0.0,-51785
2001-07-31 00:00:00,added Calvin Booth to OKC,0.0,-51785
2001-09-05 00:00:00,added Jerome James to OKC,0.0,-51785
2001-10-01 00:00:00,added Antonio Harvey to OKC,0.0,-51785
2001-10-01 00:00:00,added Art Long to OKC,0.0,-51785
2001-10-01 00:00:00,added Eddie Elisma to OKC,0.0,-51785
2002-03-08 00:00:00,added Randy Livingston to OKC,0.0,-51785
2002-03-29 00:00:00,added Ansu Sesay to OKC,0.0,-51785
2002-06-26 00:00:00,added Peter Fehse to OKC,0.0,-51785
2002-07-22 00:00:00,lost Vin Baker to BOS,5227.400000000001,-46558
2002-07-22 00:00:00,lost Shammond Williams to BOS,1052.1,-45506
2002-07-22 00:00:00,added Kenny Anderson to OKC,0.0,-45506
2002-07-22 00:00:00,added Joseph Forte to OKC,0.0,-45506
2002-07-22 00:00:00,added Vitaly Potapenko to OKC,0.0,-45506
2002-09-30 00:00:00,added Reggie Evans to OKC,0.0,-45506
2002-09-30 00:00:00,added Jonathan Kerner to OKC,0.0,-45506
2002-09-30 00:00:00,added Eric Chenowith to OKC,0.0,-45506
2002-09-30 00:00:00,added Miles Simon to OKC,0.0,-45506
2003-02-20 00:00:00,lost Desmond Mason to MIL,10359.0,-35147
2003-02-20 00:00:00,lost Gary Payton to MIL,-1410.5,-36557
2003-02-20 00:00:00,added Ray Allen to OKC,0.0,-36557
2003-02-20 00:00:00,added Ronald Murray to OKC,0.0,-36557
2003-02-20 00:00:00,added Kevin Ollie to OKC,-631.1999999999999,-37188
2003-02-20 00:00:00,added Luke Ridnour to OKC,0.0,-37188
2003-02-20 00:00:00,lost Kenny Anderson to NOH,1471.8,-35717
2003-02-20 00:00:00,added Elden Campbell to OKC,0.0,-35717
2003-06-26 00:00:00,added Nick Collison to OKC,-9034.5,-44751
2003-06-26 00:00:00,added Luke Ridnour to OKC,0.0,-44751
2003-06-26 00:00:00,added Willie Green to OKC,0.0,-44751
2003-06-26 00:00:00,lost Willie Green to PHI,27283.3,-17468
2003-06-26 00:00:00,added Paccelis Morlende to OKC,0.0,-17468
2003-07-19 00:00:00,added Antonio Daniels to OKC,0.0,-17468
2003-09-26 00:00:00,added Galen Young to OKC,0.0,-17468
2003-09-27 00:00:00,added Richie Frahm to OKC,0.0,-17468
2003-09-27 00:00:00,added Mikki Moore to OKC,0.0,-17468
2003-09-27 00:00:00,added Jason Hart to OKC,0.0,-17468
2003-09-28 00:00:00,lost Predrag Drobnjak to LAC,2941.9,-14526
2003-09-28 00:00:00,added Andre Emmett to OKC,0.0,-14526
2004-04-07 00:00:00,added Leon Smith to OKC,0.0,-14526
