date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2016-06-23 00:00:00,added Kris Dunn to MIN,0.0,0,0.0,0.0
2016-07-07 00:00:00,added Kris Dunn to MIN,-3732.4,-3732,-0.3,-0.3
2016-07-08 00:00:00,added Brandon Rush to MIN,-2575.0,-6307,-0.1,-0.4
2016-07-13 00:00:00,added Cole Aldrich to MIN,-792.3,-7099,0.1,-0.3
2016-07-20 00:00:00,added Jordan Hill to MIN,-578.1,-7677,-0.1,-0.4
2016-08-24 00:00:00,added Toure' Murry to MIN,0.0,-7677,0.0,-0.4
2016-08-24 00:00:00,added John Lucas III to MIN,34.1,-7643,0.0,-0.4
2016-09-23 00:00:00,added Rasual Butler to MIN,0.0,-7643,0.0,-0.4
2016-10-31 00:00:00,added Gorgui Dieng to MIN,420.70000000000016,-7223,3.0,2.6
2017-02-08 00:00:00,added Lance Stephenson to MIN,-489.1,-7712,-0.1,2.5
2017-03-20 00:00:00,added Omri Casspi to MIN,-865.8,-8577,-0.1,2.4
2017-06-22 00:00:00,added Lauri Markkanen to MIN,0.0,-8577,0.0,2.4
2017-06-22 00:00:00,lost Kris Dunn to CHI,6494.2,-2083,-0.5,1.9
2017-06-22 00:00:00,lost Zach LaVine to CHI,-26801.3,-28885,-14.0,-12.1
2017-06-22 00:00:00,lost Lauri Markkanen to CHI,1503.9,-27381,-2.8,-14.9
2017-06-22 00:00:00,added Jimmy Butler to MIN,15042.1,-12339,5.0,-9.9
2017-06-22 00:00:00,added Justin Patton to MIN,0.0,-12339,0.0,-9.9
2017-06-30 00:00:00,lost Ricky Rubio to UTA,-1198.0,-13537,-2.5,-12.4
2017-06-30 00:00:00,added Josh Okogie to MIN,0.0,-13537,0.0,-12.4
2017-07-06 00:00:00,added Justin Patton to MIN,12.8,-13524,0.0,-12.4
2017-07-10 00:00:00,added Jeff Teague to MIN,-148.19999999999993,-13672,2.2,-10.2
2017-07-10 00:00:00,added Taj Gibson to MIN,-1531.6,-15204,1.8,-8.399999999999999
2017-07-19 00:00:00,added Jamal Crawford to MIN,-3801.9,-19005,-0.1,-8.499999999999998
2017-08-01 00:00:00,added Anthony Brown to MIN,122.0,-18883,0.0,-8.499999999999998
2017-08-11 00:00:00,added Marcus Georges-Hunt to MIN,-1142.4,-20026,-0.2,-8.699999999999998
2017-09-15 00:00:00,added Shabazz Muhammad to MIN,-1775.9,-21802,-0.3,-8.999999999999998
2017-09-18 00:00:00,added Melo Trimble to MIN,0.0,-21802,0.0,-8.999999999999998
2017-09-18 00:00:00,added Amile Jefferson to MIN,0.0,-21802,0.0,-8.999999999999998
2017-09-21 00:00:00,added Aaron Brooks to MIN,-718.1999999999999,-22520,-0.1,-9.099999999999998
2017-10-11 00:00:00,added Andrew Wiggins to MIN,-15360.6,-37881,-0.2999999999999999,-9.4
2017-10-13 00:00:00,added Shawne Williams to MIN,0.0,-37881,0.0,-9.4
2018-01-15 00:00:00,added Amile Jefferson to MIN,0.0,-37881,0.0,-9.4
2018-03-08 00:00:00,added Derrick Rose to MIN,-616.0,-38497,-0.1,-9.499999999999998
2018-06-21 00:00:00,added Josh Okogie to MIN,0.0,-38497,0.0,-9.499999999999998
2018-06-21 00:00:00,added Keita Bates-Diop to MIN,0.0,-38497,0.0,-9.499999999999998
2018-07-02 00:00:00,added Josh Okogie to MIN,-14502.8,-52999,-1.2000000000000002,-10.7
2018-07-04 00:00:00,added Derrick Rose to MIN,1948.8,-51051,1.2,-9.5
2018-07-05 00:00:00,added Jared Terrell to MIN,-1209.9,-52260,-0.2,-9.7
2018-07-06 00:00:00,added Keita Bates-Diop to MIN,-2291.6,-54552,0.0,-9.7
2018-07-07 00:00:00,added Anthony Tolliver to MIN,-2589.6,-57142,-0.1,-9.8
2018-07-31 00:00:00,added C.J. Williams to MIN,-473.6,-57615,-0.1,-9.9
2018-08-07 00:00:00,added James Nunnally to MIN,6.4,-57609,0.0,-9.9
2018-09-10 00:00:00,added Luol Deng to MIN,0.0,-57609,0.2,-9.7
2018-09-22 00:00:00,added Karl-Anthony Towns to MIN,52445.1,-5164,18.700000000000003,9.000000000000004
2018-09-23 00:00:00,added Darius Johnson-Odom to MIN,0.0,-5164,0.0,9.000000000000004
2018-09-23 00:00:00,added Jonathan Stark to MIN,0.0,-5164,0.0,9.000000000000004
2018-11-12 00:00:00,lost Jimmy Butler to PHI,-5654.400000000001,-10818,-2.4,6.600000000000003
2018-11-12 00:00:00,lost Justin Patton to PHI,42.0,-10776,-0.0,6.600000000000003
2018-11-12 00:00:00,added Jerryd Bayless to MIN,-3022.2,-13798,-0.4,6.200000000000003
2018-11-12 00:00:00,added Robert Covington to MIN,1678.6,-12120,1.5,7.700000000000003
2018-11-12 00:00:00,added Dario Šarić to MIN,-1301.6,-13421,0.5,8.200000000000003
2018-11-12 00:00:00,added Matteo Spagnolo to MIN,0.0,-13421,0.0,8.200000000000003
