,date,Transaction,value,Running Score
1,1995-05-25,added Vincenzo Esposito to TOR,-2679,-2679
2,1995-06-28,added Damon Stoudamire to TOR,6449,3770
3,1995-06-28,added Jimmy King to TOR,-4166,-395
4,1995-09-18,lost B.J. Armstrong to GSW,-1348,-1743
5,1995-09-18,added Victor Alexander to TOR,0,-1743
6,1995-09-18,added Martin Lewis to TOR,-1202,-2946
7,1995-09-18,added Michael McDonald to TOR,0,-2946
8,1995-09-18,added Carlos Rogers to TOR,-2262,-5209
9,1995-09-18,added Dwayne Whitfield to TOR,0,-5209
10,1995-10-05,added Alvin Robertson to TOR,-1734,-6944
11,1995-10-06,added Thomas Hamilton to TOR,0,-6944
12,1995-11-01,added Tracy Murray to TOR,-1158,-8102
13,1996-02-18,lost Victor Alexander to NYK,0,-8102
14,1996-02-18,lost Willie Anderson to NYK,1190,-6912
15,1996-02-18,added Doug Christie to TOR,11331,4419
16,1996-02-18,added Herb Williams to TOR,-201,4217
17,1996-02-22,lost Tony Massenburg to PHI,3457,7674
18,1996-02-22,lost Ed Pinckney to PHI,611,8286
19,1996-02-22,lost James Collins to PHI,0,8286
20,1996-02-22,added Sharone Wright to TOR,-9550,-1264
21,1996-02-23,added Dwayne Whitfield to TOR,-878,-2142
22,1996-04-09,added Dan O'Sullivan to TOR,-1125,-3268
23,1996-06-26,added Marcus Camby to TOR,-3392,-6661
24,1996-07-23,lost Jimmy King to DAL,0,-6661
25,1996-07-23,lost Ansu Sesay to DAL,0,-6661
26,1996-07-23,lost Gordan Giriček to DAL,0,-6661
27,1996-07-23,added Popeye Jones to TOR,-9331,-15992
28,1996-07-23,added John Thomas to TOR,-5937,-21930
29,1996-07-24,lost John Thomas to NYK,0,-21930
30,1996-07-24,added Hubert Davis to TOR,-3052,-24983
31,1996-08-29,added Walt Williams to TOR,1154,-23829
32,1996-10-03,added Donald Whiteside to TOR,-932,-24761
33,1996-10-11,added Benoit Benjamin to TOR,-237,-24999
34,1996-11-13,added Brad Lohaus to TOR,-360,-25359
35,1996-11-29,added John Long to TOR,-1665,-27024
36,1996-12-02,added Earl Cureton to TOR,-271,-27295
37,1997-01-12,added Jimmy Oliver to TOR,-378,-27673
38,1997-01-23,added Clifford Rozier to TOR,0,-27673
39,1997-01-25,added Reggie Slater to TOR,0,-27673
40,1997-02-01,added Clifford Rozier to TOR,-1171,-28845
41,1997-02-03,added Reggie Slater to TOR,-10214,-39059
42,1997-02-13,added Oliver Miller to TOR,-2614,-41674
43,1997-02-20,lost Acie Earl to MIL,167,-41506
