date,Transaction,single_value,value
1978-06-09,added Reggie Theus to CHI,4317.0,4317
1978-06-09,added Marvin Johnson to CHI,0.0,4317
1978-06-09,added Randy Ayers to CHI,0.0,4317
1978-06-09,added Ron Anthony to CHI,0.0,4317
1978-06-09,added John Shoemaker to CHI,0.0,4317
1978-06-09,added Jarvis Reynolds to CHI,0.0,4317
1978-06-09,added Chubby Cox to CHI,0.0,4317
1978-06-09,added Joe Ponsetto to CHI,0.0,4317
1978-06-09,added Mark Tucker to CHI,0.0,4317
1978-06-30,added Lars Hansen to CHI,0.0,4317
1978-10-08,lost Craig Shelton to ATL,3901.4,8218
1978-10-08,added John Brown to CHI,-3415.5,4802
1978-10-11,lost Danny Salisbury to GSW,-0.0,4802
1978-10-11,added Charles Dudley to CHI,-2462.4,2340
1978-10-25,added Ollie Johnson to CHI,-2075.1,265
1978-10-26,lost Sam Clancy to SDC,-0.0,265
1978-10-26,added Scott Lloyd to CHI,-3115.5,-2850
1979-06-01,added Del Beshore to CHI,-4431.9,-7282
1979-06-22,lost Wilbur Holland to NOJ,-0.0,-7282
1979-06-22,added Rickey Williams to CHI,0.0,-7282
1979-06-23,added Lawrence Butler to CHI,0.0,-7282
1979-06-25,added Dave Greenwood to CHI,-3865.7000000000007,-11147
1979-06-25,added Lawrence Butler to CHI,0.0,-11147
1979-06-25,added Calvin Garrett to CHI,0.0,-11147
1979-06-25,added Cedrick Hordges to CHI,0.0,-11147
1979-06-25,added George Maynor to CHI,0.0,-11147
1979-06-25,added Larry Washington to CHI,0.0,-11147
1979-06-25,added Steve Smith to CHI,0.0,-11147
1979-06-25,added Mike Eversley to CHI,0.0,-11147
1979-06-25,added Tony Warren to CHI,0.0,-11147
1979-06-25,added James Jackson to CHI,0.0,-11147
1979-06-25,added Marvin Thomas to CHI,0.0,-11147
1979-06-25,added Cortez Collins to CHI,0.0,-11147
1979-08-06,added Coby Dietrick to CHI,0.0,-11147
1979-09-10,added Roger Brown to CHI,-122.1,-11269
1979-10-12,added Sam Smith to CHI,-446.4,-11716
1979-10-19,added Dennis Awtrey to CHI,0.0,-11716
1979-12-05,added Dwight Jones to CHI,-8203.0,-19919
1980-02-13,lost Mark Landsberger to LAL,12244.0,-7675
1980-02-13,added Ollie Mack to CHI,-606.0,-8281
1980-02-13,added Sam Worthen to CHI,0.0,-8281
1980-02-13,added Gene Banks to CHI,-475.2000000000001,-8756
1980-06-09,lost Cedrick Hordges to DEN,12136.7,3380
1980-06-09,added Mike Olliver to CHI,0.0,3380
1980-06-10,added Kelvin Ransey to CHI,0.0,3380
1980-06-10,added Sam Worthen to CHI,-1795.5,1584
1980-06-10,added James Wilkes to CHI,-2459.2,-874
1980-06-10,added Ron Charles to CHI,0.0,-874
1980-06-10,added Mike Campbell to CHI,0.0,-874
1980-06-10,added Bernard Rencher to CHI,0.0,-874
1980-06-10,added Robert Byrd to CHI,0.0,-874
1980-06-10,added Modzel Greer to CHI,0.0,-874
1980-06-10,added Jay Shidler to CHI,0.0,-874
1980-06-10,added Billy Foster to CHI,0.0,-874
1980-06-10,lost Kelvin Ransey to POR,6069.7,5195
1980-06-10,lost Darnell Valentine to POR,-1364.9999999999995,3830
