date,Transaction,single_value,value
1991-09-04,added Anthony Frederick to CHA,0,0
1991-10-10,added Scott Haffner to CHA,0,0
1991-12-09,added Elliot Perry to CHA,0,0
1991-12-11,added Tony Massenburg to CHA,0,0
1991-12-30,added Ron Grandison to CHA,0,0
1992-01-01,added Ron Grandison to CHA,0,0
1992-01-10,added Michael Ansley to CHA,0,0
1992-02-15,added Cedric Hunter to CHA,0,0
1992-02-19,lost Rex Chapman to WSB,-90,-90
1992-02-19,added Tom Hammonds to CHA,0,-90
1992-06-24,added Alonzo Mourning to CHA,0,-90
1992-06-24,added Tony Bennett to CHA,0,-90
1992-08-31,added LaMark Baker to CHA,0,-90
1992-10-02,added Lorenzo Williams to CHA,0,-90
1992-11-18,added David Wingate to CHA,0,-90
1992-12-09,lost J.R. Reid to SAS,12631,12540
1992-12-09,added Sidney Green to CHA,0,12540
1992-12-09,added Scott Burrell to CHA,0,12540
1993-06-30,added Greg Graham to CHA,0,12540
1993-06-30,added Scott Burrell to CHA,0,12540
1993-09-01,lost Kendall Gill to SEA,-4228,8312
1993-09-01,lost Carlos Rogers to SEA,0,8312
1993-09-01,added Dana Barros to CHA,0,8312
1993-09-01,added Eddie Johnson to CHA,0,8312
1993-09-01,added Sharone Wright to CHA,0,8312
1993-09-03,lost Dana Barros to PHI,-18101,-9789
1993-09-03,lost Greg Graham to PHI,7004,-2784
1993-09-03,lost Sidney Green to PHI,0,-2784
1993-09-03,lost Sharone Wright to PHI,12220,9435
1993-09-03,added Hersey Hawkins to CHA,0,9435
1993-09-23,added LeRon Ellis to CHA,0,9435
1993-11-06,added Steve Henson to CHA,0,9435
1993-12-10,lost Johnny Newman to NJN,9935,19370
1993-12-10,added Rumeal Robinson to CHA,0,19370
1994-01-01,added Lorenzo Williams to CHA,0,19370
1994-02-02,added Marty Conlon to CHA,0,19370
1994-02-16,added Tim Kempton to CHA,0,19370
1994-02-24,lost Mike Gminski to MIL,766,20137
1994-02-24,lost Paul Grant to MIL,17,20154
1994-02-24,added Frank Brickowski to CHA,0,20154
1994-02-25,added Marty Conlon to CHA,0,20154
1994-06-29,added Darrin Hancock to CHA,0,20154
1994-08-02,lost Predrag Drobnjak to WSB,0,20154
1994-08-02,added Michael Adams to CHA,0,20154
1994-08-04,added Robert Parish to CHA,0,20154
1994-10-03,added James Blackwell to CHA,0,20154
1994-10-07,added Tom Tolbert to CHA,0,20154
1994-11-02,added Joe Courtney to CHA,0,20154
1994-11-03,added Joe Wolf to CHA,0,20154
1994-11-16,added Greg Sutton to CHA,0,20154
1994-11-30,added James Blackwell to CHA,0,20154
1995-06-28,,0,20154
1995-06-28,added Joe Smith to GSW,-12362,7791
1995-06-28,added Andrew DeClercq to GSW,-5457,2334
1995-06-28,added Dwayne Whitfield to GSW,0,2334
1995-06-28,added Martin Lewis to GSW,0,2334
1995-06-28,added Michael McDonald to GSW,0,2334
1995-09-18,lost Victor Alexander to TOR,0,2334
1995-09-18,lost Martin Lewis to TOR,1202,3537
1995-09-18,lost Michael McDonald to TOR,0,3537
1995-09-18,lost Carlos Rogers to TOR,2262,5800
1995-09-18,lost Dwayne Whitfield to TOR,878,6678
1995-09-18,added B.J. Armstrong to GSW,1348,8026
1995-10-04,added Jon Barry to GSW,1993,10020
1995-10-04,added Kevin Ollie to GSW,0,10020
1995-10-06,added Matt Maloney to GSW,0,10020
1995-10-18,added Jerome Kersey to GSW,-1458,8562
1996-02-22,lost Chris Gatling to MIA,586,9149
1996-02-22,lost Tim Hardaway to MIA,-54520,-45371
1996-02-22,added Bimbo Coles to GSW,-10365,-55736
1996-02-22,added Kevin Willis to GSW,-5523,-61260
1996-03-14,added Robert Churchwell to GSW,0,-61260
1996-03-25,added Geert Hammink to GSW,0,-61260
1996-04-03,added Robert Churchwell to GSW,-212,-61472
1996-04-14,added Geert Hammink to GSW,-4,-61476
1996-06-26,added Todd Fuller to GSW,-8875,-70352
1996-06-26,added Marcus Mann to GSW,0,-70352
1996-07-21,added Mark Price to GSW,2251,-68101
1996-09-30,added Ray Owes to GSW,-2841,-70942
