date,Transaction,single_value,value
2010-09-24 00:00:00,added Melvin Ely to DEN,-1171,-1171
2010-09-24 00:00:00,added Gary Forbes to DEN,-2293,-3465
2011-02-22 00:00:00,lost Carmelo Anthony to NYK,-49579,-53044
2011-02-22 00:00:00,lost Renaldo Balkman to NYK,246,-52797
2011-02-22 00:00:00,lost Chauncey Billups to NYK,-1062,-53860
2011-02-22 00:00:00,lost Anthony Carter to NYK,558,-53302
2011-02-22 00:00:00,lost Shelden Williams to NYK,297,-53005
2011-02-22 00:00:00,lost Jakob Pöltl to NYK,0,-53005
2011-02-22 00:00:00,lost Richaun Holmes to MIN,0,-53005
2011-02-22 00:00:00,added Kosta Koufos to DEN,1401,-51603
2011-02-22 00:00:00,added Wilson Chandler to DEN,-11110,-62714
2011-02-22 00:00:00,added Raymond Felton to DEN,663,-62051
2011-02-22 00:00:00,added Danilo Gallinari to DEN,21571,-40480
2011-02-22 00:00:00,added Timofey Mozgov to DEN,-6423,-46903
2011-02-22 00:00:00,added Quincy Miller to DEN,0,-46903
2011-02-22 00:00:00,added Romero Osby to DEN,0,-46903
2011-02-22 00:00:00,added Dario Šarić to DEN,0,-46903
2011-02-22 00:00:00,added Jamal Murray to DEN,5636,-41267
2011-06-23 00:00:00,added Kenneth Faried to DEN,6652,-34614
2011-06-23 00:00:00,lost Raymond Felton to POR,2859,-31755
2011-06-23 00:00:00,added Jordan Hamilton to DEN,1455,-30300
2011-06-23 00:00:00,added Andre Miller to DEN,1849,-28451
2011-06-23 00:00:00,added Devyn Marble to DEN,0,-28451
2011-06-23 00:00:00,lost Alex Oriakhi to LAL,0,-28451
2011-06-23 00:00:00,added Chukwudiebere Maduabum to DEN,0,-28451
2011-12-09 00:00:00,added Julyan Stone to DEN,480,-27970
2011-12-13 00:00:00,lost Demetrius Jackson to DAL,0,-27970
2011-12-13 00:00:00,added Corey Brewer to DEN,672,-27298
2011-12-13 00:00:00,added Rudy Fernández to DEN,497,-26801
2011-12-13 00:00:00,added DeMarre Carroll to DEN,195,-26606
2011-12-15 00:00:00,added Michael Ruffin to DEN,0,-26606
2012-03-15 00:00:00,lost Nenê to WAS,-3127,-29733
2012-03-15 00:00:00,added JaVale McGee to DEN,554,-29179
2012-03-15 00:00:00,added Ronny Turiaf to DEN,0,-29179
2012-06-28 00:00:00,added Evan Fournier to DEN,-4957,-34137
2012-06-28 00:00:00,added Quincy Miller to DEN,-3158,-37295
2012-06-28 00:00:00,added İzzet Türkyılmaz to DEN,0,-37295
2012-07-20 00:00:00,added Anthony Randolph to DEN,-1375,-38671
2012-08-10 00:00:00,lost Arron Afflalo to ORL,10883,-27787
2012-08-10 00:00:00,lost Al Harrington to ORL,535,-27252
2012-08-10 00:00:00,lost Romero Osby to ORL,0,-27252
2012-08-10 00:00:00,lost Dario Šarić to ORL,0,-27252
2012-08-10 00:00:00,added Andre Iguodala to DEN,7225,-20026
2012-10-01 00:00:00,added Ben Uzoh to DEN,0,-20026
2012-10-01 00:00:00,added Anthony Carter to DEN,0,-20026
2013-07-10 00:00:00,,0,-20026
2013-07-10 00:00:00,lost Andrea Bargnani to NYK,3754,-16272
2013-07-10 00:00:00,added Marcus Camby to TOR,0,-16272
2013-07-10 00:00:00,added Steve Novak to TOR,810,-15462
2013-07-10 00:00:00,added Quentin Richardson to TOR,0,-15462
2013-07-10 00:00:00,added Xavier Thames to TOR,0,-15462
2013-07-10 00:00:00,added Jakob Pöltl to TOR,0,-15462
2013-07-10 00:00:00,added Jonah Bolden to TOR,0,-15462
2013-07-15 00:00:00,added Tyler Hansbrough to TOR,-3233,-18695
2013-07-16 00:00:00,added Dwight Buycks to TOR,-496,-19192
2013-07-22 00:00:00,added D.J. Augustin to TOR,-746,-19938
2013-08-01 00:00:00,added Austin Daye to TOR,-339,-20278
2013-09-19 00:00:00,added Chris Wright to TOR,0,-20278
2013-09-19 00:00:00,added Julyan Stone to TOR,-348,-20626
2013-12-09 00:00:00,lost Quincy Acy to SAC,1816,-18809
2013-12-09 00:00:00,lost Rudy Gay to SAC,-11685,-30495
2013-12-09 00:00:00,lost Aaron Gray to SAC,1507,-28987
2013-12-09 00:00:00,added Chuck Hayes to TOR,-1347,-30335
2013-12-09 00:00:00,added Patrick Patterson to TOR,7583,-22751
2013-12-09 00:00:00,added John Salmons to TOR,-2305,-25057
2013-12-09 00:00:00,added Greivis Vásquez to TOR,-1859,-26916
2014-02-20 00:00:00,lost Austin Daye to SAS,1612,-25304
2014-02-20 00:00:00,added Nando De Colo to TOR,57,-25246
2014-06-26 00:00:00,added Bruno Caboclo to TOR,0,-25246
2014-06-26 00:00:00,added DeAndre Daniels to TOR,0,-25246
2014-06-26 00:00:00,added Xavier Thames to TOR,0,-25246
2014-06-27 00:00:00,lost Xavier Thames to BRK,0,-25246
2014-06-29 00:00:00,lost John Salmons to ATL,0,-25246
2014-06-29 00:00:00,added Lucas Nogueira to TOR,0,-25246
2014-06-29 00:00:00,added Lou Williams to TOR,5241,-20005
2014-07-08 00:00:00,added Bruno Caboclo to TOR,-1153,-21158
2014-07-10 00:00:00,lost Steve Novak to UTA,-261,-21420
2014-07-10 00:00:00,lost Jonah Bolden to UTA,0,-21420
2014-07-10 00:00:00,added Diante Garrett to TOR,0,-21420
2014-07-15 00:00:00,added James Johnson to TOR,2362,-19058
2014-08-03 00:00:00,added Will Cherry to TOR,0,-19058
2014-08-03 00:00:00,added Lucas Nogueira to TOR,4108,-14950
2014-08-18 00:00:00,added Jordan Hamilton to TOR,0,-14950
2014-09-04 00:00:00,added Greg Stiemsma to TOR,-396,-15346
2015-06-25 00:00:00,added Delon Wright to TOR,0,-15346
2015-06-25 00:00:00,lost Greivis Vásquez to MIL,2852,-12494
2015-06-25 00:00:00,added Norman Powell to TOR,0,-12494
2015-06-25 00:00:00,added OG Anunoby to TOR,0,-12494
2015-06-30 00:00:00,lost Tomislav Zubčić to OKC,0,-12494
2015-06-30 00:00:00,added Luke Ridnour to TOR,0,-12494
2015-07-03 00:00:00,added Delon Wright to TOR,7351,-5142
2015-07-09 00:00:00,added DeMarre Carroll to TOR,235,-4906
2015-07-09 00:00:00,added Cory Joseph to TOR,-5059,-9965
2015-07-15 00:00:00,added Luis Scola to TOR,-1799,-11765
2015-07-15 00:00:00,added Norman Powell to TOR,-901,-12666
2015-07-18 00:00:00,added Bismack Biyombo to TOR,-361,-13028
2015-07-21 00:00:00,added Ronald Roberts to TOR,0,-13028
2015-07-23 00:00:00,added Michale Kyser to TOR,0,-13028
