date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2001-09-25 00:00:00,added Kenny Satterfield to DEN,-3766.0,-3766,-0.4,-0.4,trade,Kenny Satterfield
2001-09-29 00:00:00,added Zendon Hamilton to DEN,-4409.6,-8175,-0.7,-1.1,signing,Zendon Hamilton
2001-10-01 00:00:00,added Isaiah Rider to DEN,-34.6,-8210,0.1,-1.0,signing,Isaiah Rider
2001-10-03 00:00:00,added Mengke Bateer to DEN,0.0,-8210,0.0,-1.0,signing,Mengke Bateer
2001-10-13 00:00:00,added Shawnelle Scott to DEN,-1234.8000000000002,-9445,-0.2,-1.2,signing,Shawnelle Scott
2001-10-22 00:00:00,lost Aleksandar Radojević to MIL,-0.0,-9445,-0.0,-1.2,trade,Aleksandar Radojević
2001-10-22 00:00:00,lost Kevin Willis to MIL,-0.0,-9445,-0.0,-1.2,trade,Kevin Willis
2001-10-22 00:00:00,added Scott Williams to DEN,-4053.5,-13498,-0.7,-1.9,trade,Scott Williams
2001-10-22 00:00:00,added Josh Smith to DEN,0.0,-13498,0.0,-1.9,trade,Josh Smith
2001-11-21 00:00:00,added Chris Andersen to DEN,7388.400000000001,-6110,5.0,3.1,signing,Chris Andersen
2002-02-21 00:00:00,lost Tariq Abdul-Wahad to DAL,436.8,-5673,-0.0,3.1,trade,Tariq Abdul-Wahad
2002-02-21 00:00:00,lost Avery Johnson to DAL,1984.0,-3689,0.2,3.3000000000000003,trade,Avery Johnson
2002-02-21 00:00:00,lost Raef LaFrentz to DAL,-1438.8,-5128,-1.6,1.7000000000000002,trade,Raef LaFrentz
2002-02-21 00:00:00,lost Nick Van Exel to DAL,-935.1,-6063,-1.6,0.1,trade,Nick Van Exel
2002-02-21 00:00:00,added Tim Hardaway to DEN,-32.5,-6095,0.2,0.3000000000000001,trade,Tim Hardaway
2002-02-21 00:00:00,added Donnell Harvey to DEN,-4957.6,-11053,0.0,0.3000000000000001,trade,Donnell Harvey
2002-02-21 00:00:00,added Juwan Howard to DEN,2446.0000000000005,-8607,2.5,2.8000000000000003,trade,Juwan Howard
2002-02-21 00:00:00,added Frank Williams to DEN,0.0,-8607,0.0,2.8000000000000003,trade,Frank Williams
2002-02-26 00:00:00,added Mengke Bateer to DEN,-3019.2000000000003,-11626,-0.6,2.2,signing,Mengke Bateer
2002-03-07 00:00:00,added Carlos Arroyo to DEN,-770.0,-12396,-0.1,2.1,signing,Carlos Arroyo
2002-06-26 00:00:00,added Nikoloz Tskitishvili to DEN,-10566.0,-22962,-1.8,0.3,draft,Nikoloz Tskitishvili
2002-06-26 00:00:00,added Frank Williams to DEN,0.0,-22962,0.0,0.3,draft,Frank Williams
2002-06-26 00:00:00,added Vincent Yarbrough to DEN,-3314.4,-26276,-0.1,0.2,draft,Vincent Yarbrough
2002-06-26 00:00:00,lost Antonio McDyess to NYK,715.6999999999999,-25561,-0.0,0.2,trade,Antonio McDyess
2002-06-26 00:00:00,lost Frank Williams to NYK,2755.3,-22805,0.3,0.5,trade,Frank Williams
2002-06-26 00:00:00,lost Maciej Lampe to NYK,-0.0,-22805,-0.0,0.5,trade,Maciej Lampe
2002-06-26 00:00:00,added Marcus Camby to DEN,39032.1,16226,15.9,16.4,trade,Marcus Camby
2002-06-26 00:00:00,added Nenê to DEN,22094.1,38320,14.000000000000002,30.4,trade,Nenê
2002-06-26 00:00:00,added Mark Jackson to DEN,0.0,38320,0.0,30.4,trade,Mark Jackson
2002-07-18 00:00:00,added Predrag Savović to DEN,-1356.8,36963,-0.2,30.2,signing,Predrag Savović
2002-07-18 00:00:00,added Junior Harrington to DEN,-10215.3,26748,-1.6,28.6,signing,Junior Harrington
2002-08-01 00:00:00,lost Sergei Lishouk to ORL,-0.0,26748,-0.0,28.6,trade,Sergei Lishouk
2002-08-01 00:00:00,added Don Reid to DEN,0.0,26748,0.0,28.6,trade,Don Reid
2002-08-01 00:00:00,added Marcus Williams to DEN,0.0,26748,0.0,28.6,trade,Marcus Williams
2002-08-08 00:00:00,added Mark Blount to DEN,-3274.5,23473,-0.4,28.2,signing,Mark Blount
2002-08-27 00:00:00,added Darrick Martin to DEN,0.0,23473,0.0,28.2,signing,Darrick Martin
2002-10-01 00:00:00,lost Mengke Bateer to DET,-0.0,23473,-0.0,28.2,trade,Mengke Bateer
2002-10-01 00:00:00,lost Don Reid to DET,275.0,23748,0.1,28.3,trade,Don Reid
2002-10-01 00:00:00,lost Josh Smith to DET,840.0,24588,-1.6,26.7,trade,Josh Smith
2002-10-01 00:00:00,added Rodney White to DEN,-5600.700000000001,18987,0.1,26.8,trade,Rodney White
2002-10-24 00:00:00,lost George McCloud to WAS,-0.0,18987,-0.0,26.8,trade,George McCloud
2002-10-24 00:00:00,added Chris Whitney to DEN,-2667.0,16320,-0.3,26.5,trade,Chris Whitney
2002-12-18 00:00:00,lost James Posey to HOU,-1316.8000000000002,15004,-1.2,25.3,multitrade,James Posey
2002-12-18 00:00:00,added Vassilis Spanoulis to DEN,0.0,15004,0.0,25.3,multitrade,Vassilis Spanoulis
2002-12-18 00:00:00,added Mark Bryant to DEN,-211.4,14792,0.0,25.3,multitrade,Mark Bryant
2002-12-18 00:00:00,added Art Long to DEN,0.0,14792,0.0,25.3,multitrade,Art Long
2002-12-18 00:00:00,added Joey Graham to DEN,-2277.0,12515,-0.2,25.1,multitrade,Joey Graham
2002-12-22 00:00:00,added John Crotty to DEN,0.0,12515,0.0,25.1,signing,John Crotty
2003-01-08 00:00:00,added John Crotty to DEN,-1008.0,11507,-0.2,24.9,signing,John Crotty
2003-02-20 00:00:00,lost Mark Blount to BOS,10613.5,22121,-0.4,24.500000000000004,trade,Mark Blount
2003-02-20 00:00:00,lost Mark Bryant to BOS,86.39999999999999,22207,-0.0,24.500000000000004,trade,Mark Bryant
2003-02-20 00:00:00,added Shammond Williams to DEN,-1352.8,20854,0.0,24.500000000000004,trade,Shammond Williams
2003-02-20 00:00:00,added Sani Bečirovič to DEN,0.0,20854,0.0,24.500000000000004,trade,Sani Bečirovič
2003-03-23 00:00:00,added Jeff Trepagnier to DEN,-669.1000000000001,20185,-0.1,24.4,signing,Jeff Trepagnier
2003-03-23 00:00:00,added Adam Harrington to DEN,-170.2,20015,0.0,24.4,signing,Adam Harrington
2003-04-04 00:00:00,added Devin Brown to DEN,-468.6,19547,-0.1,24.3,signing,Devin Brown
2003-06-23 00:00:00,lost Vassilis Spanoulis to DAL,-0.0,19547,-0.0,24.3,trade,Vassilis Spanoulis
2003-06-23 00:00:00,added Xue Yuyang to DEN,0.0,19547,0.0,24.3,trade,Xue Yuyang
2003-06-26 00:00:00,added Carmelo Anthony to DEN,24003.9,43550,16.5,40.8,draft,Carmelo Anthony
2003-06-26 00:00:00,added Sani Bečirovič to DEN,0.0,43550,0.0,40.8,draft,Sani Bečirovič
2003-08-01 00:00:00,added Andre Miller to DEN,12388.6,55939,10.3,51.1,signing,Andre Miller
2003-08-18 00:00:00,added Earl Boykins to DEN,5185.2,61124,4.5,55.6,signing,Earl Boykins
2003-08-19 00:00:00,added Jon Barry to DEN,2202.0,63326,1.1,56.7,signing,Jon Barry
2003-09-12 00:00:00,added Voshon Lenard to DEN,-3533.0,59793,0.3,56.99999999999999,signing,Voshon Lenard
2003-09-20 00:00:00,added Mark Pope to DEN,-440.3,59353,-0.1,56.89999999999999,signing,Mark Pope
