date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2014-06-26 00:00:00,added Spencer Dinwiddie to DET,0.0,0,0.0,0.0
2014-07-14 00:00:00,added Jodie Meeks to DET,-855.7,-855,0.5,0.5
2014-07-22 00:00:00,added Spencer Dinwiddie to DET,-2100.8,-2956,-0.2,0.3
2014-08-18 00:00:00,added Cartier Martin to DET,-1425.6,-4382,-0.3,0.0
2014-08-18 00:00:00,added Aaron Gray to DET,0.0,-4382,0.0,0.0
2014-09-25 00:00:00,added Brian Cook to DET,0.0,-4382,0.0,0.0
2014-09-25 00:00:00,added Josh Bostic to DET,0.0,-4382,0.0,0.0
2014-09-25 00:00:00,added Hasheem Thabeet to DET,0.0,-4382,0.0,0.0
2014-09-25 00:00:00,added Lorenzo Brown to DET,0.0,-4382,0.0,0.0
2014-10-17 00:00:00,lost Will Bynum to BOS,-0.0,-4382,-0.0,0.0
2014-10-17 00:00:00,added Joel Anthony to DET,81.2,-4300,0.2,0.2
2014-12-24 00:00:00,lost Tony Mitchell to PHO,-0.0,-4300,-0.0,0.2
2014-12-24 00:00:00,added Anthony Tolliver to DET,-739.6,-5040,1.1000000000000003,1.3000000000000005
2015-02-02 00:00:00,added John Lucas III to DET,0.0,-5040,0.0,1.3000000000000005
2015-02-19 00:00:00,lost Thomas Bryant to UTA,-0.0,-5040,-0.0,1.3000000000000005
2015-02-19 00:00:00,lost D.J. Augustin to OKC,2802.7,-2237,0.2,1.5000000000000002
2015-02-19 00:00:00,lost Kyle Singler to OKC,6636.400000000001,4398,0.7000000000000001,2.2
2015-02-19 00:00:00,lost Isaiah Roby to OKC,4303.099999999999,8701,-0.0999999999999999,2.1
2015-02-19 00:00:00,added Reggie Jackson to DET,1652.999999999999,10354,0.9000000000000004,3.0000000000000004
2015-02-19 00:00:00,lost Gigi Datome to BOS,-249.6,10105,-0.2,2.8000000000000003
2015-02-19 00:00:00,lost Jonas Jerebko to BOS,4992.599999999999,15097,-0.3,2.5
2015-02-19 00:00:00,added Tayshaun Prince to DET,-685.1999999999999,14412,0.1,2.6
2015-02-21 00:00:00,added Quincy Miller to DET,0.0,14412,0.0,2.6
2015-02-25 00:00:00,added John Lucas III to DET,-598.4000000000001,13814,0.0,2.6
2015-03-12 00:00:00,added Quincy Miller to DET,-446.6,13367,-0.1,2.5
2015-06-11 00:00:00,lost Caron Butler to MIL,-0.0,13367,-0.0,2.5
2015-06-11 00:00:00,lost Shawne Williams to MIL,-0.0,13367,-0.0,2.5
2015-06-11 00:00:00,added Ersan İlyasova to DET,717.0,14084,0.9,3.4
2015-06-25 00:00:00,added Stanley Johnson to DET,0.0,14084,0.0,3.4
2015-06-25 00:00:00,added Darrun Hilliard to DET,0.0,14084,0.0,3.4
2015-07-09 00:00:00,lost Xavier Tillman Sr. to PHO,-0.0,14084,-0.0,3.4
2015-07-09 00:00:00,added Reggie Bullock to DET,483.3,14567,0.5999999999999999,4.0
2015-07-09 00:00:00,added Danny Granger to DET,0.0,14567,0.0,4.0
2015-07-09 00:00:00,added Marcus Morris to DET,-3392.7000000000007,11175,1.9,5.9
2015-07-12 00:00:00,added Aron Baynes to DET,-3386.7000000000003,7788,0.3999999999999999,6.300000000000001
2015-07-13 00:00:00,lost Quincy Miller to BRK,-0.0,7788,-0.0,6.300000000000001
2015-07-13 00:00:00,added Steve Blake to DET,-2366.4,5421,-0.1,6.200000000000001
2015-07-20 00:00:00,added Joel Anthony to DET,38.400000000000006,5460,0.1,6.300000000000001
2015-07-20 00:00:00,added Reggie Jackson to DET,5365.500000000001,10825,5.199999999999999,11.5
2015-07-20 00:00:00,added Darrun Hilliard to DET,-3243.5,7582,-0.4,11.1
2015-07-22 00:00:00,added Stanley Johnson to DET,-16710.299999999996,-9127,-1.1,10.0
2015-07-23 00:00:00,added Adonis Thomas to DET,0.0,-9127,0.0,10.0
2015-09-11 00:00:00,added Eric Griffin to DET,0.0,-9127,0.0,10.0
2015-09-23 00:00:00,added Jordan Bachynski to DET,0.0,-9127,0.0,10.0
2015-10-23 00:00:00,added Ryan Boatright to DET,0.0,-9127,0.0,10.0
2016-02-16 00:00:00,lost Ersan İlyasova to ORL,1072.8,-8055,-0.0,10.0
2016-02-16 00:00:00,lost Brandon Jennings to ORL,361.6,-7693,-0.1,9.9
2016-02-16 00:00:00,added Tobias Harris to DET,9563.6,1870,6.1,16.0
2016-02-24 00:00:00,added Justin Harper to DET,-147.0,1723,0.0,16.0
2016-03-18 00:00:00,added Lorenzo Brown to DET,0.0,1723,0.0,16.0
2016-04-13 00:00:00,added Lorenzo Brown to DET,0.0,1723,0.0,16.0
2016-06-17 00:00:00,lost Spencer Dinwiddie to CHI,-0.0,1723,-0.0,16.0
2016-06-17 00:00:00,added Cameron Bairstow to DET,0.0,1723,0.0,16.0
2016-06-23 00:00:00,added Henry Ellenson to DET,0.0,1723,0.0,16.0
2016-06-23 00:00:00,added Michael Gbinije to DET,0.0,1723,0.0,16.0
2016-06-29 00:00:00,lost Jodie Meeks to ORL,1328.4,3051,-0.1,15.9
2016-06-29 00:00:00,added Jaylen Hands to DET,0.0,3051,0.0,15.9
2016-07-08 00:00:00,added Jon Leuer to DET,-1825.0,1226,0.9,16.8
2016-07-08 00:00:00,added Ish Smith to DET,-1915.5,-689,2.1,18.9
2016-07-12 00:00:00,added Boban Marjanović to DET,1748.3,1059,0.7,19.6
2016-07-14 00:00:00,added Michael Gbinije to DET,-387.2,672,-0.1,19.5
2016-07-15 00:00:00,added Andre Drummond to DET,18187.1,18859,9.2,28.700000000000003
2016-07-19 00:00:00,added Henry Ellenson to DET,-2254.0,16605,-0.3,28.4
2016-07-27 00:00:00,added Ray McCallum to DET,0.0,16605,0.0,28.4
2016-09-16 00:00:00,added Nikola Jovanović to DET,0.0,16605,0.0,28.4
2016-09-16 00:00:00,added Trey Freeman to DET,0.0,16605,0.0,28.4
2016-10-22 00:00:00,added Mamadou N'Diaye to DET,0.0,16605,0.0,28.4
2017-06-22 00:00:00,added Luke Kennard to DET,0.0,16605,0.0,28.4
2017-06-28 00:00:00,lost Darrun Hilliard to HOU,-0.0,16605,-0.0,28.4
2017-07-01 00:00:00,added Luke Kennard to DET,-3027.7000000000003,13577,1.2000000000000002,29.6
2017-07-06 00:00:00,added Langston Galloway to DET,-3892.8,9684,1.2,30.8
2017-07-06 00:00:00,added Eric Moreland to DET,402.5,10087,0.5,31.3
2017-07-07 00:00:00,lost Marcus Morris to BOS,2026.1,12113,-1.2999999999999998,30.0
2017-07-07 00:00:00,added Avery Bradley to DET,-4945.2,7168,-0.6,29.4
2017-07-07 00:00:00,added Isaiah Roby to DET,0.0,7168,0.0,29.4
2017-07-14 00:00:00,added Reggie Bullock to DET,399.3999999999999,7567,1.7,31.1
