date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1984-10-16 00:00:00,lost Gerald Henderson to SEA,-2404.5,-2404,-3.2,-3.2
1984-10-16 00:00:00,added Len Bias to BOS,0.0,-2404,0.0,-3.2
1985-02-21 00:00:00,added Ray Williams to BOS,-734.4000000000001,-3138,0.1,-3.1
1985-05-01 00:00:00,lost Terry Porter to DAL,-0.0,-3138,-0.0,-3.1
1985-05-01 00:00:00,lost Jose Vargas to DAL,-0.0,-3138,-0.0,-3.1
1985-05-01 00:00:00,added Sam Vincent to BOS,0.0,-3138,0.0,-3.1
1985-06-18 00:00:00,added Sam Vincent to BOS,-2971.2,-6110,-0.3,-3.4
1985-06-18 00:00:00,added Andre Battle to BOS,0.0,-6110,0.0,-3.4
1985-06-18 00:00:00,added Cliff Webber to BOS,0.0,-6110,0.0,-3.4
1985-06-18 00:00:00,added Albert Butts to BOS,0.0,-6110,0.0,-3.4
1985-06-18 00:00:00,added Ralph Lewis to BOS,0.0,-6110,0.0,-3.4
1985-06-18 00:00:00,added Chris Remley to BOS,0.0,-6110,0.0,-3.4
1985-09-03 00:00:00,lost Quinn Buckner to IND,670.4000000000001,-5439,-0.0,-3.4
1985-09-03 00:00:00,added Reggie Cross to BOS,0.0,-5439,0.0,-3.4
1985-09-06 00:00:00,lost Cedric Maxwell to LAC,1022.0,-4417,-1.6,-5.0
1985-09-06 00:00:00,lost Arvydas Sabonis to LAC,-0.0,-4417,-0.0,-5.0
1985-09-06 00:00:00,added Bill Walton to BOS,4178.8,-238,1.9,-3.1
1985-09-12 00:00:00,added David Thirdkill to BOS,-2184.3,-2423,-0.3,-3.4
1985-09-26 00:00:00,added Sly Williams to BOS,-664.2,-3087,-0.1,-3.5
1985-10-03 00:00:00,lost Reggie Cross to IND,-0.0,-3087,-0.0,-3.5
1985-10-03 00:00:00,lost Kenny Williams to IND,-187.0,-3274,-1.4,-4.9
1985-10-03 00:00:00,added Jerry Sichting to BOS,-4262.599999999999,-7537,0.7,-4.2
1986-06-17 00:00:00,added Len Bias to BOS,0.0,-7537,0.0,-4.2
1986-06-17 00:00:00,added Tony Benford to BOS,0.0,-7537,0.0,-4.2
1986-06-17 00:00:00,added Dave Colbert to BOS,0.0,-7537,0.0,-4.2
1986-06-17 00:00:00,added Greg Wendt to BOS,0.0,-7537,0.0,-4.2
1986-06-17 00:00:00,added Tom Ivey to BOS,0.0,-7537,0.0,-4.2
1986-09-25 00:00:00,lost Billy Donovan to UTA,-0.0,-7537,-0.0,-4.2
1986-09-25 00:00:00,added Fred Roberts to BOS,-5934.299999999999,-13471,-0.5,-4.7
1986-11-06 00:00:00,added Andre Turner to BOS,-324.0,-13795,-0.1,-4.8
1986-12-11 00:00:00,added Darren Daye to BOS,-2506.4,-16301,0.0,-4.8
1987-01-01 00:00:00,added Conner Henry to BOS,0.0,-16301,0.0,-4.8
1987-01-22 00:00:00,added Conner Henry to BOS,-1682.1,-17983,-0.2,-5.0
1987-05-07 00:00:00,added Mark Acres to BOS,-3222.8,-21206,-0.2,-5.2
1987-06-22 00:00:00,added Reggie Lewis to BOS,19976.2,-1230,12.4,7.2
