date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1994-09-03 00:00:00,added Steve Scheffler to OKC,0.0,0,0.0,0.0
1994-09-09 00:00:00,added Bill Cartwright to OKC,0.0,0,0.0,0.0
1994-10-03 00:00:00,added Carl Thomas to OKC,0.0,0,0.0,0.0
1995-06-27 00:00:00,lost Kendall Gill to CHH,-1644.5,-1644,-1.1,-1.1
1995-06-27 00:00:00,added Hersey Hawkins to OKC,0.0,-1644,0.0,-1.1
1995-06-27 00:00:00,added David Wingate to OKC,0.0,-1644,0.0,-1.1
1995-06-28 00:00:00,added Sherell Ford to OKC,0.0,-1644,0.0,-1.1
1995-06-28 00:00:00,added Eurelijus Žukauskas to OKC,0.0,-1644,0.0,-1.1
1995-06-28 00:00:00,lost Eurelijus Žukauskas to MIL,-0.0,-1644,-0.0,-1.1
1995-06-28 00:00:00,lost Jeff Nordgaard to MIL,177.60000000000002,-1466,-0.0,-1.1
1995-06-28 00:00:00,added Eric Snow to OKC,0.0,-1466,0.0,-1.1
1995-09-18 00:00:00,lost Byron Houston to SAC,772.8,-694,0.1,-1.0
1995-09-18 00:00:00,lost Šarūnas Marčiulionis to SAC,-1350.7,-2044,-0.9,-1.9
1995-09-18 00:00:00,added Frank Brickowski to OKC,0.0,-2044,0.0,-1.9
1995-10-05 00:00:00,added Steve Scheffler to OKC,0.0,-2044,0.0,-1.9
1995-10-25 00:00:00,added Trevor Wilson to OKC,0.0,-2044,0.0,-1.9
1996-06-25 00:00:00,lost Priest Lauderdale to ATL,1602.0,-442,0.3,-1.6
1996-06-25 00:00:00,added Ron Riley to OKC,0.0,-442,0.0,-1.6
1996-06-25 00:00:00,added Joe Vogel to OKC,0.0,-442,0.0,-1.6
1996-06-26 00:00:00,added Joseph Blair to OKC,0.0,-442,0.0,-1.6
1996-06-26 00:00:00,added Joe Vogel to OKC,0.0,-442,0.0,-1.6
1996-06-26 00:00:00,added Ron Riley to OKC,0.0,-442,0.0,-1.6
1996-06-26 00:00:00,added Drew Barry to OKC,0.0,-442,0.0,-1.6
1996-06-28 00:00:00,lost Ron Riley to DET,-0.0,-442,-0.0,-1.6
1996-06-28 00:00:00,added Eddie Elisma to OKC,0.0,-442,0.0,-1.6
1996-07-16 00:00:00,lost Vincent Askew to NJN,63.7,-379,-0.0,-1.6
1996-07-16 00:00:00,added Greg Graham to OKC,0.0,-379,0.0,-1.6
1996-07-21 00:00:00,added Steve Scheffler to OKC,0.0,-379,0.0,-1.6
1996-07-22 00:00:00,added Jim McIlvaine to OKC,0.0,-379,0.0,-1.6
1996-07-23 00:00:00,added Craig Ehlo to OKC,0.0,-379,0.0,-1.6
1996-09-30 00:00:00,added Larry Stewart to OKC,0.0,-379,0.0,-1.6
1996-10-02 00:00:00,added Derrick Alston to OKC,0.0,-379,0.0,-1.6
1996-10-26 00:00:00,added Anthony Miller to OKC,0.0,-379,0.0,-1.6
1996-10-26 00:00:00,added Elmore Spencer to OKC,0.0,-379,0.0,-1.6
1996-11-15 00:00:00,added Antonio Harvey to OKC,0.0,-379,0.0,-1.6
1997-01-13 00:00:00,added Terry Cummings to OKC,0.0,-379,0.0,-1.6
1997-06-25 00:00:00,added Bobby Jackson to OKC,0.0,-379,0.0,-1.6
1997-06-25 00:00:00,added Eddie Elisma to OKC,0.0,-379,0.0,-1.6
1997-06-25 00:00:00,added Mark Blount to OKC,0.0,-379,0.0,-1.6
1997-06-25 00:00:00,lost Bobby Jackson to DEN,5309.2,4930,0.3,-1.2999999999999998
1997-06-25 00:00:00,added James Cotton to OKC,0.0,4930,0.0,-1.2999999999999998
1997-06-25 00:00:00,added Rashard Lewis to OKC,0.0,4930,0.0,-1.2999999999999998
1997-07-30 00:00:00,added Stephen Howard to OKC,0.0,4930,0.0,-1.2999999999999998
1997-08-11 00:00:00,added Aaron Williams to OKC,0.0,4930,0.0,-1.2999999999999998
1997-09-24 00:00:00,added Jerome Kersey to OKC,0.0,4930,0.0,-1.2999999999999998
1997-09-25 00:00:00,lost Shawn Kemp to CLE,-2623.2,2306,-4.1,-5.4
1997-09-25 00:00:00,added Vin Baker to SEA,-25403.6,-23096,-0.8999999999999997,-6.299999999999999
1997-10-02 00:00:00,added Ed Stokes to OKC,0.0,-23096,0.0,-6.299999999999999
1997-10-02 00:00:00,lost Greg Graham to DEN,-0.0,-23096,-0.0,-6.299999999999999
1997-10-02 00:00:00,lost Steve Scheffler to DEN,-0.0,-23096,-0.0,-6.299999999999999
1997-10-02 00:00:00,lost Ryan Bowen to DEN,227.60000000000025,-22869,-2.3000000000000003,-8.6
1997-10-02 00:00:00,lost Francisco Elson to DEN,7396.3,-15472,0.2,-8.4
1997-10-02 00:00:00,added Dale Ellis to OKC,0.0,-15472,0.0,-8.4
1997-10-09 00:00:00,added Greg Anthony to OKC,0.0,-15472,0.0,-8.4
1998-01-18 00:00:00,lost Eric Snow to PHI,544.5,-14928,-7.6,-16.0
1998-01-18 00:00:00,added Jelani McCoy to OKC,0.0,-14928,0.0,-16.0
1998-03-09 00:00:00,added George Zídek to OKC,0.0,-14928,0.0,-16.0
1998-06-24 00:00:00,added Vladimir Stepania to OKC,0.0,-14928,0.0,-16.0
1998-06-24 00:00:00,added Rashard Lewis to OKC,0.0,-14928,0.0,-16.0
1998-06-24 00:00:00,added Jelani McCoy to OKC,0.0,-14928,0.0,-16.0
1999-01-21 00:00:00,added Drew Barry to OKC,0.0,-14928,0.0,-16.0
1999-01-21 00:00:00,lost Jim McIlvaine to NJN,4114.900000000001,-10813,0.2,-15.8
1999-01-21 00:00:00,added Michael Cage to OKC,0.0,-10813,0.0,-15.8
1999-01-21 00:00:00,added Don MacLean to OKC,0.0,-10813,0.0,-15.8
1999-01-21 00:00:00,added Moochie Norris to OKC,0.0,-10813,0.0,-15.8
1999-01-21 00:00:00,added Olden Polynice to OKC,0.0,-10813,0.0,-15.8
1999-01-21 00:00:00,added Fred Vinson to OKC,0.0,-10813,0.0,-15.8
1999-01-22 00:00:00,added Billy Owens to OKC,0.0,-10813,0.0,-15.8
1999-03-23 00:00:00,added John Crotty to OKC,0.0,-10813,0.0,-15.8
1999-06-30 00:00:00,added Corey Maggette to OKC,0.0,-10813,0.0,-15.8
1999-06-30 00:00:00,lost Dale Ellis to ORL,-0.0,-10813,-0.0,-15.8
1999-06-30 00:00:00,lost Don MacLean to ORL,-0.0,-10813,-0.0,-15.8
1999-06-30 00:00:00,lost Corey Maggette to ORL,3425.0,-7388,0.2,-15.6
1999-06-30 00:00:00,lost Billy Owens to ORL,-0.0,-7388,-0.0,-15.6
1999-06-30 00:00:00,added Horace Grant to OKC,0.0,-7388,0.0,-15.6
1999-06-30 00:00:00,added Olumide Oyedeji to OKC,0.0,-7388,0.0,-15.6
1999-06-30 00:00:00,added Bobby Simmons to OKC,0.0,-7388,0.0,-15.6
1999-08-09 00:00:00,added Vernon Maxwell to OKC,0.0,-7388,0.0,-15.6
1999-08-10 00:00:00,added Ruben Patterson to OKC,0.0,-7388,0.0,-15.6
1999-08-12 00:00:00,lost James Cotton to CHI,-0.0,-7388,-0.0,-15.6
1999-08-12 00:00:00,lost Hersey Hawkins to CHI,2108.6,-5279,-0.3,-15.900000000000002
1999-08-12 00:00:00,added Brent Barry to OKC,0.0,-5279,0.0,-15.900000000000002
1999-08-12 00:00:00,added Shammond Williams to OKC,0.0,-5279,0.0,-15.900000000000002
1999-08-17 00:00:00,added Greg Foster to OKC,0.0,-5279,0.0,-15.900000000000002
1999-08-19 00:00:00,added Fred Vinson to OKC,0.0,-5279,0.0,-15.900000000000002
1999-08-20 00:00:00,added Emanual Davis to OKC,0.0,-5279,0.0,-15.900000000000002
1999-09-17 00:00:00,added Lazaro Borrell to OKC,0.0,-5279,0.0,-15.900000000000002
1999-10-04 00:00:00,added Chuck Person to OKC,0.0,-5279,0.0,-15.900000000000002
1999-10-04 00:00:00,added Steve Scheffler to OKC,0.0,-5279,0.0,-15.900000000000002
2000-06-28 00:00:00,added Desmond Mason to OKC,-5426.4,-10706,-0.8,-16.700000000000003
2000-06-28 00:00:00,added Olumide Oyedeji to OKC,0.0,-10706,0.0,-16.700000000000003
2000-06-28 00:00:00,added Josip Sesar to OKC,0.0,-10706,0.0,-16.700000000000003
2000-06-28 00:00:00,lost Josip Sesar to BOS,-0.0,-10706,-0.0,-16.700000000000003
2000-06-28 00:00:00,added Earl Watson to OKC,-8169.599999999999,-18875,-1.2,-17.900000000000002
2000-06-28 00:00:00,added Michael Wright to OKC,0.0,-18875,0.0,-17.900000000000002
2000-09-07 00:00:00,added Rubén Wolkowyski to OKC,0.0,-18875,0.0,-17.900000000000002
2000-09-20 00:00:00,lost Lazaro Borrell to NYK,-0.0,-18875,-0.0,-17.900000000000002
2000-09-20 00:00:00,lost Vernon Maxwell to NYK,-0.0,-18875,-0.0,-17.900000000000002
2000-09-20 00:00:00,lost Vladimir Stepania to NYK,-0.0,-18875,-0.0,-17.900000000000002
2000-09-20 00:00:00,lost Eric Chenowith to NYK,-0.0,-18875,-0.0,-17.900000000000002
2000-09-20 00:00:00,lost Michael Wright to NYK,-0.0,-18875,-0.0,-17.900000000000002
