date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2006-10-02 00:00:00,added Anthony Carter to DEN,0.0,0,0.0,0.0
2006-12-19 00:00:00,lost Andre Miller to PHI,-12785.6,-12785,-7.3,-7.3
2006-12-19 00:00:00,lost Joe Smith to PHI,2845.5,-9940,-0.0,-7.3
2006-12-19 00:00:00,lost Daequan Cook to PHI,-0.0,-9940,-0.0,-7.3
2006-12-19 00:00:00,lost Petteri Koponen to PHI,-0.0,-9940,-0.0,-7.3
2006-12-19 00:00:00,added Allen Iverson to DEN,11614.8,1674,5.8,-1.5
2006-12-19 00:00:00,added Ivan McFarlin to DEN,0.0,1674,0.0,-1.5
2007-01-11 00:00:00,lost Earl Boykins to MIL,-1260.9999999999998,413,-1.4,-2.9
2007-01-11 00:00:00,lost Julius Hodge to MIL,92.4,506,-0.0,-2.9
2007-01-11 00:00:00,added Steve Blake to DEN,-1970.4,-1464,0.3,-2.6
2007-04-12 00:00:00,added Anthony Carter to DEN,-4053.6,-5517,1.4,-1.2000000000000002
2007-04-12 00:00:00,added Von Wafer to DEN,-1260.0,-6777,-0.3,-1.5000000000000002
2007-07-16 00:00:00,added Chucky Atkins to DEN,-1470.0,-8247,-0.1,-1.6000000000000003
2007-09-10 00:00:00,lost Reggie Evans to PHI,10412.4,2164,1.1,-0.5000000000000002
2007-09-10 00:00:00,lost Ricky Sánchez to PHI,-0.0,2164,-0.0,-0.5000000000000002
2007-09-10 00:00:00,added Steven Hunter to DEN,-900.0,1264,-0.2,-0.7000000000000002
2007-09-10 00:00:00,added Bobby Jones to DEN,0.0,1264,0.0,-0.7000000000000002
2007-10-01 00:00:00,added Jelani McCoy to DEN,0.0,1264,0.0,-0.7000000000000002
2007-10-19 00:00:00,added Mike Wilks to DEN,0.0,1264,0.0,-0.7000000000000002
2007-10-27 00:00:00,added Mike Wilks to DEN,-414.8,849,0.0,-0.7000000000000002
2007-11-29 00:00:00,added Jelani McCoy to DEN,0.0,849,0.0,-0.7000000000000002
2007-12-21 00:00:00,added Jelani McCoy to DEN,-201.3,648,0.0,-0.7000000000000002
2008-02-21 00:00:00,lost Von Wafer to POR,320.0,968,-0.0,-0.7000000000000002
2008-02-21 00:00:00,added Taurean Green to DEN,-213.0,755,0.0,-0.7000000000000002
2008-04-11 00:00:00,added Bobby Jones to DEN,-1043.4,-287,-0.2,-0.9000000000000001
2008-06-25 00:00:00,lost Alexis Ajinça to CHA,1524.0,1236,0.3,-0.6000000000000001
2008-06-25 00:00:00,added Luke Babbitt to DEN,0.0,1236,0.0,-0.6000000000000001
2008-06-28 00:00:00,lost Patty Mills to POR,1562.1,2798,-0.0,-0.6000000000000001
2008-06-28 00:00:00,added Sonny Weems to DEN,-1039.5,1758,-0.2,-0.8
2008-07-15 00:00:00,lost Marcus Camby to LAC,-9821.0,-8062,-4.2,-5.0
2008-07-15 00:00:00,lost Willie Warren to LAC,361.8,-7700,-0.0,-5.0
