date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2004-04-02 00:00:00,added Derrick Dial to ORL,-129.0,-129,0.0,0.0
2004-06-24 00:00:00,added Dwight Howard to ORL,69792.0,69663,29.1,29.1
2004-06-24 00:00:00,added Anderson Varejão to ORL,0.0,69663,0.0,29.1
2004-06-24 00:00:00,added Antonio Burks to ORL,0.0,69663,0.0,29.1
2004-06-24 00:00:00,lost Julius Hodge to DEN,271.4,69934,0.1,29.200000000000003
2004-06-24 00:00:00,added Jameer Nelson to ORL,8750.000000000002,78684,11.8,41.0
2004-06-24 00:00:00,lost Antonio Burks to MEM,3919.8,82604,0.6,41.6
2004-06-29 00:00:00,lost Reece Gaines to HOU,540.0,83144,0.1,41.7
2004-06-29 00:00:00,lost Juwan Howard to HOU,14252.6,97396,0.4,42.1
2004-06-29 00:00:00,lost Tyronn Lue to HOU,1341.1999999999998,98738,0.1,42.2
2004-06-29 00:00:00,lost Tracy McGrady to HOU,-55999.600000000006,42738,-19.8,22.4
2004-06-29 00:00:00,added Kelvin Cato to ORL,-397.60000000000014,42340,0.9000000000000001,23.3
2004-06-29 00:00:00,added Steve Francis to ORL,4614.0,46954,3.5,26.8
2004-06-29 00:00:00,added Cuttino Mobley to ORL,653.4,47608,0.5,27.3
2004-07-14 00:00:00,added Hedo Türkoğlu to ORL,19979.300000000003,67587,13.1,40.400000000000006
2004-07-23 00:00:00,lost Drew Gooden to CLE,2319.6,69907,-3.7,36.7
2004-07-23 00:00:00,lost Steven Hunter to CLE,-0.0,69907,-0.0,36.7
2004-07-23 00:00:00,lost Anderson Varejão to CLE,-5636.0,64271,-9.0,27.700000000000003
2004-07-23 00:00:00,added Tony Battie to ORL,-15467.9,48803,-0.4,27.300000000000004
2004-07-23 00:00:00,added Martynas Andriuškevičius to ORL,0.0,48803,0.0,27.300000000000004
2004-07-23 00:00:00,added Brad Newley to ORL,0.0,48803,0.0,27.300000000000004
2004-07-29 00:00:00,added Michael Bradley to ORL,-44.0,48759,0.0,27.300000000000004
2004-08-02 00:00:00,added Stacey Augmon to ORL,-2996.4,45762,-0.2,27.100000000000005
2004-10-04 00:00:00,added Corsley Edwards to ORL,0.0,45762,0.0,27.100000000000005
2004-10-04 00:00:00,added Earl Barron to ORL,0.0,45762,0.0,27.100000000000005
2004-11-01 00:00:00,lost Keith Bogans to CHA,7832.9,53595,0.7,27.800000000000004
2004-11-01 00:00:00,added Brandon Hunter to ORL,-1344.0,52251,-0.2,27.600000000000005
2005-01-10 00:00:00,lost Michael Bradley to SAC,225.6,52477,-0.0,27.600000000000005
2005-01-10 00:00:00,lost Cuttino Mobley to SAC,831.0,53308,-0.6,27.000000000000004
2005-01-10 00:00:00,added Doug Christie to ORL,-1375.4,51932,-0.1,26.9
2005-03-23 00:00:00,added Mark Jones to ORL,-800.4000000000001,51132,-0.1,26.8
2005-03-31 00:00:00,added Andre Barrett to ORL,-219.7,50912,0.0,26.8
