,Transaction Date,Transaction,Score,Running Score
1,1982-10-25 00:00:00,lost Brad Branson to IND,1088,1088
2,1982-10-25 00:00:00,added Scooter McCray to CLE,-669,418
3,1982-12-06 00:00:00,added Sam Lacey to CLE,-4804,-4386
4,1982-12-15 00:00:00,lost Ron Brewer to GSW,3327,-1059
5,1982-12-15 00:00:00,added World B. Free to CLE,19972,18912
6,1983-01-10 00:00:00,added Larry Kenon to CLE,-374,18538
7,1983-01-14 00:00:00,lost Scott Wedman to BOS,7692,26231
8,1983-01-14 00:00:00,added Darren Tillis to CLE,-1108,25122
9,1983-01-14 00:00:00,added Greg Kite to CLE,0,25122
10,1983-02-07 00:00:00,lost James Edwards to PHO,9632,34755
11,1983-02-07 00:00:00,lost Greg Kite to PHO,0,34755
12,1983-02-07 00:00:00,added Jeff Cook to CLE,-2855,31900
13,1983-02-07 00:00:00,added Roy Hinson to CLE,0,31900
14,1983-03-30 00:00:00,added Carl Nicks to CLE,-399,31500
15,1983-06-27 00:00:00,lost Scooter McCray to SEA,1956,33456
16,1983-06-27 00:00:00,added Lonnie Shelton to CLE,-8918,24538
17,1983-06-28 00:00:00,added Roy Hinson to CLE,-3041,21496
18,1983-06-28 00:00:00,added Stewart Granger to CLE,-2952,18544
19,1983-06-28 00:00:00,added John Garris to CLE,-26,18517
20,1983-06-28 00:00:00,added Paul Thompson to CLE,1569,20087
21,1983-06-28 00:00:00,added Larry Anderson to CLE,0,20087
22,1983-06-28 00:00:00,added Les Craft to CLE,0,20087
23,1983-06-28 00:00:00,added Derrick Hord to CLE,0,20087
24,1983-06-28 00:00:00,added Dwight Jones to CLE,0,20087
25,1983-06-28 00:00:00,added Chris Logan to CLE,0,20087
26,1983-06-28 00:00:00,added Mel McLaughlin to CLE,0,20087
27,1983-06-28 00:00:00,added John Colombo to CLE,0,20087
28,1983-06-28 00:00:00,added Larry Tucker to CLE,0,20087
29,1983-06-28 00:00:00,added Joe Brown to CLE,0,20087
30,1983-06-28 00:00:00,added Jon Hanley to CLE,0,20087
31,1983-08-16 00:00:00,lost Darren Tillis to GSW,4088,24175
32,1983-08-16 00:00:00,added Johnny Newman to CLE,-5713,18461
33,1983-09-06 00:00:00,added Linton Townes to CLE,0,18461
34,1983-10-14 00:00:00,added Ben Poquette to CLE,-4543,13917
35,1984-03-10 00:00:00,added Geoff Crompton to CLE,-138,13779
36,1984-06-19 00:00:00,added Tim McCormick to CLE,0,13779
37,1984-06-19 00:00:00,added Ron Anderson to CLE,-1931,11847
38,1984-06-19 00:00:00,added Ben McDonald to CLE,0,11847
39,1984-06-19 00:00:00,added Leonard Mitchell to CLE,0,11847
40,1984-06-19 00:00:00,added Art Aaron to CLE,0,11847
41,1984-06-19 00:00:00,added Vince Hinchen to CLE,0,11847
42,1984-06-19 00:00:00,added Matt Doherty to CLE,0,11847
43,1984-06-19 00:00:00,added Joe Jakubick to CLE,0,11847
44,1984-06-19 00:00:00,added Elliot Beard to CLE,0,11847
45,1984-06-19 00:00:00,added John Shimko to CLE,0,11847
46,1984-06-19 00:00:00,added Darrell Space to CLE,0,11847
47,1984-06-19 00:00:00,lost Tim McCormick to WSB,0,11847
48,1984-06-19 00:00:00,lost Cliff Robinson to WSB,-485,11362
49,1984-06-19 00:00:00,added Melvin Turpin to CLE,-5119,6242
50,1984-08-08 00:00:00,lost John Garris to ATL,0,6242
51,1984-08-08 00:00:00,lost Stewart Granger to ATL,809,7052
52,1984-08-08 00:00:00,added Johnny Davis to CLE,-1833,5218
53,1984-09-01 00:00:00,added Dale Wilkinson to CLE,0,5218
54,1984-09-27 00:00:00,added Robert Smith to CLE,-268,4949
55,1984-09-29 00:00:00,added Campy Russell to CLE,-312,4637
56,1984-11-23 00:00:00,added Mark West to CLE,-16598,-11960
57,1984-12-14 00:00:00,lost Jeff Cook to SAS,2462,-9498
58,1984-12-14 00:00:00,added Edgar Jones to CLE,-1461,-10959
59,1984-12-20 00:00:00,added Kevin Williams to CLE,-1569,-12528
60,1985-01-10 00:00:00,added Butch Graves to CLE,-185,-12714
61,1985-02-12 00:00:00,lost Paul Thompson to MIL,363,-12351
62,1985-02-12 00:00:00,added Hot Rod Williams to CLE,0,-12351
63,1985-02-12 00:00:00,added Kannard Johnson to CLE,-116,-12467
64,1985-06-18 00:00:00,added Charles Oakley to CLE,0,-12467
65,1985-06-18 00:00:00,added Calvin Duncan to CLE,0,-12467
66,1985-06-18 00:00:00,added Hot Rod Williams to CLE,30139,17671
67,1985-06-18 00:00:00,added Herb Johnson to CLE,0,17671
68,1985-06-18 00:00:00,added Mark Davis to CLE,0,17671
69,1985-06-18 00:00:00,added Gunther Behnke to CLE,0,17671
70,1985-06-18 00:00:00,added Rickie Johnson to CLE,0,17671
71,1985-06-18 00:00:00,added Buzz Peterson to CLE,0,17671
72,1985-06-18 00:00:00,lost Charles Oakley to CHI,15411,33083
73,1985-06-18 00:00:00,added Keith Lee to CLE,-5113,27970
74,1985-06-18 00:00:00,added Ennis Whatley to CLE,26,27996
75,1985-09-05 00:00:00,added Derrick Rowland to CLE,0,27996
76,1985-09-11 00:00:00,added Dirk Minniefield to CLE,-875,27121
77,1985-12-10 00:00:00,lost Ron Anderson to IND,-1098,26022
78,1986-01-11 00:00:00,added Ron Brewer to CLE,-2097,23925
79,1986-02-10 00:00:00,lost Johnny Davis to ATL,120,24045
80,1986-02-10 00:00:00,added Eddie Johnson to CLE,-1722,22323
81,1986-03-04 00:00:00,added Ben McDonald to CLE,-1064,21259
82,1987-06-22 00:00:00,,0,21259
83,1987-06-22 00:00:00,added Dennis Hopson to BRK,-10101,11158
84,1987-06-22 00:00:00,added Jamie Waller to BRK,-646,10511
85,1987-06-22 00:00:00,added Andrew Moten to BRK,0,10511
86,1987-06-22 00:00:00,added James Blackmon to BRK,0,10511
87,1987-06-22 00:00:00,added Perry Bromwell to BRK,0,10511
88,1987-06-22 00:00:00,added Frank Booker to BRK,0,10511
89,1987-10-08 00:00:00,lost James Bailey to CLE,0,10511
90,1987-10-08 00:00:00,lost Darryl Dawkins to CLE,0,10511
91,1987-10-08 00:00:00,added John Bagley to BRK,-8317,2194
92,1987-10-08 00:00:00,added Keith Lee to BRK,-3443,-1249
93,1987-11-02 00:00:00,added Mike O'Koren to BRK,161,-1087
94,1987-11-03 00:00:00,lost Les Jepsen to ATL,0,-1087
95,1987-11-03 00:00:00,added Dallas Comegys to BRK,-4712,-5800
96,1987-11-05 00:00:00,added Adrian Branch to BRK,-1324,-7124
97,1987-12-03 00:00:00,added Johnny Moore to BRK,-227,-7351
98,1987-12-15 00:00:00,added Dudley Bradley to BRK,1288,-6062
99,1988-01-16 00:00:00,lost Ben Coleman to PHI,6051,-11
100,1988-01-16 00:00:00,lost Mike Gminski to PHI,-610,-621
101,1988-01-16 00:00:00,added Roy Hinson to BRK,-7376,-7998
