date,Transaction,single_value,value
2017-06-22 00:00:00,added Jonathan Isaac to ORL,0.0,0
2017-06-22 00:00:00,added Anžejs Pasečņiks to ORL,0.0,0
2017-06-22 00:00:00,added Wesley Iwundu to ORL,0.0,0
2017-06-22 00:00:00,added Ivan Rabb to ORL,0.0,0
2017-06-22 00:00:00,lost Ivan Rabb to MEM,2041.4,2041
2017-06-22 00:00:00,added Talen Horton-Tucker to ORL,0.0,2041
2017-06-22 00:00:00,lost Anžejs Pasečņiks to PHI,-0.0,2041
2017-06-22 00:00:00,added Tyrese Maxey to ORL,0.0,2041
2017-06-22 00:00:00,added Yam Madar to ORL,0.0,2041
2017-07-01 00:00:00,added Jonathan Isaac to ORL,5200.4,7241
2017-07-09 00:00:00,added Shelvin Mack to ORL,-1911.0,5330
2017-07-14 00:00:00,added Jonathon Simmons to ORL,-10683.9,-5353
2017-07-24 00:00:00,added Wesley Iwundu to ORL,-10809.4,-16162
2017-07-27 00:00:00,added Marreese Speights to ORL,-742.5000000000001,-16905
2017-07-27 00:00:00,added Arron Afflalo to ORL,-3682.8,-20587
2017-07-27 00:00:00,added Khem Birch to ORL,251.40000000000052,-20336
2017-08-16 00:00:00,added Troy Caupain to ORL,0.0,-20336
2017-08-21 00:00:00,added Adreian Payne to ORL,103.2,-20233
2017-08-31 00:00:00,added Kalin Lucas to ORL,0.0,-20233
2017-09-07 00:00:00,added Damjan Rudež to ORL,0.0,-20233
2017-10-09 00:00:00,added Rodney Purvis to ORL,0.0,-20233
2017-10-16 00:00:00,added Jamel Artis to ORL,-1506.6,-21739
2018-02-08 00:00:00,lost Elfrid Payton to PHO,3684.7,-18055
2018-02-08 00:00:00,added Jarred Vanderbilt to ORL,0.0,-18055
2018-02-20 00:00:00,added Rashad Vaughn to ORL,-315.0,-18370
2018-03-08 00:00:00,added Rodney Purvis to ORL,0.0,-18370
2018-03-28 00:00:00,added Rodney Purvis to ORL,-2378.0,-20748
2018-06-21 00:00:00,added Mohamed Bamba to ORL,0.0,-20748
2018-06-21 00:00:00,added Melvin Frazier to ORL,0.0,-20748
2018-06-21 00:00:00,added Jarred Vanderbilt to ORL,0.0,-20748
2018-06-21 00:00:00,lost Jarred Vanderbilt to DEN,552.2,-20195
2018-06-21 00:00:00,added Justin Jackson to ORL,0.0,-20195
2018-06-21 00:00:00,added Cody Martin to ORL,0.0,-20195
