,date,Transaction,value,Running Score
1,1982-06-29,added James Worthy to LAL,55933,55933
2,1982-06-29,added Hutch Jones to LAL,0,55933
3,1982-06-29,added Mike Hackett to LAL,0,55933
4,1982-06-29,added Craig McCormick to LAL,0,55933
5,1982-06-29,added Howard McNeill to LAL,0,55933
6,1982-06-29,added Lynden Rose to LAL,0,55933
7,1982-06-29,added Maurice Williams to LAL,0,55933
8,1982-06-29,added Micah Blunt to LAL,0,55933
9,1982-06-29,added Tim Byrne to LAL,0,55933
10,1982-09-20,added Joe Cooper to LAL,-60,55872
11,1983-02-15,lost Adrian Branch to CHI,0,55872
12,1983-02-15,added Dwight Jones to LAL,-2209,53663
13,1983-04-06,added Billy Ray Bates to LAL,-183,53479
14,1983-04-16,added Steve Mix to LAL,-69,53410
15,1983-06-28,added Orlando Phillips to LAL,0,53410
16,1983-06-28,added Terry Lewis to LAL,0,53410
17,1983-06-28,added Danny Dixon to LAL,0,53410
18,1983-06-28,added Mark Steele to LAL,0,53410
19,1983-06-28,added Ricky Mixon to LAL,0,53410
20,1983-08-24,added Larry Spriggs to LAL,-5086,48324
21,1983-08-25,added Calvin Garrett to LAL,-1625,46698
22,1983-09-27,added Dale Wilkinson to LAL,0,46698
23,1983-10-10,lost Eddie Jordan to SDC,0,46698
24,1983-10-10,lost Norm Nixon to SDC,-2442,44256
25,1983-10-10,lost Jeff Hornacek to SDC,0,44256
26,1983-10-10,added Swen Nater to LAL,-4062,40194
27,1983-10-10,added Byron Scott to LAL,20360,60554
28,1984-04-11,added Eddie Jordan to LAL,-124,60430
29,1984-06-19,added Earl Jones to LAL,-126,60303
30,1984-06-19,added George Singleton to LAL,0,60303
31,1984-06-19,added John Revelli to LAL,0,60303
32,1984-06-19,added Lance Berwald to LAL,0,60303
33,1984-06-19,added Keith Jones to LAL,0,60303
34,1984-06-19,added Richard Haenisch to LAL,0,60303
35,1984-09-15,added Chuck Nevitt to LAL,0,60303
36,1984-11-28,added Ronnie Lester to LAL,-2266,58037
37,1985-03-05,added Chuck Nevitt to LAL,-690,57347
38,1985-06-18,added A.C. Green to LAL,6958,64306
39,1985-06-18,added Dexter Shouse to LAL,0,64306
40,1985-06-18,added Timo Saarelainen to LAL,0,64306
41,1985-06-18,added Tony Neal to LAL,0,64306
42,1985-06-18,added Keith Cieplicki to LAL,0,64306
43,1985-08-19,lost Steve Kerr to PHO,-423,63882
44,1985-08-19,lost Greg Grant to PHO,2101,65983
45,1985-08-19,added Maurice Lucas to LAL,-4025,61958
46,1985-09-10,added Chuck Nevitt to LAL,-285,61673
47,1985-10-09,lost Earl Jones to SAS,0,61673
48,1986-03-10,added Jerome Henderson to LAL,10,61684
49,1986-03-19,added Pétur Guðmundsson to LAL,-435,61249
50,1986-06-17,added Ken Barlow to LAL,0,61249
51,1986-06-17,added Andre Turner to LAL,0,61249
52,1986-06-17,added Dale Blaney to LAL,0,61249
53,1986-06-17,added Roger Harden to LAL,0,61249
54,1986-06-17,added Walter Downing to LAL,0,61249
55,1986-06-17,added Mark Coleman to LAL,0,61249
56,1986-06-17,lost Mike McGee to ATL,-2038,59211
57,1986-06-17,added Billy Thompson to LAL,-2673,56538
58,1986-09-18,added Adrian Branch to LAL,-87,56450
59,1986-10-02,lost Ronnie Lester to SEA,0,56450
60,1986-10-08,added Frank Brickowski to LAL,-1737,54713
61,1986-10-13,added Wes Matthews to LAL,-3361,51352
62,1986-11-07,added Mike Smrek to LAL,-4226,47125
63,1987-02-13,lost Frank Brickowski to SAS,2407,49533
64,1987-02-13,lost Pétur Guðmundsson to SAS,3501,53035
65,1987-02-13,lost Greg Anderson to SAS,17169,70204
66,1987-02-13,lost Sean Higgins to SAS,3264,73469
67,1987-02-13,added Mychal Thompson to LAL,-15666,57803
68,1987-06-22,added Willie Glass to LAL,0,57803
69,1987-06-22,added Ralph Tally to LAL,0,57803
70,1987-06-22,added Kenny Travis to LAL,0,57803
71,1987-06-22,added Frank Ford to LAL,0,57803
72,1987-06-22,added Ron Vanderschaaf to LAL,0,57803
73,1987-10-07,added Jeff Lamp to LAL,-1206,56597
74,1987-10-07,added Milt Wagner to LAL,-1710,54887
75,1987-11-05,lost Adrian Branch to NJN,1324,56211
76,1987-12-12,added Ray Tolbert to LAL,-246,55965
77,1988-03-30,added Tony Campbell to LAL,-3680,52285
78,1988-06-23,lost Matt Geiger to MIA,7120,59405
79,1988-06-28,added David Rivers to LAL,-1496,57909
80,1988-08-10,added Orlando Woolridge to LAL,-701,57208
81,1988-08-29,added Kannard Johnson to LAL,0,57208
82,1988-08-30,added Scott Meents to LAL,0,57208
83,1988-10-03,added Mark McNamara to LAL,-3236,53971
84,1988-11-02,lost Mike Smrek to SAS,2865,56837
85,1988-11-02,added Tony Smith to LAL,0,56837
86,1989-06-27,added Vlade Divac to LAL,30107,86944
87,1989-08-04,added Larry Drew to LAL,-3341,83602
88,1989-09-12,added Quintin Dailey to LAL,0,83602
89,1989-09-18,added Mike Higgins to LAL,63,83665
90,1989-09-28,added Steve Bucknall to LAL,-997,82668
91,1989-10-02,added Mel McCants to LAL,-474,82193
92,1989-12-24,added Jay Vincent to LAL,-1080,81113
93,1990-03-05,added Jawann Oldham to LAL,-63,81049
94,1990-06-27,added Elden Campbell to LAL,-11893,69156
95,1990-06-27,added Tony Smith to LAL,-9516,59639
96,1990-08-03,lost Orlando Woolridge to DEN,-546,59092
97,1990-08-06,added Sam Perkins to LAL,7584,66676
98,1990-09-25,lost Mark McNamara to SAS,0,66676
99,1990-09-25,added Terry Teagle to LAL,-10007,56669
100,1990-10-02,added Tony Brown to LAL,-207,56461
101,1990-10-02,added Mario Elie to LAL,0,56461
102,1990-10-16,added Irving Thomas to LAL,-1112,55349
103,1991-06-26,added Anthony Jones to LAL,0,55349
104,1991-09-30,added Demetrius Calip to LAL,0,55349
105,1991-09-30,added Keith Owens to LAL,-384,54965
106,1991-10-02,lost Dontonio Wingfield to SEA,899,55864
107,1991-10-02,lost Martin Lewis to SEA,0,55864
108,1991-10-02,lost Jeff Nordgaard to SEA,0,55864
109,1991-10-02,added Sedale Threatt to LAL,4447,60311
110,1991-10-04,added Jack Haley to LAL,-4097,56214
111,1991-10-29,added Demetrius Calip to LAL,0,56214
112,1991-11-19,added Demetrius Calip to LAL,-609,55605
113,1991-12-05,added Chucky Brown to LAL,-1447,54157
114,1991-12-06,added Rory Sparrow to LAL,-2967,51189
115,1992-03-29,added Cliff Robinson to LAL,0,51189
116,1992-04-08,added Cliff Robinson to LAL,7,51197
117,1992-05-11,added Duane Cooper to LAL,0,51197
118,1992-05-11,added Dwayne Whitfield to LAL,0,51197
119,1992-06-24,added Anthony Peeler to LAL,-5494,45703
120,1992-06-24,added Duane Cooper to LAL,-3741,41962
121,1992-08-11,added Alex Blackwell to LAL,-621,41340
122,1992-08-13,added Sean Higgins to LAL,0,41340
123,1992-08-13,added James Edwards to LAL,-6227,35113
124,1993-02-22,lost Sam Perkins to SEA,-23425,11688
125,1993-02-22,added Benoit Benjamin to LAL,-1866,9821
126,1993-02-22,added Doug Christie to LAL,-2496,7324
127,1993-06-21,lost Benoit Benjamin to NJN,8290,15615
128,1993-06-21,added Sam Bowie to LAL,-3940,11674
129,1993-06-21,added Toby Bailey to LAL,0,11674
130,1993-06-30,added George Lynch to LAL,-4045,7628
131,1993-06-30,added Nick Van Exel to LAL,8578,16206
132,1993-07-15,added Antonio Harvey to LAL,-4106,12100
133,1993-08-30,added Trevor Wilson to LAL,-37,12062
134,1993-10-01,added Kurt Rambis to LAL,-1264,10798
135,1994-01-22,added Reggie Jordan to LAL,0,10798
136,1994-02-08,added Reggie Jordan to LAL,802,11601
137,1994-02-24,added Danny Schayes to LAL,-691,10909
138,1994-06-29,added Eddie Jones to LAL,35830,46740
139,1994-07-01,lost Dwayne Whitfield to GSW,0,46740
140,1994-07-01,added Anthony Miller to LAL,-1918,44822
