date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2023-06-22 00:00:00,added Jarace Walker to WAS,0.0,0,0.0,0.0
2023-06-22 00:00:00,added Tristan Vukcevic to WAS,0.0,0,0.0,0.0
2023-06-22 00:00:00,added Trayce Jackson-Davis to WAS,0.0,0,0.0,0.0
2023-06-23 00:00:00,lost Trayce Jackson-Davis to GSW,-4320.8,-4320,-2.2,-2.2
2023-06-23 00:00:00,lost Kristaps Porzingis to BOS,-14459.8,-18780,-5.1,-7.3
2023-06-23 00:00:00,added Danilo Gallinari to WAS,-1001.0,-19781,-0.1,-7.399999999999999
2023-06-23 00:00:00,added Mike Muscala to WAS,-2095.6,-21877,-0.4,-7.8
2023-06-23 00:00:00,added Julian Phillips to WAS,0.0,-21877,0.0,-7.8
2023-06-23 00:00:00,added Tyus Jones to WAS,1353.1,-20524,1.3,-6.5
2023-06-23 00:00:00,lost Bradley Beal to PHO,1636.7999999999995,-18887,-1.3,-7.8
2023-06-23 00:00:00,lost Jordan Goodwin to PHO,502.2,-18385,-0.2,-8.0
2023-06-23 00:00:00,lost Isaiah Todd to PHO,-0.0,-18385,-0.0,-8.0
2023-06-23 00:00:00,lost Jarace Walker to IND,1149.7,-17235,-0.5,-8.5
2023-06-23 00:00:00,added Bilal Coulibaly to WAS,0.0,-17235,0.0,-8.5
2023-06-23 00:00:00,added Chris Paul to WAS,0.0,-17235,0.0,-8.5
2023-06-23 00:00:00,added Landry Shamet to WAS,-2904.0,-20139,-0.4,-8.9
2023-06-23 00:00:00,added Melvin Ajinça to WAS,0.0,-20139,0.0,-8.9
2023-06-28 00:00:00,lost Julian Phillips to CHI,5453.4,-14685,0.7,-8.200000000000001
2023-07-02 00:00:00,added Bilal Coulibaly to WAS,-14410.6,-29096,-1.7000000000000002,-9.900000000000002
2023-07-06 00:00:00,lost Monte Morris to DET,469.2000000000001,-28627,0.1,-9.800000000000002
2023-07-06 00:00:00,lost Chris Paul to GSW,-1531.0,-30158,-1.2,-11.000000000000002
2023-07-06 00:00:00,added Patrick Baldwin Jr. to WAS,-2298.1,-32456,-0.3,-11.300000000000002
2023-07-06 00:00:00,added Jordan Poole to WAS,-8349.0,-40805,0.0,-11.300000000000002
2023-07-06 00:00:00,added Ryan Rollins to WAS,330.0,-40475,0.1,-11.200000000000005
2023-07-07 00:00:00,added Kyle Kuzma to WAS,-7210.2,-47685,-0.1999999999999999,-11.400000000000002
2023-07-12 00:00:00,added Eugene Omoruyi to WAS,-903.9,-48589,0.0,-11.400000000000002
2023-07-28 00:00:00,added Jared Butler to WAS,-1188.6,-49778,0.0,-11.400000000000002
2023-09-15 00:00:00,added Taj Gibson to WAS,0.0,-49778,0.0,-11.400000000000002
2023-10-23 00:00:00,added John Butler to WAS,0.0,-49778,0.0,-11.400000000000002
2023-12-08 00:00:00,added Jules Bernard to WAS,-447.0,-50225,0.0,-11.400000000000002
2024-01-09 00:00:00,added Hamidou Diallo to WAS,93.5,-50131,0.0,-11.400000000000002
2024-01-14 00:00:00,lost Danilo Gallinari to DET,-621.0,-50752,-0.2,-11.6
2024-01-14 00:00:00,lost Mike Muscala to DET,376.2000000000001,-50376,-0.0,-11.6
2024-01-14 00:00:00,added Marvin Bagley to WAS,6.5,-50370,0.3,-11.3
2024-01-14 00:00:00,added Isaiah Livers to WAS,0.0,-50370,0.0,-11.3
2024-01-20 00:00:00,added Trey Jemison to WAS,-33.9,-50403,0.0,-11.3
2024-02-08 00:00:00,lost Daniel Gafford to DAL,-7952.5,-58356,-3.0,-14.3
2024-02-08 00:00:00,added Richaun Holmes to WAS,-493.8,-58850,0.3,-14.0
2024-02-08 00:00:00,added Dillon Jones to WAS,0.0,-58850,0.0,-14.0
2024-02-22 00:00:00,added Justin Champagnie to WAS,0.0,-58850,0.0,-14.0
2024-03-03 00:00:00,added Justin Champagnie to WAS,-1433.4,-60283,0.4,-13.6
2024-03-03 00:00:00,added R.J. Hampton to WAS,0.0,-60283,0.0,-13.6
2024-03-13 00:00:00,added Tristan Vukcevic to WAS,-550.8000000000001,-60834,-0.1,-13.7
2024-06-26 00:00:00,added Alex Sarr to WAS,0.0,-60834,0.0,-13.7
2024-06-26 00:00:00,added Dillon Jones to WAS,0.0,-60834,0.0,-13.7
2024-06-26 00:00:00,lost Dillon Jones to NYK,-0.0,-60834,-0.0,-13.7
2024-06-26 00:00:00,lost Melvin Ajinça to NYK,-0.0,-60834,-0.0,-13.7
2024-06-26 00:00:00,added Kyshawn George to WAS,0.0,-60834,0.0,-13.7
2024-07-03 00:00:00,added Tristan Vukcevic to WAS,-492.80000000000007,-61327,0.1,-13.6
2024-07-06 00:00:00,added Jonas Valanciunas to WAS,393.2000000000001,-60934,0.6,-13.0
2024-07-06 00:00:00,lost future 2nd round pick to NOP,3489.4034912629727,-57444,-1.3012331152176713,-14.301233115217672
2024-07-06 00:00:00,lost Deni Avdija to POR,-4322.0,-61766,-2.2,-16.501233115217673
2024-07-06 00:00:00,added Malcolm Brogdon to WAS,-902.4,-62668,0.1,-16.40123311521767
2024-07-06 00:00:00,added Carlton Carrington to WAS,0.0,-62668,0.0,-16.40123311521767
2024-07-06 00:00:00,added future 2nd round pick to WAS,-3489.4034912629727,-66158,1.3012331152176713,-15.1
2024-07-06 00:00:00,added future 1st round pick to WAS,4611.917505880393,-61546,7.48566056733538,-7.61433943266462
2024-07-06 00:00:00,added future 2nd round pick to WAS,-3489.4034912629727,-65035,1.3012331152176713,-6.313106317446948
2024-07-06 00:00:00,added Kyshawn George to WAS,-7228.299999999999,-72264,-1.0,-7.313106317446948
2024-07-06 00:00:00,added Alex Sarr to WAS,-5670.400000000001,-77934,-0.6,-7.913106317446948
2024-07-07 00:00:00,added Carlton Carrington to WAS,-11195.4,-89129,-1.6,-9.513106317446947
2024-07-11 00:00:00,added Saddiq Bey to WAS,0.0,-89129,0.0,-9.513106317446947
2024-07-25 00:00:00,added Anthony Gill to WAS,-1826.2,-90956,-0.3,-9.813106317446948
2024-10-19 00:00:00,added RayJ Dennis to WAS,0.0,-90956,0.0,-9.813106317446948
2024-10-21 00:00:00,added Jared Butler to WAS,325.8,-90630,0.3,-9.513106317446947
2025-02-05 00:00:00,lost Jonas Valanciunas to SAC,-204.0,-90834,-0.3,-9.813106317446948
2025-02-05 00:00:00,added Sidy Cissoko to WAS,0.0,-90834,0.0,-9.813106317446948
2025-02-05 00:00:00,added future 2nd round pick to WAS,-3489.4034912629727,-94323,1.3012331152176713,-8.511873202229276
2025-02-05 00:00:00,added future 2nd round pick to WAS,-3489.4034912629727,-97813,1.3012331152176713,-7.210640087011605
2025-02-06 00:00:00,lost Patrick Baldwin Jr. to SAS,-0.0,-97813,-0.0,-7.210640087011605
2025-02-06 00:00:00,lost Kyle Kuzma to MIL,5329.8,-92483,0.8,-6.410640087011605
2025-02-06 00:00:00,added A.J. Johnson to WAS,-3847.5,-96330,-0.7,-7.110640087011605
2025-02-06 00:00:00,added Khris Middleton to WAS,-618.0,-96948,0.0,-7.110640087011605
2025-02-06 00:00:00,added Mathias Lessort to WAS,0.0,-96948,0.0,-7.110640087011605
2025-02-06 00:00:00,lost Marvin Bagley to MEM,221.1,-96727,-0.0,-7.110640087011605
2025-02-06 00:00:00,lost Johnny Davis to MEM,-0.0,-96727,-0.0,-7.110640087011605
2025-02-06 00:00:00,added Marcus Smart to WAS,-532.0,-97259,0.0,-7.110640087011605
2025-02-06 00:00:00,added Colby Jones to WAS,-466.5,-97726,0.0,-7.110640087011605
2025-02-06 00:00:00,added Alex Len to WAS,0.0,-97726,0.0,-7.110640087011605
2025-02-06 00:00:00,lost Jared Butler to PHI,1567.5,-96158,0.1,-7.0106400870116055
2025-02-06 00:00:00,added Reggie Jackson to WAS,0.0,-96158,0.0,-7.0106400870116055
2025-02-06 00:00:00,added future 1st round pick to WAS,4611.917505880393,-91546,7.48566056733538,0.4750204803237743
2025-02-06 00:00:00,lost future 2nd round pick to PHI,3489.4034912629727,-88057,-1.3012331152176713,-0.826212634893897
2025-02-06 00:00:00,lost future 2nd round pick to PHI,3489.4034912629727,-84568,-1.3012331152176713,-2.127445750111568
2025-02-06 00:00:00,lost future 2nd round pick to PHI,3489.4034912629727,-81078,-1.3012331152176713,-3.4286788653292395
2025-02-06 00:00:00,lost future 2nd round pick to PHI,3489.4034912629727,-77589,-1.3012331152176713,-4.729911980546911
2025-02-08 00:00:00,added Jaylen Nowell to WAS,0.0,-77589,0.0,-4.729911980546911
2025-02-08 00:00:00,added Jaylen Martin to WAS,-1521.0,-79110,-0.3,-5.029911980546911
2025-02-17 00:00:00,added Erik Stevenson to WAS,0.0,-79110,0.0,-5.029911980546911
2025-02-22 00:00:00,added Jalen McDaniels to WAS,38.5,-79071,0.0,-5.029911980546911
