date,Transaction,single_value,value
1995-03-06 00:00:00,added Kevin Pritchard to MIA,0.0,0
1995-03-24 00:00:00,added Kevin Pritchard to MIA,-331.8,-331
1995-06-14 00:00:00,lost Harold Miner to CLE,1237.6,905
1995-06-14 00:00:00,lost Donny Marshall to CLE,2724.2,3630
1995-06-14 00:00:00,added George Banks to MIA,0.0,3630
1995-06-28 00:00:00,added Kurt Thomas to MIA,-4362.8,-732
1995-06-28 00:00:00,added George Banks to MIA,0.0,-732
1995-06-28 00:00:00,lost Ed Stokes to WSB,-0.0,-732
1995-06-28 00:00:00,lost Jeff Webster to WSB,284.20000000000005,-448
1995-06-28 00:00:00,added Rex Chapman to MIA,1492.0,1043
1995-06-28 00:00:00,added Terrence Rencher to MIA,-1548.3,-504
1995-09-01 00:00:00,lost Walter McCarty to NYK,864.0,359
1995-09-01 00:00:00,added Pat Riley to MIA,0.0,359
1995-10-05 00:00:00,added Ron Grandison to MIA,-705.0,-345
1995-10-05 00:00:00,added Stacey King to MIA,-1294.8000000000002,-1640
1995-10-05 00:00:00,added Bruce Bowen to MIA,-4046.8,-5687
1995-11-03 00:00:00,lost Matt Geiger to CHH,8130.0,2442
1995-11-03 00:00:00,lost Khalid Reeves to CHH,250.8,2693
1995-11-03 00:00:00,lost Glen Rice to CHH,-13415.9,-10722
1995-11-03 00:00:00,lost Tony Delk to CHH,-39.099999999999966,-10761
1995-11-03 00:00:00,added LeRon Ellis to MIA,-651.2,-11412
1995-11-03 00:00:00,added Alonzo Mourning to MIA,49110.9,37698
1995-11-03 00:00:00,added Pete Myers to MIA,-1725.3000000000002,35972
1995-12-12 00:00:00,added Danny Schayes to MIA,-1635.9,34336
1995-12-29 00:00:00,added Voshon Lenard to MIA,8344.5,42681
1996-02-12 00:00:00,added Jeff Malone to MIA,0.0,42681
1996-02-22 00:00:00,lost Bimbo Coles to GSW,10365.6,53046
1996-02-22 00:00:00,lost Kevin Willis to GSW,5523.799999999999,58570
1996-02-22 00:00:00,added Chris Gatling to MIA,-586.9000000000001,57983
1996-02-22 00:00:00,added Tim Hardaway to MIA,54520.8,112504
1996-02-22 00:00:00,lost Kevin Gamble to SAC,1570.7000000000005,114075
1996-02-22 00:00:00,lost Billy Owens to SAC,2236.5,116311
1996-02-22 00:00:00,added Tyrone Corbin to MIA,-601.8,115710
1996-02-22 00:00:00,added Walt Williams to MIA,2048.8,117758
1996-02-22 00:00:00,lost Terrence Rencher to PHO,44.8,117803
1996-02-22 00:00:00,added Tony Smith to MIA,-369.0,117434
1996-03-03 00:00:00,added Jeff Malone to MIA,-370.8,117063
1996-06-26 00:00:00,lost DeShawn Stevenson to UTA,14561.1,131624
1996-06-26 00:00:00,added Martin Müürsepp to MIA,-275.4,131349
1996-07-18 00:00:00,added P.J. Brown to MIA,4128.200000000001,135477
1996-08-13 00:00:00,added Gary Grant to MIA,-766.5,134711
1996-08-22 00:00:00,added Dan Majerle to MIA,15137.2,149848
1996-09-25 00:00:00,added Ed Pinckney to MIA,-464.1,149384
1996-10-02 00:00:00,added James Scott to MIA,-419.2,148965
1996-10-02 00:00:00,added Isaac Austin to MIA,-3883.2,145081
1996-10-03 00:00:00,added Mark Strickland to MIA,-768.9999999999999,144312
1996-10-03 00:00:00,added Tony Farmer to MIA,0.0,144312
