date,Transaction,single_value,value
2019-10-21 00:00:00,added Dejounte Murray to SAS,15162.4,15162
2020-06-24 00:00:00,added Tyler Zeller to SAS,0.0,15162
2020-11-18 00:00:00,added Devin Vassell to SAS,0.0,15162
2020-11-18 00:00:00,added Tre Jones to SAS,0.0,15162
2020-11-23 00:00:00,added Drew Eubanks to SAS,-714.0,14448
2020-11-24 00:00:00,added Jakob Pöltl to SAS,5707.1,20155
2020-11-27 00:00:00,added Tre Jones to SAS,-3499.5,16656
2020-11-27 00:00:00,added Devin Vassell to SAS,-4262.6,12393
2020-11-29 00:00:00,added Keita Bates-Diop to SAS,-465.5,11927
2021-03-25 00:00:00,lost Cady Lalane to GSW,-0.0,11927
2021-03-25 00:00:00,added Marquese Chriss to SAS,0.0,11927
2021-03-26 00:00:00,added Cam Reynolds to SAS,-48.0,11879
2021-03-29 00:00:00,added Gorgui Dieng to SAS,633.5,12513
2021-07-29 00:00:00,added Joshua Primo to SAS,0.0,12513
2021-07-29 00:00:00,added Joe Wieskamp to SAS,0.0,12513
2021-08-06 00:00:00,lost Nikola Milutinov to BRK,-0.0,12513
2021-08-06 00:00:00,added Chandler Hutchison to SAS,0.0,12513
2021-08-06 00:00:00,added Christian Koloko to SAS,0.0,12513
2021-08-07 00:00:00,added Doug McDermott to SAS,-9292.3,3221
2021-08-11 00:00:00,added Zach Collins to SAS,-3483.1,-261
2021-08-11 00:00:00,added Joshua Primo to SAS,-5410.9,-5672
2021-08-11 00:00:00,lost DeMar DeRozan to CHI,-17601.7,-23274
2021-08-11 00:00:00,added Al-Farouq Aminu to SAS,0.0,-23274
2021-08-11 00:00:00,added Thaddeus Young to SAS,888.0,-22386
2021-08-11 00:00:00,added Kennedy Chandler to SAS,0.0,-22386
2021-08-11 00:00:00,added DeMar DeRozan to SAS,0.0,-22386
2021-08-19 00:00:00,added Jock Landale to SAS,-235.6,-22622
2021-08-25 00:00:00,added Bryn Forbes to SAS,-1081.6,-23703
2021-09-07 00:00:00,added Joe Wieskamp to SAS,-799.5,-24503
2021-09-07 00:00:00,added Keita Bates-Diop to SAS,-3359.4,-27862
2021-10-01 00:00:00,added Aric Holman to SAS,0.0,-27862
2021-10-01 00:00:00,added Nate Renfro to SAS,0.0,-27862
2021-10-07 00:00:00,added Jaylen Morris to SAS,0.0,-27862
2021-10-07 00:00:00,added Denzel Mahoney to SAS,0.0,-27862
2021-10-12 00:00:00,added Damyean Dotson to SAS,0.0,-27862
2021-10-12 00:00:00,added Jordan Burns to SAS,0.0,-27862
2021-10-18 00:00:00,added Devontae Cacok to SAS,508.2000000000001,-27354
2022-01-01 00:00:00,added Jaylen Morris to SAS,-344.0,-27698
2022-01-06 00:00:00,added Tyler Johnson to SAS,-201.4,-27899
2022-01-06 00:00:00,added Anthony Lamb to SAS,-64.0,-27963
2022-01-19 00:00:00,lost Bryn Forbes to DEN,2623.0,-25340
2022-01-19 00:00:00,added Juan Hernangomez to SAS,-127.5,-25468
2022-02-09 00:00:00,lost Juan Hernangomez to UTA,-655.6,-26124
2022-02-09 00:00:00,added Tomas Satoransky to SAS,-11.7,-26135
2022-02-10 00:00:00,lost Derrick White to BOS,-22604.3,-48740
2022-02-10 00:00:00,added Romeo Langford to SAS,-3725.4,-52465
2022-02-10 00:00:00,added Josh Richardson to SAS,-1199.3,-53664
2022-02-10 00:00:00,added Blake Wesley to SAS,0.0,-53664
2022-02-10 00:00:00,lost Drew Eubanks to TOR,-0.0,-53664
2022-02-10 00:00:00,lost Thaddeus Young to TOR,-1239.5,-54904
2022-02-10 00:00:00,lost Christian Koloko to TOR,2807.0,-52097
2022-02-10 00:00:00,added Goran Dragic to SAS,0.0,-52097
2022-02-10 00:00:00,added Malaki Branham to SAS,0.0,-52097
2022-03-04 00:00:00,added D.J. Stewart Jr. to SAS,0.0,-52097
2022-03-04 00:00:00,added Robert Woodard to SAS,0.0,-52097
2022-06-23 00:00:00,added Jeremy Sochan to SAS,0.0,-52097
2022-06-23 00:00:00,added Malaki Branham to SAS,0.0,-52097
2022-06-23 00:00:00,added Blake Wesley to SAS,0.0,-52097
2022-06-23 00:00:00,added Kennedy Chandler to SAS,0.0,-52097
2022-06-23 00:00:00,lost Kennedy Chandler to MEM,758.7,-51338
2022-06-23 00:00:00,added Harrison Ingram to SAS,0.0,-51338
2022-06-30 00:00:00,lost Jock Landale to ATL,-0.0,-51338
2022-06-30 00:00:00,lost Dejounte Murray to ATL,-7424.099999999999,-58762
2022-06-30 00:00:00,added Danilo Gallinari to SAS,0.0,-58762
2022-07-05 00:00:00,added Blake Wesley to SAS,-12268.5,-71031
2022-07-08 00:00:00,added Jeremy Sochan to SAS,-14925.0,-85956
2022-07-08 00:00:00,added Malaki Branham to SAS,-18263.5,-104219
2022-07-10 00:00:00,added Dominick Barlow to SAS,-1876.8,-106096
2022-08-09 00:00:00,added Gorgui Dieng to SAS,0.0,-106096
2022-08-11 00:00:00,added Jordan Hall to SAS,0.0,-106096
2022-08-24 00:00:00,added Joe Wieskamp to SAS,0.0,-106096
2022-08-26 00:00:00,added Alize Johnson to SAS,0.0,-106096
2022-08-26 00:00:00,added Tommy Kuhse to SAS,0.0,-106096
2022-10-10 00:00:00,added Chaundee Brown Jr. to SAS,0.0,-106096
2022-10-12 00:00:00,added Stephen Zimmerman to SAS,0.0,-106096
2022-10-15 00:00:00,added Jalen Adaway to SAS,0.0,-106096
2022-10-24 00:00:00,added Charles Bassey to SAS,622.0999999999999,-105474
2022-11-02 00:00:00,added Jordan Hall to SAS,-630.8,-106105
2022-11-29 00:00:00,added Alize Johnson to SAS,-273.0,-106378
2022-12-13 00:00:00,added Stanley Johnson to SAS,-469.0,-106847
2023-01-05 00:00:00,added Noah Vonleh to SAS,0.0,-106847
2023-01-08 00:00:00,added Gorgui Dieng to SAS,0.0,-106847
